,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No
1,04/08/2023,05:00,INDONESIA - LIGA 1,Persebaya,Persikabo 1973,1.76,3.74,4.11,1.76,1.76,1.67,2.15
2,04/08/2023,05:00,INDONESIA - LIGA 1,Dewa United,Persis Solo,2.15,3.54,3.01,1.7,1.7,1.56,2.36
3,04/08/2023,08:45,SINGAPORE - PREMIER LEAGUE,Tampines,Lion City,2.15,4.2,2.45,1.22,1.22,1.25,3.75
4,04/08/2023,09:00,INDONESIA - LIGA 1,Borneo,RANS Nusantara,1.36,4.85,7.27,1.52,1.52,1.77,2.0
5,04/08/2023,12:30,ROMANIA - LIGA 1,UTA Arad,Poli Iasi,1.85,3.25,4.0,2.2,2.2,2.0,1.73
6,04/08/2023,12:30,FINLAND - YKKONEN,HIFK,KaPa,1.55,4.2,4.5,1.44,1.44,1.53,2.38
7,04/08/2023,15:15,SWITZERLAND - CHALLENGE LEAGUE,Schaffhausen,Wil,3.32,3.86,2.01,1.5,1.5,1.48,2.57
8,04/08/2023,15:15,SLOVENIA - PRVA LIGA,Aluminij,Koper,3.39,3.5,2.1,1.9,1.9,1.72,2.07
9,04/08/2023,15:45,BELGIUM - JUPILER PRO LEAGUE,St. Liege,Royale Union SG,3.3,3.5,2.1,1.73,1.73,1.62,2.2
10,04/08/2023,20:15,COLOMBIA - PRIMERA A,Huila,Petrolera,2.25,3.3,3.25,2.05,2.05,1.8,1.91
