,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No
1,04/08/2023,05:00,INDONESIA - LIGA 1,Persebaya,Persikabo 1973,1.76,3.74,4.11,1.76,1.67,2.15
2,04/08/2023,08:35,CHINA - SUPER LEAGUE,Shandong Taishan,Meizhou Hakka,1.22,6.5,13.0,1.53,2.1,1.67
3,04/08/2023,08:35,CHINA - SUPER LEAGUE,Zhejiang Professional,Wuhan Three Towns,3.3,3.8,2.0,1.57,1.53,2.38
4,04/08/2023,08:45,SINGAPORE - PREMIER LEAGUE,Tampines,Lion City,2.15,4.2,2.45,1.22,1.25,3.75
5,04/08/2023,08:45,SINGAPORE - PREMIER LEAGUE,Hougang,DPMM,1.91,4.5,2.7,1.25,1.29,3.5
6,04/08/2023,09:00,INDONESIA - LIGA 1,Borneo,RANS Nusantara,1.36,4.85,7.27,1.52,1.77,2.0
7,04/08/2023,15:30,POLAND - EKSTRAKLASA,LKS Lodz,Korona Kielce,2.45,3.25,2.88,2.03,1.75,2.0
8,04/08/2023,15:45,IRELAND - PREMIER DIVISION,Sligo Rovers,St. Patricks,2.9,3.2,2.25,2.03,1.75,2.0
9,04/08/2023,20:30,USA - USL CHAMPIONSHIP,Charleston,Oakland Roots,2.19,3.45,3.0,1.8,1.62,2.24
10,04/08/2023,22:00,NICARAGUA - LIGA PRIMERA,Esteli,Jalapa,1.42,4.75,6.73,1.73,1.97,1.79
