,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No
1,05/08/2023,07:00,SOUTH KOREA - K LEAGUE 2,Jeonnam,Bucheon FC 1995,2.38,3.3,2.7,1.9,1.73,2.0
2,05/08/2023,10:00,NORWAY - OBOS-LIGAEN,Jerv,Moss,2.25,3.5,3.1,1.7,1.62,2.2
3,05/08/2023,10:00,SWEDEN - SUPERETTAN,Jonkoping,Utsikten,2.63,3.3,2.4,1.83,1.67,2.1
4,05/08/2023,10:00,FINLAND - YKKONEN,SJK Akatemia,Mikkeli,2.63,3.6,2.3,1.53,1.5,2.5
5,05/08/2023,10:00,NORWAY - OBOS-LIGAEN,Kristiansund,Start,1.8,3.8,4.33,1.44,1.44,2.63
6,05/08/2023,11:00,NORTHERN IRELAND - NIFL CHAMPIONSHIP,H&W Welders,Ballinamallard,2.21,3.58,2.87,1.63,1.51,2.48
7,05/08/2023,11:00,SCOTLAND - PREMIERSHIP,Dundee FC,Motherwell,2.55,3.3,2.75,2.05,1.8,1.95
8,05/08/2023,12:00,UZBEKISTAN - SUPER LEAGUE,Pakhtakor,Neftchi Fargona,1.68,3.67,4.92,2.07,2.04,1.74
10,05/08/2023,13:00,ITALY - COPPA ITALIA,Catanzaro,Foggia,1.11,8.5,23.0,1.33,2.2,1.62
9,05/08/2023,13:00,SWITZERLAND - SUPER LEAGUE,Young Boys,Winterthur,1.25,6.5,10.0,1.44,1.83,1.83
11,05/08/2023,14:00,RUSSIA - PREMIER LEAGUE,CSKA Moscow,Lokomotiv Moscow,2.16,3.79,3.47,1.81,1.62,2.23
12,05/08/2023,15:30,ROMANIA - LIGA 1,U. Cluj,Din. Bucuresti,1.91,3.25,4.0,2.25,2.0,1.73
13,05/08/2023,15:30,SWITZERLAND - SUPER LEAGUE,Zurich,Lugano,2.25,3.5,3.1,1.75,1.62,2.2
14,05/08/2023,16:00,BRAZIL - SERIE A,Santos,Athletico-PR,2.3,3.1,3.3,2.38,2.0,1.75
15,05/08/2023,17:30,PARAGUAY - PRIMERA DIVISION,Cerro Porteno,Sportivo Trinidense,1.57,4.33,5.25,1.7,1.73,2.0
16,05/08/2023,18:00,BRAZIL - SERIE B,Sport Recife,Novorizontino,2.02,3.22,4.02,2.59,2.19,1.64
17,05/08/2023,20:15,PANAMA - LPF,Tauro,Plaza Amador,2.83,2.69,2.77,2.84,2.23,1.62
18,05/08/2023,22:00,PERU - LIGA 1,Alianza Lima,Cajamarca,1.25,6.0,12.0,1.73,2.38,1.53
