,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No
1,05/08/2023,05:00,INDONESIA - LIGA 1,Arema FC,Barito Putera,2.47,3.48,2.54,1.74,1.57,2.34
2,05/08/2023,08:00,SOUTH KOREA - K LEAGUE 2,Gimpo FC,Anyang,3.2,3.1,2.1,2.25,1.91,1.8
3,05/08/2023,12:00,GEORGIA - CRYSTALBET EROVNULI LIGA,Gagra,Samgurali,3.54,3.34,2.01,2.09,1.83,1.93
4,05/08/2023,12:30,POLAND - EKSTRAKLASA,Gornik Zabrze,Piast Gliwice,3.75,3.3,2.0,2.25,2.0,1.75
5,05/08/2023,15:00,POLAND - DIVISION 1,Chrobry Glogow,Termalica B-B.,3.3,3.3,2.05,1.9,1.73,2.0
6,05/08/2023,15:30,ARGENTINA - PRIMERA NACIONAL,Villa Dalmine,Gimnasia Jujuy,3.3,3.2,2.25,2.5,2.2,1.62
7,05/08/2023,17:00,BRAZIL - SERIE B,Ituano,Guarani,2.46,3.05,3.12,2.57,2.18,1.65
8,05/08/2023,18:00,PANAMA - LPF,Alianza,Miguelito,3.0,2.93,2.47,2.64,2.16,1.66
9,05/08/2023,18:30,BRAZIL - SERIE A,Goias,Fortaleza,2.88,3.2,2.55,2.2,1.91,1.91
10,05/08/2023,20:00,USA - USL CHAMPIONSHIP,Hartford Athletic,New Mexico,2.76,3.46,2.33,1.75,1.58,2.31
11,05/08/2023,23:00,USA - USL CHAMPIONSHIP,Monterey Bay,Sacramento Republic,2.81,3.28,2.4,1.99,1.74,2.04
