,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No
1,05/08/2023,07:00,VIETNAM - V.LEAGUE 1,Da Nang,Song Lam Nghe An,1.73,3.5,4.65,2.16,1.98,1.79
2,05/08/2023,07:30,SOUTH KOREA - K LEAGUE 1,Daegu,Ulsan Hyundai,4.0,3.4,1.91,1.9,1.73,2.0
3,05/08/2023,08:00,SWEDEN - SUPERETTAN,AFC Eskilstuna,Oster,4.0,3.6,1.75,1.73,1.67,2.1
4,05/08/2023,08:00,SOUTH KOREA - K LEAGUE 2,Gimpo FC,Anyang,3.2,3.1,2.1,2.25,1.91,1.8
5,05/08/2023,08:35,CHINA - SUPER LEAGUE,Cangzhou,Shenzhen,1.09,8.5,26.0,1.44,2.63,1.44
6,05/08/2023,10:00,NORWAY - OBOS-LIGAEN,Mjondalen,Hodd,2.0,3.5,3.75,1.83,1.67,2.1
7,05/08/2023,11:00,ESTONIA - MEISTRILIIGA,Kalju,Narva,1.73,3.74,4.3,1.79,1.71,2.08
8,05/08/2023,11:00,SCOTLAND - PREMIERSHIP,St Johnstone,Hearts,3.25,3.5,2.2,1.85,1.7,2.05
9,05/08/2023,11:30,AZERBAIJAN - PREMIER LEAGUE,Sabail,Sumqayit,2.29,3.25,3.07,2.15,1.83,1.93
10,05/08/2023,12:00,AUSTRIA - BUNDESLIGA,A. Klagenfurt,Wolfsberger AC,2.7,3.6,2.45,1.67,1.53,2.38
11,05/08/2023,12:00,UZBEKISTAN - SUPER LEAGUE,Turon,Nasaf Qarshi,5.32,3.65,1.64,2.16,2.07,1.72
12,05/08/2023,13:00,SERBIA - SUPER LIGA,Javor,Novi Pazar,2.46,3.15,2.85,2.31,1.91,1.85
13,05/08/2023,13:30,ESTONIA - MEISTRILIIGA,Tallinna Kalev,Tammeka,2.01,3.44,3.46,1.92,1.73,2.06
14,05/08/2023,15:00,POLAND - EKSTRAKLASA,Radomiak Radom,Cracovia,2.0,3.3,3.8,2.15,1.95,1.8
15,05/08/2023,15:00,ARGENTINA - PRIMERA NACIONAL,Almagro,San Telmo,1.85,3.1,5.5,2.88,2.5,1.5
16,05/08/2023,15:30,BRAZIL - SERIE B,Avai,Criciuma,2.46,2.92,3.29,2.48,2.11,1.69
17,05/08/2023,15:30,ARGENTINA - PRIMERA NACIONAL,Villa Dalmine,Gimnasia Jujuy,3.3,3.2,2.25,2.5,2.2,1.62
