Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No
1,06/08/2023,00:05,MEXICO - LIGA DE EXPANSION MX,Cimarrones de Sonora,Dorados de Sinaloa,1.45,4.4,6.52,1.78,1.78,1.88,1.88
20,06/08/2023,08:00,VIETNAM - V.LEAGUE 1,Binh Dinh,Hong Linh Ha Tinh,1.66,3.78,4.73,1.87,1.87,1.8,1.96
19,06/08/2023,10:00,NORWAY - OBOS-LIGAEN,KFUM Oslo,Asane,1.57,4.33,5.5,1.44,1.44,1.5,2.5
18,06/08/2023,10:00,SWEDEN - ALLSVENSKAN,Elfsborg,Sirius,1.3,5.75,9.5,1.4,1.4,1.75,2.0
17,06/08/2023,11:00,ICELAND - BESTA DEILD KARLA,Breidablik,KR Reykjavik,1.66,4.25,4.63,1.53,1.53,1.6,2.27
16,06/08/2023,11:00,LUXEMBOURG - NATIONAL DIVISION,Dudelange,Wiltz,1.23,6.4,9.1,1.32,1.32,1.74,2.04
15,06/08/2023,12:00,ARMENIA - PREMIER LEAGUE,Pyunik Yerevan,Ararat Yerevan,1.37,4.4,8.15,1.99,1.99,2.28,1.6
14,06/08/2023,12:00,SWEDEN - SUPERETTAN,GAIS,Sundsvall,1.29,5.25,8.0,1.44,1.44,1.8,1.95
13,06/08/2023,12:45,BULGARIA - PARVA LIGA,CSKA Sofia,Slavia Sofia,1.44,4.33,8.0,2.03,2.03,2.25,1.57
12,06/08/2023,13:00,RUSSIA - PREMIER LEAGUE,Zenit,Dynamo Moscow,1.6,4.59,5.83,1.69,1.69,1.7,2.1
11,06/08/2023,13:00,AZERBAIJAN - PREMIER LEAGUE,Sabah Baku,Gabala,1.48,4.15,6.52,1.92,1.92,2.0,1.77
10,06/08/2023,14:00,COSTA RICA - PRIMERA DIVISION,Cartagines,Puntarenas FC,1.62,3.6,4.75,1.88,1.88,1.83,1.83
9,06/08/2023,14:00,SENEGAL - LIGUE 1,Pikine,Excellence,1.44,4.25,6.68,1.88,1.88,2.0,1.77
8,06/08/2023,14:00,LUXEMBOURG - NATIONAL DIVISION,Differdange,Fola,1.38,4.85,6.72,1.47,1.47,1.68,2.13
7,06/08/2023,14:00,IRELAND - PREMIER DIVISION,Shamrock Rovers,Cork City,1.36,4.5,6.5,1.75,1.75,2.05,1.7
6,06/08/2023,16:00,CROATIA - HNL,Rijeka,Istra 1961,1.5,4.0,5.75,1.85,1.85,1.91,1.8
5,06/08/2023,16:30,ARGENTINA - PRIMERA NACIONAL,San Martin S.J.,All Boys,1.75,3.4,5.5,2.5,2.5,2.38,1.53
4,06/08/2023,18:00,BRAZIL - SERIE B,Ceara,ABC,1.61,3.74,6.02,2.3,2.3,2.27,1.6
3,06/08/2023,19:15,VENEZUELA - LIGA FUTVE,Puerto Cabello,Angostura,1.51,3.96,6.43,2.06,2.06,2.1,1.7
2,06/08/2023,19:30,PARAGUAY - PRIMERA DIVISION,Nacional Asuncion,Guairena FC,1.65,3.6,4.75,2.2,2.2,2.1,1.67
21,06/08/2023,20:00,ECUADOR - LIGA PRO,Barcelona SC,Gualaceo,1.36,5.5,8.0,1.6,1.6,1.91,1.8
22,06/08/2023,21:00,NICARAGUA - LIGA PRIMERA,Diriangen,Ocotal,1.29,5.62,9.2,1.6,1.6,2.07,1.72
