,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No
1,06/08/2023,00:00,USA - USL CHAMPIONSHIP,Phoenix Rising,San Antonio,2.33,3.5,2.69,1.71,1.55,2.38
2,06/08/2023,09:15,SWITZERLAND - SUPER LEAGUE,Lausanne,Yverdon,1.73,4.0,4.5,1.57,1.57,2.25
3,06/08/2023,09:15,VIETNAM - V.LEAGUE 1,Cong An,Hanoi FC,3.25,3.04,2.26,1.86,1.63,2.22
4,06/08/2023,11:00,LUXEMBOURG - NATIONAL DIVISION,Kaerjeng,Mondercange,2.79,3.5,2.3,1.72,1.56,2.36
5,06/08/2023,11:00,LUXEMBOURG - NATIONAL DIVISION,UNA Strassen,Hesperange,8.5,5.7,1.27,1.46,1.9,1.86
6,06/08/2023,11:00,BELGIUM - JUPILER PRO LEAGUE,KV Mechelen,Gent,4.0,4.0,1.8,1.57,1.57,2.25
7,06/08/2023,11:00,SCOTLAND - PREMIERSHIP,Hibernian,St. Mirren,1.91,3.4,4.2,2.0,1.8,1.95
8,06/08/2023,11:30,SWITZERLAND - SUPER LEAGUE,Grasshoppers,Basel,2.75,3.8,2.3,1.5,1.44,2.63
9,06/08/2023,12:00,AUSTRIA - BUNDESLIGA,A. Lustenau,Austria Vienna,4.0,4.0,1.83,1.57,1.53,2.38
10,06/08/2023,12:30,SLOVENIA - PRVA LIGA,Mura,Maribor,3.61,3.68,1.97,1.76,1.63,2.22
11,06/08/2023,14:00,IRELAND - PREMIER DIVISION,Shamrock Rovers,Cork City,1.36,4.5,6.5,1.75,2.05,1.7
12,06/08/2023,15:00,MONTENEGRO - PRVA CRNOGORSKA LIGA,Decic,OFK Petrovac,1.96,3.3,3.76,2.19,1.91,1.85
13,06/08/2023,15:30,SLOVAKIA - NIKE LIGA,Podbrezova,Zilina,1.96,3.92,3.43,1.49,1.48,2.57
14,06/08/2023,20:00,COSTA RICA - PRIMERA DIVISION,Saprissa,Herediano,1.91,3.25,3.6,2.05,1.83,1.83
15,06/08/2023,21:00,NICARAGUA - LIGA PRIMERA,Diriangen,Ocotal,1.29,5.62,9.2,1.6,2.07,1.72
