,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,07/08/2023,00:05,MEXICO - LIGA DE EXPANSION MX,Atletico La Paz,Tapatio,2.25,3.52,2.93,1.77,1.6,2.27,10.2,1.34,1.21,5.05,1.12
2,07/08/2023,07:30,SOUTH KOREA - K LEAGUE 2,Ansan Greeners,Cheongju,3.0,3.25,2.15,1.95,1.73,2.0,1.05,1.4,1.29,6.5,1.11
3,07/08/2023,09:00,INDONESIA - LIGA 1,Bali United,Persik Kediri,1.58,4.25,4.72,1.49,1.56,2.36,1.02,1.25,1.13,3.74,1.21
4,07/08/2023,12:00,FINLAND - VEIKKAUSLIIGA,KTP,Inter Turku,3.3,3.5,2.15,1.88,1.7,2.05,1.05,1.36,1.25,6.0,1.13
5,07/08/2023,13:00,ICELAND - BESTA DEILD KARLA,Valur,KA Akureyri,1.5,4.75,5.65,1.41,1.56,2.36,1.01,1.23,1.1,3.32,1.27
6,07/08/2023,14:00,SWEDEN - ALLSVENSKAN,Malmo FF,Halmstad,1.25,6.0,11.0,1.53,2.05,1.7,1.03,1.29,1.17,4.0,1.22
7,07/08/2023,15:00,POLAND - DIVISION 1,R. Rzeszow,Podbeskidzie,3.1,3.3,2.1,1.95,1.73,2.0,1.05,1.4,1.29,6.5,1.11
8,07/08/2023,15:00,CANADA - CANADIAN PREMIER LEAGUE,HFX Wanderers,Pacific FC,2.82,3.1,2.45,2.13,1.81,1.95,1.04,1.46,1.34,7.1,1.05
9,07/08/2023,20:00,PARAGUAY - PRIMERA DIVISION,Tacuary,Ameliano,2.9,3.3,2.15,1.93,1.73,2.0,1.05,1.4,1.29,6.5,1.11
10,07/08/2023,20:00,BRAZIL - SERIE B,Londrina,Vitoria,3.33,2.96,2.41,2.4,2.06,1.73,1.08,1.59,1.51,8.9,1.02
