,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,07/08/2023,07:30,SOUTH KOREA - K LEAGUE 2,Ansan Greeners,Cheongju,3.0,3.25,2.15,1.95,1.73,2.0,1.05,1.4,1.29,6.5,1.11
2,07/08/2023,12:30,SLOVENIA - PRVA LIGA,Bravo,Celje,2.84,3.34,2.45,2.06,1.79,1.98,1.03,1.43,1.31,6.7,1.06
3,07/08/2023,13:00,SERBIA - SUPER LIGA,Radnik,Sp. Subotica,2.08,3.28,3.53,2.25,1.92,1.84,1.04,1.47,1.37,7.8,1.04
4,07/08/2023,14:00,POLAND - EKSTRAKLASA,Puszcza,Stal Mielec,2.38,3.2,3.0,2.05,1.8,1.95,1.06,1.44,1.33,8.0,1.08
5,07/08/2023,14:00,SWEDEN - ALLSVENSKAN,Norrkoping,Goteborg,2.15,3.3,3.5,1.98,1.75,2.0,1.06,1.4,1.29,6.5,1.11
6,07/08/2023,14:00,SWEDEN - ALLSVENSKAN,Varberg,Mjallby,2.88,3.2,2.55,2.25,1.95,1.8,1.08,1.5,1.4,10.0,1.06
7,07/08/2023,15:00,PERU - LIGA 1,AD Cantolao,Sport Huancayo,4.5,3.5,1.83,2.03,1.83,1.83,1.06,1.4,1.3,7.0,1.1
8,07/08/2023,15:15,BULGARIA - PARVA LIGA,Beroe,Krumovgrad,2.45,3.2,3.0,2.15,1.83,1.83,1.07,1.44,1.36,9.0,1.07
9,07/08/2023,15:30,ARGENTINA - PRIMERA NACIONAL,Flandria,Estudiantes Rio Cuarto,3.0,3.0,2.6,2.88,2.25,1.57,1.13,1.62,1.57,15.0,1.03
10,07/08/2023,15:30,ROMANIA - LIGA 1,FC Voluntari,FC Rapid Bucuresti,3.3,3.25,2.1,2.25,2.0,1.73,1.07,1.5,1.4,10.0,1.06
11,07/08/2023,18:00,BRAZIL - SERIE B,Juventude,Vila Nova FC,2.33,2.9,3.58,2.64,2.22,1.63,1.1,1.64,1.59,10.2,8.25
12,07/08/2023,19:15,COLOMBIA - PRIMERA A,Bucaramanga,Jaguares de Cordoba,2.0,3.3,4.0,2.2,1.91,1.8,1.07,1.44,1.36,9.0,1.07
13,07/08/2023,21:00,ARGENTINA - PRIMERA NACIONAL,Chaco For Ever,Racing Cordoba,2.3,3.1,3.4,2.7,2.25,1.57,1.13,1.62,1.53,13.0,1.04
14,07/08/2023,21:10,ARGENTINA - PRIMERA NACIONAL,Gimnasia Mendoza,Almirante Brown,2.3,3.2,3.3,2.6,2.25,1.57,1.1,1.57,1.5,13.0,1.04
