,League,Round,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,CHINA - SUPER LEAGUE,ROUND 23,18/08/2023,08:35,Zhejiang Professional,Qingdao Hainiu,1.73,3.75,4.75
2,THAILAND - THAI LEAGUE 1,ROUND 2,18/08/2023,09:00,Pathum United,Prachuap,1.77,3.82,4.13
3,PORTUGAL - LIGA PORTUGAL 2,ROUND 2,18/08/2023,14:00,Maritimo,AVS,1.73,3.6,4.2
4,SPAIN - LALIGA2,ROUND 2,18/08/2023,14:00,Andorra,FC Cartagena SAD,1.91,3.4,4.2
5,SWEDEN - SUPERETTAN,ROUND 19,18/08/2023,14:00,GAIS,AFC Eskilstuna,1.4,4.2,7.5
6,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,ROUND 2,18/08/2023,15:00,Al Nassr,Al Taawon,1.33,4.75,9.5
7,ROMANIA - LIGA 1,ROUND 6,18/08/2023,15:30,Univ. Craiova,UTA Arad,1.44,4.33,7.5
8,ENGLAND - PREMIER LEAGUE,ROUND 2,18/08/2023,15:45,Nottingham,Sheffield Utd,1.85,3.5,4.5
9,VENEZUELA - LIGA FUTVE,ROUND 24,18/08/2023,17:00,Carabobo,Hermanos Colmenarez,1.73,3.52,4.82
10,BRAZIL - SERIE B,ROUND 24,18/08/2023,19:00,Vitoria,Botafogo SP,1.85,3.14,5.15
11,ARGENTINA - COPA DE LA LIGA PROFESIONAL,ROUND 1,18/08/2023,21:00,Boca Juniors,Platense,1.8,3.4,4.75
12,PANAMA - LPF,CLAUSURA ,18/08/2023,22:00,Plaza Amador,Arabe Unido,1.82,3.4,3.84
13,MEXICO - LIGA MX,APERTURA ,18/08/2023,22:06,Club Leon,Mazatlan FC,1.33,4.5,8.5
14,COSTA RICA - PRIMERA DIVISION,APERTURA ,18/08/2023,23:00,Alajuelense,San Carlos,1.5,3.8,5.75
