,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,hvFm5tjq,18/08/2023,07:30,SOUTH KOREA - K LEAGUE 1,Incheon,Gwangju FC,ROUND 27,2.25,3.0,3.0,1.5,2.5,1.08,8.0,1.4,2.75,2.25,1.62,4.0,1.22,10.0,1.06,1.91,1.8,2.35,1.58,1.38,3.0,8.0,8.0,15.0,34.0,7.0,6.0,12.0,29.0,11.0,10.0,17.0,41.0,23.0,21.0,34.0,51.0,351.0
2,8buDXK7s,18/08/2023,08:35,CHINA - SUPER LEAGUE,Zhejiang Professional,Qingdao Hainiu,ROUND 23,1.73,3.75,4.75,1.3,3.4,1.03,15.0,1.18,4.5,1.65,2.2,2.5,1.5,4.5,1.18,1.62,2.2,1.7,2.1,1.2,4.4,13.0,17.0,26.0,51.0,9.0,7.0,15.0,26.0,9.5,8.5,12.0,34.0,15.0,13.0,21.0,41.0,151.0
3,6kgox1aQ,18/08/2023,08:35,CHINA - SUPER LEAGUE,Shandong Taishan,Tianjin Jinmen Tiger,ROUND 23,1.29,5.5,11.0,1.29,3.5,1.03,15.0,1.18,4.5,1.6,2.3,2.5,1.5,4.33,1.2,2.0,1.75,1.28,3.55,,,15.0,23.0,51.0,126.0,7.5,10.0,29.0,67.0,6.5,9.0,21.0,51.0,8.0,11.0,26.0,67.0,351.0
4,EmCFQw5k,18/08/2023,09:00,INDONESIA - LIGA 1,Persita,PSS Sleman,ROUND 9,1.75,3.72,4.2,1.34,2.99,1.01,10.0,1.23,3.56,1.8,1.99,2.84,1.35,5.25,1.11,1.71,2.08,,,,,10.0,12.0,21.0,56.0,6.5,6.5,13.0,34.0,7.0,7.0,12.0,41.0,12.0,11.0,19.0,56.0,67.0
5,tnShzwGm,18/08/2023,13:00,POLAND - DIVISION 1,Podbeskidzie,Zaglebie Sosnowiec,ROUND 5,1.91,3.4,3.75,1.36,3.0,1.05,11.0,1.29,3.5,1.95,1.9,3.25,1.33,6.5,1.11,1.73,2.0,1.98,1.88,1.28,3.55,11.0,12.0,21.0,41.0,7.5,6.5,13.0,29.0,9.5,9.0,15.0,34.0,17.0,15.0,26.0,51.0,201.0
6,lMC0hREr,18/08/2023,13:10,AUSTRIA - 2. LIGA,Amstetten,Stripfing,ROUND 4,2.33,3.68,2.81,1.29,3.4,1.02,13.3,1.16,4.33,1.63,2.28,2.42,1.47,4.25,1.17,1.51,2.48,,,,,11.0,10.0,14.0,23.0,8.5,6.0,8.5,15.0,10.0,7.5,9.0,19.0,17.0,12.0,15.0,26.0,201.0
7,nDQYd76R,18/08/2023,13:10,AUSTRIA - 2. LIGA,Floridsdorfer AC,Lafnitz,ROUND 4,2.0,3.62,3.56,1.35,3.04,1.01,10.0,1.22,3.64,1.81,2.0,2.84,1.35,5.25,1.11,1.67,2.15,,,,,10.0,10.0,15.0,34.0,7.0,5.5,9.5,20.0,8.5,7.0,9.5,26.0,14.0,12.0,18.0,41.0,201.0
8,CtJMa9M8,18/08/2023,13:10,AUSTRIA - 2. LIGA,Horn,First Vienna,ROUND 4,2.51,3.64,2.58,1.31,3.28,12.1,1.04,1.17,4.15,1.67,2.21,2.51,1.44,4.5,1.15,1.53,2.43,,,,,11.0,9.0,11.0,21.0,9.0,5.5,8.0,14.0,11.0,7.5,9.0,18.0,21.0,14.0,18.0,31.0,201.0
9,WfomWCqg,18/08/2023,13:30,RUSSIA - PREMIER LEAGUE,Rubin Kazan,Krylya Sovetov,ROUND 5,2.61,3.69,2.77,1.35,3.05,1.01,10.2,1.22,3.7,1.87,2.08,2.83,1.36,5.2,1.11,1.63,2.22,,,,,,,,,,,,,,,,,,,,,
10,OnBMzElG,18/08/2023,14:00,SWEDEN - SUPERETTAN,GAIS,AFC Eskilstuna,ROUND 19,1.4,4.2,7.5,1.33,3.25,1.04,13.0,1.2,4.33,1.7,2.1,2.63,1.44,5.0,1.17,1.95,1.8,1.43,2.75,1.1,7.0,12.0,19.0,41.0,81.0,7.5,8.5,23.0,51.0,7.0,8.5,19.0,51.0,9.5,12.0,26.0,51.0,301.0
11,0xIOEXr8,18/08/2023,15:00,NETHERLANDS - EERSTE DIVISIE,Willem II,Dordrecht,ROUND 2,1.33,5.0,9.5,1.25,3.75,1.03,15.0,1.17,5.0,1.53,2.4,2.25,1.57,4.0,1.22,1.83,1.83,1.33,3.3,,,15.0,23.0,41.0,101.0,8.5,9.5,26.0,51.0,7.0,9.5,19.0,51.0,8.5,11.0,26.0,51.0,251.0
