Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,j3SZkVYs,19/08/2023,05:00,ROMANIA - LIGA 2,CSM Resita,CSC Dumbravita,ROUND 3,2.4,3.24,2.83,1.41,2.69,1.03,8.7,1.31,3.04,2.04,1.76,3.48,1.24,7.0,1.06,1.77,2.0,,,,,8.0,8.0,12.0,23.0,7.5,5.5,9.0,19.0,11.0,8.5,11.0,26.0,21.0,17.0,26.0,67.0,101.0
2,UgRwkkll,19/08/2023,05:00,ROMANIA - LIGA 2,Viitorul Tg. Jiu,Ceahlaul,ROUND 3,2.53,3.18,2.66,1.44,2.59,1.04,8.1,1.35,2.84,2.16,1.68,3.74,1.21,7.8,1.05,1.83,1.93,,,,,7.5,7.5,11.0,21.0,7.5,5.5,8.5,19.0,11.0,8.5,12.0,29.0,23.0,19.0,31.0,67.0,101.0
3,GQa8pqkS,19/08/2023,05:00,HONG KONG - PREMIER LEAGUE,Kitchee,Tai Po,ROUND 1,1.03,13.0,36.0,1.12,5.5,55.0,41.0,1.04,9.5,1.2,3.84,1.61,2.28,2.23,1.55,2.42,1.53,,,,,46.0,101.0,201.0,201.0,10.0,23.0,101.0,201.0,6.0,10.0,41.0,201.0,5.0,9.0,26.0,176.0,201.0
4,QuBt9AuK,19/08/2023,05:00,ROMANIA - LIGA 2,CSM Alexandria,Selimbar,ROUND 3,2.48,3.22,2.69,1.43,2.62,1.03,8.9,1.33,2.93,2.09,1.72,3.56,1.23,7.0,1.07,1.79,1.98,,,,,8.0,7.5,11.0,23.0,7.5,5.5,8.5,19.0,11.0,8.5,12.0,26.0,23.0,17.0,26.0,61.0,101.0
5,6sJi405k,19/08/2023,07:00,SOUTH KOREA - K LEAGUE 1,Ulsan Hyundai,Jeonbuk,ROUND 27,2.05,3.4,3.1,1.36,3.0,1.05,11.0,1.25,3.75,1.9,1.95,3.25,1.33,6.5,1.11,1.73,2.0,2.1,1.7,1.35,3.1,11.0,10.0,17.0,34.0,8.0,6.5,11.0,26.0,11.0,9.0,13.0,34.0,21.0,17.0,26.0,41.0,201.0
6,04Ie3KKe,19/08/2023,07:00,SOUTH KOREA - K LEAGUE 1,Gangwon,Suwon FC,ROUND 27,2.15,3.3,2.88,1.36,3.0,1.04,13.0,1.22,4.0,1.8,2.0,2.75,1.4,5.5,1.14,1.62,2.2,2.15,1.68,1.38,3.0,12.0,11.0,17.0,34.0,9.0,7.0,11.0,23.0,12.0,9.0,13.0,29.0,21.0,17.0,23.0,41.0,151.0
7,rBfagMA3,19/08/2023,07:00,SINGAPORE - PREMIER LEAGUE,Geylang,Young Lions,-,1.36,5.0,5.75,1.13,6.0,1.01,34.0,1.05,11.0,1.2,4.33,1.5,2.5,2.1,1.67,1.33,3.25,1.38,3.0,1.13,5.9,34.0,41.0,41.0,67.0,21.0,15.0,21.0,41.0,15.0,11.0,13.0,29.0,15.0,11.0,15.0,26.0,51.0
8,veHa2vz2,19/08/2023,07:30,SOUTH KOREA - K LEAGUE 1,Seoul,Daegu,ROUND 27,2.0,3.25,3.4,1.44,2.63,1.06,10.0,1.33,3.25,2.1,1.7,3.75,1.25,8.0,1.08,1.83,1.83,2.05,1.8,1.3,3.45,9.0,9.5,17.0,41.0,7.0,6.5,13.0,29.0,9.0,9.0,17.0,41.0,17.0,17.0,29.0,51.0,351.0
9,Gx6S0axK,19/08/2023,08:00,THAILAND - THAI LEAGUE 1,Bangkok Utd,Muang Thong Utd,ROUND 2,1.73,3.94,4.22,1.3,3.32,1.02,12.8,1.17,4.25,1.64,2.25,2.48,1.45,4.35,1.16,1.59,2.29,,,,,11.0,13.0,20.0,46.0,7.0,6.0,11.0,26.0,7.5,6.5,10.0,26.0,11.0,10.0,15.0,36.0,201.0
10,Aa5WaJiQ,19/08/2023,09:00,THAILAND - THAI LEAGUE 1,Ratchaburi,Nakhon Pathom,ROUND 2,1.74,3.7,4.47,1.39,2.85,1.02,9.2,1.27,3.28,1.92,1.88,3.14,1.29,5.95,1.08,1.81,1.95,,,,,8.5,10.0,19.0,51.0,5.5,5.5,11.0,34.0,7.0,6.5,12.0,41.0,11.0,11.0,21.0,61.0,201.0
