Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,OIg6m1C2,20/08/2023,05:00,INDONESIA - LIGA 1,Persija Jakarta,Arema FC,ROUND 9,1.33,4.85,8.25,1.3,3.22,1.03,9.5,1.18,4.05,1.68,2.16,2.57,1.42,4.6,1.14,1.95,1.81,,,,,,,,,,,,,,,,,,,,,
2,UXuqvsSe,20/08/2023,05:00,HONG KONG - PREMIER LEAGUE,Eastern AA,HK U23,ROUND 1,1.04,11.7,33.0,1.14,5.0,46.0,41.0,1.05,8.5,1.24,3.48,1.7,2.13,2.42,1.47,2.42,1.53,,,,,41.0,91.0,201.0,201.0,9.5,23.0,101.0,201.0,5.5,11.0,51.0,201.0,5.0,9.5,36.0,201.0,201.0
3,GC0rRNC2,20/08/2023,07:00,SOUTH KOREA - K LEAGUE 1,Pohang,Daejeon,ROUND 27,1.7,3.5,4.2,1.36,3.0,1.04,13.0,1.25,3.75,1.85,2.0,3.0,1.36,6.0,1.13,1.8,1.91,1.73,2.08,1.2,4.4,11.0,13.0,23.0,51.0,7.5,7.0,15.0,34.0,8.5,8.5,15.0,41.0,15.0,13.0,23.0,51.0,201.0
4,nLdbew0s,20/08/2023,08:00,THAILAND - THAI LEAGUE 1,Buriram,Lamphun Warrior,ROUND 2,1.21,6.25,12.5,1.25,3.6,1.01,14.2,1.15,4.5,1.53,2.28,2.44,1.55,4.05,1.18,2.16,1.66,,,,,15.0,34.0,81.0,201.0,6.0,11.0,36.0,126.0,5.0,7.0,23.0,126.0,5.5,8.0,23.0,101.0,201.0
5,OpxJAKFF,20/08/2023,10:00,FINLAND - VEIKKAUSLIIGA,KuPS,SJK,-,2.0,3.3,3.4,1.44,2.63,1.06,10.0,1.33,3.25,2.08,1.73,3.75,1.25,8.0,1.08,1.91,1.91,2.05,1.75,1.3,3.45,9.5,9.5,17.0,41.0,7.0,6.5,12.0,29.0,9.5,9.0,15.0,41.0,19.0,17.0,29.0,51.0,301.0
6,Uw57uwzI,20/08/2023,10:00,NORWAY - OBOS-LIGAEN,Moss,Mjondalen,ROUND 19,1.95,3.6,3.8,1.3,3.4,1.04,13.0,1.2,4.33,1.67,2.15,2.63,1.44,5.0,1.17,1.57,2.25,1.95,1.9,1.28,3.55,13.0,15.0,21.0,41.0,9.5,7.0,13.0,29.0,11.0,8.5,12.0,29.0,17.0,15.0,21.0,41.0,126.0
7,KztiXAkG,20/08/2023,10:00,SWEDEN - ALLSVENSKAN,Hacken,Sirius,ROUND 20,1.44,4.75,7.0,1.2,4.33,1.01,23.0,1.1,7.0,1.36,3.1,1.83,1.83,3.0,1.36,1.5,2.5,1.45,2.68,1.13,5.9,23.0,26.0,41.0,67.0,12.0,10.0,19.0,41.0,10.0,8.5,13.0,34.0,12.0,11.0,17.0,34.0,101.0
8,2wAQZX3M,20/08/2023,10:00,SWEDEN - SUPERETTAN,Orgryte,Ostersund,ROUND 19,2.1,3.4,3.5,1.36,3.0,1.05,11.0,1.25,3.75,1.9,1.95,3.25,1.33,6.0,1.13,1.7,2.05,2.05,1.75,,,11.0,11.0,19.0,41.0,8.0,6.5,12.0,26.0,10.0,9.0,13.0,34.0,19.0,17.0,26.0,41.0,201.0
9,xlfRPeMc,20/08/2023,11:00,BELGIUM - JUPILER PRO LEAGUE,Genk,Charleroi,ROUND 4,1.53,4.2,5.5,1.25,3.75,1.03,17.0,1.14,5.5,1.53,2.4,2.25,1.57,4.0,1.22,1.62,2.2,1.53,2.43,1.15,5.5,17.0,19.0,34.0,51.0,9.5,8.5,17.0,41.0,9.0,8.5,13.0,34.0,12.0,11.0,21.0,41.0,151.0
10,WWrk4Tnc,20/08/2023,11:00,AZERBAIJAN - PREMIER LEAGUE,Qarabag,Araz,ROUND 3,1.23,6.1,10.8,1.22,3.8,1.01,13.0,1.11,5.1,1.44,2.51,2.2,1.67,3.48,1.24,1.91,1.85,,,,,17.0,34.0,91.0,201.0,6.5,11.0,31.0,101.0,5.0,7.0,20.0,101.0,6.0,8.0,21.0,91.0,201.0
11,M7xs8ewS,20/08/2023,12:00,UZBEKISTAN - SUPER LEAGUE,Buxoro,Termez Surkhon,ROUND 17,2.63,2.88,2.93,1.57,2.25,1.1,5.9,1.48,2.45,2.48,1.5,4.6,1.16,9.0,1.04,2.1,1.65,,,,,,,,,,,,,,,,,,,,,
12,63KVp0OQ,20/08/2023,12:00,SPAIN - LALIGA2,R. Oviedo,Ferrol,ROUND 2,2.05,3.0,4.33,1.62,2.2,1.13,6.0,1.53,2.38,2.7,1.44,5.5,1.14,13.0,1.04,2.25,1.57,2.05,1.8,1.23,4.0,6.0,8.5,19.0,41.0,5.5,6.0,15.0,41.0,8.0,10.0,21.0,51.0,17.0,21.0,41.0,81.0,201.0
13,j1ymYjzA,20/08/2023,12:30,SWEDEN - ALLSVENSKAN,Elfsborg,Mjallby,ROUND 20,1.4,4.75,8.0,1.33,3.25,1.04,13.0,1.22,4.0,1.73,2.08,2.75,1.4,5.5,1.14,1.95,1.8,1.4,2.85,1.1,7.0,12.0,19.0,41.0,81.0,7.0,8.5,23.0,51.0,6.5,8.5,19.0,51.0,9.0,12.0,26.0,51.0,351.0
14,zPTdHJgd,20/08/2023,12:30,URUGUAY - PRIMERA DIVISION,Danubio,Montevideo City,CLAUSURA ,2.05,3.1,3.75,1.5,2.5,1.08,8.0,1.4,2.75,2.25,1.62,4.0,1.22,10.0,1.06,2.0,1.73,2.05,1.8,1.26,3.7,7.5,9.5,19.0,41.0,6.5,6.0,13.0,34.0,9.0,9.5,17.0,41.0,19.0,19.0,34.0,51.0,201.0
15,Y7D4mpMd,20/08/2023,14:00,ARGENTINA - PRIMERA NACIONAL,Agropecuario,Almagro,ROUND 30,1.91,3.2,4.75,1.67,2.1,1.13,6.0,1.62,2.2,2.88,1.4,6.0,1.13,15.0,1.03,2.63,1.44,1.93,1.93,1.21,4.25,5.5,8.5,21.0,51.0,4.75,6.5,17.0,51.0,7.0,10.0,23.0,67.0,15.0,21.0,41.0,101.0,201.0
16,AV3xUKk0,20/08/2023,15:00,POLAND - EKSTRAKLASA,Legia,Korona Kielce,ROUND 5,1.5,4.33,6.0,1.3,3.4,1.03,15.0,1.18,4.5,1.62,2.25,2.5,1.5,4.5,1.18,1.75,2.0,1.5,2.5,1.14,5.75,15.0,19.0,34.0,67.0,8.5,8.5,19.0,41.0,8.0,8.5,15.0,41.0,11.0,12.0,21.0,41.0,201.0
17,fVJuyrXG,20/08/2023,15:00,BOSNIA AND HERZEGOVINA - PREMIJER LIGA BIH,Zrinjski,GOSK Gabela,ROUND 4,1.1,8.5,21.0,,,,,,,1.44,2.7,2.0,1.65,3.05,1.28,2.32,1.47,,,,,,,,,,,,,,,,,,,,,
18,nNXdNcbp,20/08/2023,15:15,BULGARIA - PARVA LIGA,Levski Sofia,Pirin Blagoevgrad,ROUND 6,1.17,7.0,17.0,1.29,3.5,1.04,13.0,1.18,4.5,1.62,2.25,2.5,1.5,4.5,1.18,2.63,1.44,1.17,5.0,,,13.0,29.0,67.0,251.0,6.5,13.0,41.0,126.0,5.5,11.0,34.0,101.0,6.5,12.0,41.0,126.0,201.0
