,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Media_Ptos_H,DesvPad_Ptos_H,CV_VG_H,Media_Ptos_A,DesvPad_Ptos_A,CV_VG_A,p_H,p_D,p_A,p_Over,p_Under,CV_HDA,coeficiente_pontos,cv_pontos,prediction_label,prediction_score
1,PORTUGAL - LIGA PORTUGAL 2,27/08/2023,07:00,FC Porto B,Leiria,2.3,3.2,2.7,2.0,1.85,1.73,2.0,1.6,1.2,0.709,2.3333333,0.94280905,0.723,0.4347826,0.3125,0.37037036,0.5,0.5405405,0.13406345,-0.733,2.143,1,0.5726
2,SOUTH KOREA - K LEAGUE 1,27/08/2023,07:00,Seoul,Ulsan Hyundai,2.8,3.4,2.45,1.83,2.03,1.62,2.2,1.3,1.1874342,1.273,1.9,1.3747727,0.408,0.35714287,0.29411766,0.40816328,0.5464481,0.49261084,0.13208547,-0.6,2.562,1,0.523
3,SOUTH KOREA - K LEAGUE 2,27/08/2023,07:30,Cheonan City,Cheongju,2.88,3.1,2.38,2.15,1.67,1.83,1.83,0.6,0.9165151,1.2,1.1,1.0440307,0.955,0.3472222,0.32258064,0.42016807,0.4651163,0.5988024,0.11404387,-0.5,1.961,1,0.7769
4,SOUTH KOREA - K LEAGUE 1,27/08/2023,07:30,Gwangju FC,Suwon Bluewings,1.91,3.3,4.33,2.25,1.62,2.0,1.73,1.5,1.2845232,0.821,1.5,1.024695,0.219,0.5235602,0.3030303,0.23094688,0.44444445,0.61728394,0.3531154,0.0,2.309,1,0.527
5,SWEDEN - SUPERETTAN,27/08/2023,08:00,Brage,Utsikten,3.0,3.3,2.2,1.93,1.93,1.7,2.05,1.7,1.3453624,0.837,1.8,1.2489996,0.753,0.33333334,0.3030303,0.45454547,0.5181347,0.5181347,0.18002057,-0.1,2.594,1,0.702
6,BELGIUM - JUPILER PRO LEAGUE,27/08/2023,08:30,Club Brugge KV,Genk,2.04,3.87,3.36,1.66,2.26,1.53,2.42,1.7,1.3453624,0.651,1.3,1.1874342,0.726,0.49019608,0.25839794,0.29761904,0.60240966,0.44247788,0.29047522,0.4,2.533,1,0.5057
7,BELGIUM - CHALLENGER PRO LEAGUE,27/08/2023,08:30,Dender,Lierse K.,2.05,3.4,3.2,1.67,2.15,1.57,2.25,1.6,1.4282857,0.808,1.4,1.356466,0.646,0.4878049,0.29411766,0.3125,0.5988024,0.4651163,0.2392918,0.2,2.785,1,0.5011
8,NETHERLANDS - EERSTE DIVISIE,27/08/2023,09:30,Groningen,Willem II,1.95,3.4,3.8,1.88,1.98,1.73,2.0,0.5,0.92195445,1.338,1.1,1.0440307,0.652,0.51282054,0.29411766,0.2631579,0.5319149,0.5050505,0.3115122,-0.6,1.966,1,0.63
9,POLAND - EKSTRAKLASA,27/08/2023,10:00,Korona Kielce,Zaglebie,2.6,3.3,2.6,1.9,1.95,1.67,2.1,2.3,1.1,0.568,2.1,1.1357816,0.493,0.3846154,0.3030303,0.3846154,0.5263158,0.51282054,0.10760321,0.2,2.236,1,0.6491
10,PORTUGAL - LIGA PORTUGAL 2,27/08/2023,10:00,Santa Clara,Vilaverdense,1.55,3.5,5.5,1.98,1.88,1.91,1.8,0.8,1.1661904,1.044,2.25,1.299038,0.214,0.6451613,0.2857143,0.18181819,0.5050505,0.5319149,0.53523535,-1.45,2.465,1,0.9194
11,GEORGIA - CRYSTALBET EROVNULI LIGA,27/08/2023,10:00,Samgurali,Torpedo Kutaisi,2.37,3.34,2.8,1.91,1.87,1.69,2.11,2.2,0.9797959,0.624,1.3,1.1874342,1.255,0.42194092,0.2994012,0.35714287,0.5235602,0.53475934,0.13923497,0.9,2.167,1,0.5065
12,ENGLAND - PREMIER LEAGUE,27/08/2023,10:00,Sheffield Utd,Manchester City,13.0,8.0,1.17,1.53,2.5,2.5,1.5,2.4,1.2,0.669,2.1,1.1357816,0.52,0.07692308,0.125,0.85470086,0.6535948,0.4,1.0103627,0.3,2.336,1,0.8788
13,ENGLAND - PREMIER LEAGUE,27/08/2023,10:00,Burnley,Aston Villa,3.4,3.4,2.15,1.83,2.07,1.67,2.1,2.3,1.1,0.624,1.5,1.2845232,0.671,0.29411766,0.29411766,0.4651163,0.5464481,0.4830918,0.22958012,0.8,2.385,1,0.7881
