,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,23/09/2023,00:10,MEXICO - LIGA MX,Puebla,U.N.A.M.- Pumas,3.4,3.8,2.0,1.53,1.53,2.38,1.03,1.29,1.17,4.0,1.22
2,23/09/2023,02:00,SOUTH KOREA - K LEAGUE 1,Daejeon,Suwon Bluewings,2.15,3.5,3.2,1.85,1.67,2.1,1.04,1.36,1.25,6.0,1.13
3,23/09/2023,04:00,SOUTH KOREA - K LEAGUE 2,Gimcheon Sangmu,Anyang,1.95,3.5,3.8,2.0,1.73,2.0,1.06,1.4,1.3,7.0,1.1
4,23/09/2023,09:00,INDONESIA - LIGA 1,FC Bhayangkara,Persib Bandung,3.15,3.3,2.12,1.72,1.55,2.15,1.01,1.34,1.23,5.3,1.11
5,23/09/2023,09:00,INDIA - ISL,Odisha FC,Chennaiyin,2.0,3.4,3.25,1.6,1.53,2.38,1.03,1.3,1.17,4.33,1.2
6,23/09/2023,10:00,NORWAY - OBOS-LIGAEN,Sogndal,Asane,1.53,4.75,5.25,1.4,1.5,2.5,1.02,1.22,1.11,3.25,1.33
7,23/09/2023,10:00,NORWAY - OBOS-LIGAEN,Skeid,Kongsvinger,5.75,4.75,1.5,1.57,1.67,2.1,1.03,1.29,1.17,4.0,1.22
8,23/09/2023,10:00,THAILAND - THAI LEAGUE 1,Lamphun Warrior,Chiangrai Utd,2.52,3.25,2.65,1.93,1.72,2.0,1.06,1.42,1.31,5.5,1.11
9,23/09/2023,10:00,NETHERLANDS - TWEEDE DIVISIE,Quick Boys,Katwijk,2.6,3.75,2.27,1.5,1.47,2.35,1.01,1.24,1.14,3.45,1.22
10,23/09/2023,10:00,SWEDEN - SUPERETTAN,Gefle,GAIS,5.5,4.2,1.5,1.65,1.8,1.95,1.03,1.33,1.2,4.5,1.18
17,23/09/2023,11:00,ENGLAND - PREMIER LEAGUE,Manchester City,Nottingham,1.14,9.0,15.0,1.44,2.25,1.57,1.02,1.22,1.14,3.5,1.3
16,23/09/2023,11:00,SERBIA - SUPER LIGA,Crvena zvezda,TSC,1.22,5.8,11.25,1.55,2.2,1.6,1.03,1.29,1.18,3.8,1.22
15,23/09/2023,11:00,NORTHERN IRELAND - NIFL PREMIERSHIP,Crusaders,Glenavon,1.36,4.75,7.3,1.62,1.9,1.8,1.04,1.32,1.2,4.1,1.2
18,23/09/2023,11:00,AZERBAIJAN - PREMIER LEAGUE,Sumqayit,Turan,2.8,2.95,2.52,2.05,1.75,1.85,1.03,1.47,1.36,6.9,1.05
13,23/09/2023,11:00,NORTHERN IRELAND - NIFL CHAMPIONSHIP,Dergview,Knockbreda,1.7,3.95,4.0,1.45,1.47,2.32,1.01,1.22,1.14,3.2,1.25
12,23/09/2023,11:00,NORTHERN IRELAND - NIFL CHAMPIONSHIP,Dundela,Ards,2.0,3.85,3.05,1.4,1.39,2.57,1.01,1.22,1.14,3.0,1.29
11,23/09/2023,11:00,NORTHERN IRELAND - NIFL CHAMPIONSHIP,H&W Welders,Ballyclare,1.98,3.55,3.25,1.5,1.44,2.42,1.01,1.24,1.14,3.4,1.23
14,23/09/2023,11:00,NORTHERN IRELAND - NIFL CHAMPIONSHIP,Portadown,Ballinamallard,1.52,4.4,5.0,1.47,1.6,2.07,1.01,1.23,1.13,3.35,1.23
19,23/09/2023,11:30,NETHERLANDS - EREDIVISIE,FC Volendam,Heracles,2.8,3.75,2.3,1.6,1.5,2.5,1.03,1.29,1.18,4.33,1.2
