,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_Under45,FT_Odd_BTTS_No,mean10_gols_feitos_home_ft,mean10_gols_sofridos_home_ft,mean10_gols_feitos_away_ft,mean10_gols_sofridos_away_ft,p_H,p_D,p_A,p_Over,p_under45,CV_HDA,coeficiente10_gols_feitos,coeficiente10_gols_sofridos,prediction_label,prediction_score
1,SOUTH KOREA - K LEAGUE 2,30/09/2023,01:30,Anyang,Seongnam,1.95,3.4,3.5,2.1,1.7,1.83,1.08,1.83,1.4,1.3,1.2,1.3,0.513,0.294,0.286,0.476,0.926,0.289,0.2,0.0,1,0.5342
2,SOUTH KOREA - K LEAGUE 2,30/09/2023,06:30,Asan,Seoul E-Land,2.2,3.1,3.1,2.25,1.62,2.0,1.06,1.73,1.7,1.3,1.1,1.5,0.455,0.323,0.323,0.444,0.943,0.17,0.6,-0.2,1,0.5013
3,SWEDEN - ALLSVENSKAN,30/09/2023,10:00,Djurgarden,Halmstad,1.4,4.75,7.0,1.73,2.08,2.0,1.14,1.75,1.8,0.8,1.0,1.7,0.714,0.211,0.143,0.578,0.877,0.715,0.8,-0.9,1,0.5041
4,ARGENTINA - COPA DE LA LIGA PROFESIONAL,30/09/2023,11:00,Arsenal Sarandi,Defensa y Justicia,2.45,3.0,3.1,2.3,1.6,1.91,1.06,1.8,1.0,1.3,1.1,1.1,0.408,0.333,0.323,0.435,0.943,0.107,-0.1,0.2,1,0.5742
5,SCOTLAND - PREMIERSHIP,30/09/2023,11:00,Hibernian,Dundee FC,1.75,3.75,4.75,1.8,2.0,1.75,1.14,2.0,2.2,1.9,1.3,1.1,0.571,0.267,0.211,0.556,0.877,0.452,0.9,0.8,1,0.7001
6,SCOTLAND - PREMIERSHIP,30/09/2023,11:00,Ross County,Hearts,3.25,3.5,2.2,1.83,2.03,1.67,1.14,2.1,1.6,1.2,0.8,1.6,0.308,0.286,0.455,0.546,0.877,0.215,0.8,-0.4,1,0.8303
7,SCOTLAND - LEAGUE TWO,30/09/2023,11:00,East Fife,Forfar Athletic,2.3,3.2,3.2,2.03,1.83,1.8,1.1,1.91,1.8,1.1,0.6,1.3,0.435,0.312,0.312,0.493,0.909,0.164,1.2,-0.2,1,0.8034
8,SPAIN - PRIMERA RFEF,30/09/2023,11:00,Real Madrid B,Recreativo Huelva,1.8,3.4,3.8,2.3,1.6,2.0,1.06,1.73,1.3,0.8,0.5,0.4,0.556,0.294,0.263,0.435,0.943,0.354,0.8,0.4,1,0.6744
9,BELGIUM - CHALLENGER PRO LEAGUE,30/09/2023,11:00,Beerschot VA,Oostende,2.05,3.5,2.9,1.67,2.15,1.57,1.17,2.25,1.3,1.0,1.0,2.4,0.488,0.286,0.345,0.599,0.855,0.227,0.3,-1.4,1,0.5622
10,SCOTLAND - LEAGUE TWO,30/09/2023,11:00,Spartans,Bonnyrigg Rose,2.2,3.3,3.3,2.03,1.83,1.8,1.1,1.91,1.0,0.8,0.9,0.4,0.455,0.303,0.303,0.493,0.909,0.203,0.1,0.4,1,0.6644
