,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,30/09/2023,04:30,SOUTH KOREA - K LEAGUE 1,Jeonbuk,Daegu,1.95,3.5,3.75,2.15,1.83,1.83,1.07,1.44,1.36,9.0,1.07
2,30/09/2023,05:00,ROMANIA - LIGA 2,Csikszereda M. Ciuc,Chindia Targoviste,2.6,3.15,2.62,2.15,1.83,1.87,1.08,1.5,1.37,6.3,1.09
3,30/09/2023,07:00,SOUTH KOREA - K LEAGUE 1,Incheon,Suwon Bluewings,1.91,3.6,3.75,2.05,1.83,1.83,1.06,1.44,1.33,8.0,1.08
4,30/09/2023,08:35,CHINA - SUPER LEAGUE,Zhejiang Professional,Henan Songshan Longmen,1.75,3.75,4.5,1.6,1.57,2.25,1.03,1.29,1.17,4.33,1.2
5,30/09/2023,09:00,INDONESIA - LIGA 1,Persis Solo,Persija Jakarta,2.2,3.3,3.05,1.82,1.62,2.02,1.01,1.36,1.26,5.6,1.09
6,30/09/2023,10:00,PORTUGAL - LIGA PORTUGAL 2,Maritimo,Mafra,1.73,3.4,4.5,2.0,1.83,1.83,1.06,1.4,1.29,7.0,1.1
7,30/09/2023,11:00,SCOTLAND - LEAGUE TWO,Spartans,Bonnyrigg Rose,2.2,3.3,3.3,2.03,1.8,1.91,1.06,1.4,1.3,6.5,1.1
8,30/09/2023,11:00,ENGLAND - FA CUP,Blyth,Worksop,1.75,3.95,3.8,1.53,1.55,2.15,1.01,1.29,1.15,3.6,1.2
9,30/09/2023,12:00,CROATIA - HNL,Varazdin,Gorica,2.38,3.25,2.75,2.0,1.73,2.0,1.05,1.4,1.29,7.0,1.1
10,30/09/2023,12:30,POLAND - DIVISION 1,Odra Opole,GKS Katowice,2.15,3.25,3.1,2.03,1.8,1.91,1.06,1.4,1.3,7.0,1.1
11,30/09/2023,13:00,SPAIN - PRIMERA RFEF,Ponferradina,Osasuna B,1.91,3.2,3.75,2.3,2.1,1.67,1.07,1.5,1.4,8.0,1.06
12,30/09/2023,13:00,RUSSIA - PREMIER LEAGUE,CSKA Moscow,Baltika,1.72,4.08,5.33,1.97,1.87,1.89,1.01,1.38,1.26,5.8,1.09
13,30/09/2023,13:30,ITALY - SERIE C,Carrarese,Entella,1.98,3.4,3.6,2.05,1.88,1.83,1.07,1.45,1.35,6.1,1.09
14,30/09/2023,14:00,SERBIA - PRVA LIGA,Macva,Jedinstvo U.,2.1,2.95,3.35,2.27,2.03,1.75,1.07,1.53,1.44,9.0,1.03
15,30/09/2023,16:00,ARGENTINA - PRIMERA NACIONAL,Ferro,Racing Cordoba,2.15,3.3,3.4,2.1,1.83,1.83,1.07,1.44,1.33,8.0,1.08
16,30/09/2023,16:00,SPAIN - LALIGA2,Albacete,Andorra,2.15,3.3,3.5,2.15,1.83,1.83,1.07,1.44,1.36,9.0,1.07
17,30/09/2023,16:30,VENEZUELA - LIGA FUTVE,La Guaira,Universidad Central,1.78,3.3,4.5,2.05,1.91,1.7,1.04,1.47,1.36,7.3,1.05
18,30/09/2023,16:30,VENEZUELA - LIGA FUTVE,Puerto Cabello,Estudiantes Merida,1.72,3.5,4.4,1.83,1.75,1.87,1.01,1.39,1.27,5.75,1.09
19,30/09/2023,17:30,ECUADOR - LIGA PRO,EL Nacional,Delfin,1.8,2.9,4.75,1.95,1.8,1.91,1.06,1.4,1.29,6.5,1.11
20,30/09/2023,18:30,BRAZIL - SERIE A,Cuiaba,Fluminense,2.15,3.0,3.75,2.5,2.05,1.7,1.11,1.53,1.5,11.0,1.05
21,30/09/2023,18:30,BRAZIL - SERIE A,Sao Paulo,Corinthians,1.6,3.75,6.0,2.38,2.38,1.53,1.08,1.5,1.44,10.0,1.06
22,30/09/2023,19:00,ARGENTINA - COPA DE LA LIGA PROFESIONAL,Racing Club,Independiente,2.1,3.2,3.75,2.3,1.91,1.8,1.08,1.5,1.4,10.0,1.06
23,30/09/2023,20:05,MEXICO - LIGA DE EXPANSION MX,Atlante,Tapatio,1.72,3.4,5.0,2.05,1.91,1.8,1.07,1.47,1.34,5.8,1.1
24,30/09/2023,20:30,USA - MLS,New England Revolution,Charlotte,1.83,3.8,4.0,1.53,1.53,2.38,1.03,1.29,1.17,4.0,1.22
25,30/09/2023,20:30,USA - MLS,Orlando City,CF Montreal,1.62,4.0,5.0,1.62,1.67,2.1,1.03,1.29,1.18,4.33,1.2
26,30/09/2023,20:30,USA - MLS,Columbus Crew,Philadelphia Union,1.8,4.0,4.0,1.5,1.53,2.38,1.03,1.25,1.14,3.75,1.25
27,30/09/2023,23:00,USA - USL CHAMPIONSHIP,San Diego Loyal,Monterey Bay,1.6,4.05,4.9,1.65,1.72,2.0,1.04,1.34,1.22,4.3,1.18
