,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,30/09/2023,00:00,MEXICO - LIGA MX,Atl. San Luis,Cruz Azul,2.45,3.4,2.75,1.67,1.57,2.25,1.03,1.33,1.2,5.0,1.17
2,30/09/2023,08:00,THAILAND - THAI LEAGUE 1,Port MTI FC,Khonkaen Utd.,1.36,4.9,7.1,1.55,1.82,1.88,1.03,1.29,1.18,3.8,1.23
3,30/09/2023,08:30,ENGLAND - PREMIER LEAGUE,Aston Villa,Brighton,2.6,3.75,2.5,1.44,1.4,2.75,1.02,1.22,1.14,3.5,1.3
4,30/09/2023,09:30,AUSTRIA - 2. LIGA,Floridsdorfer AC,Bregenz,1.75,3.75,4.2,1.8,1.75,1.98,1.05,1.38,1.26,4.9,1.14
5,30/09/2023,10:00,NORWAY - OBOS-LIGAEN,Jerv,Sogndal,3.3,4.2,2.0,1.44,1.4,2.75,1.02,1.22,1.13,3.5,1.29
6,30/09/2023,10:00,MALTA - PREMIER LEAGUE,Hibernians,Birkirkara,2.55,3.4,2.47,1.75,1.6,2.07,1.02,1.33,1.24,5.3,1.12
7,30/09/2023,10:30,NETHERLANDS - TWEEDE DIVISIE,Katwijk,GVVV,1.57,4.2,4.6,1.52,1.6,2.07,1.01,1.25,1.14,3.5,1.21
8,30/09/2023,11:00,NORTHERN IRELAND - NIFL PREMIERSHIP,Linfield,Newry City,1.1,8.25,22.0,1.34,2.42,1.5,1.02,1.2,1.1,2.77,1.39
9,30/09/2023,11:00,NORTHERN IRELAND - NIFL PREMIERSHIP,Cliftonville,Loughgall,1.31,5.1,8.25,1.6,1.98,1.75,1.03,1.31,1.19,4.05,1.2
10,30/09/2023,11:00,SCOTLAND - CHAMPIONSHIP,Morton,Airdrieonians,2.15,3.2,3.2,1.73,1.62,2.2,1.04,1.33,1.22,4.5,1.17
11,30/09/2023,11:00,SCOTLAND - CHAMPIONSHIP,Dundee Utd,Queen's Park,1.57,3.8,5.5,1.7,1.8,1.91,1.04,1.33,1.2,4.5,1.17
12,30/09/2023,12:00,AUSTRIA - BUNDESLIGA,BW Linz,A. Klagenfurt,2.6,3.5,2.55,1.85,1.67,2.1,1.04,1.36,1.25,6.0,1.13
13,30/09/2023,12:00,SERBIA - SUPER LIGA,Sp. Subotica,Cukaricki,3.5,3.25,2.07,2.05,1.82,1.9,1.07,1.45,1.34,5.9,1.1
14,30/09/2023,12:00,AUSTRIA - BUNDESLIGA,A. Lustenau,Salzburg,11.0,7.5,1.2,1.4,2.0,1.75,1.01,1.22,1.11,3.25,1.33
15,30/09/2023,13:00,SLOVAKIA - NIKE LIGA,Trencin,Banska Bystrica,1.91,3.75,3.55,1.62,1.53,2.32,1.04,1.32,1.19,4.05,1.22
16,30/09/2023,13:15,BELGIUM - JUPILER PRO LEAGUE,Leuven,St. Liege,2.3,3.6,2.88,1.57,1.5,2.5,1.03,1.29,1.17,4.0,1.22
17,30/09/2023,13:45,NETHERLANDS - EREDIVISIE,PSV,FC Volendam,1.06,12.0,26.0,1.14,1.91,1.91,41.0,1.1,1.03,1.83,1.83
18,30/09/2023,14:00,SERBIA - PRVA LIGA,Macva,Jedinstvo U.,2.1,2.95,3.35,2.27,2.03,1.75,1.07,1.53,1.44,9.0,1.03
19,30/09/2023,15:00,BELGIUM - CHALLENGER PRO LEAGUE,Anderlecht U23,Lierse K.,2.6,3.4,2.3,1.65,1.53,2.38,1.03,1.3,1.18,4.5,1.18
20,30/09/2023,15:15,SLOVENIA - PRVA LIGA,Mura,Celje,3.5,3.5,1.95,1.8,1.7,2.05,1.05,1.38,1.26,4.9,1.14
21,30/09/2023,16:30,PORTUGAL - LIGA PORTUGAL,SC Farense,Sporting CP,7.0,4.5,1.44,1.62,1.8,1.95,1.03,1.29,1.18,4.5,1.18
22,30/09/2023,18:00,PANAMA - LPF,Tauro,Herrera,1.75,3.4,4.55,2.0,1.91,1.7,1.05,1.45,1.34,8.0,1.05
23,30/09/2023,19:00,ARGENTINA - COPA DE LA LIGA PROFESIONAL,Racing Club,Independiente,2.1,3.2,3.75,2.3,1.91,1.8,1.08,1.5,1.4,10.0,1.06
24,30/09/2023,20:00,CHILE - PRIMERA DIVISION,U. Espanola,Curico Unido,1.8,3.8,4.5,1.9,1.8,1.91,1.05,1.36,1.25,6.0,1.13
25,30/09/2023,20:30,USA - MLS,New England Revolution,Charlotte,1.83,3.8,4.0,1.53,1.53,2.38,1.03,1.29,1.17,4.0,1.22
26,30/09/2023,20:30,USA - MLS,Columbus Crew,Philadelphia Union,1.8,4.0,4.0,1.5,1.53,2.38,1.03,1.25,1.14,3.75,1.25
27,30/09/2023,21:30,USA - MLS,Nashville SC,Seattle Sounders,1.95,3.5,3.75,2.03,1.8,1.95,1.05,1.4,1.3,7.0,1.1
28,30/09/2023,21:30,USA - MLS,Houston Dynamo,FC Dallas,1.8,3.8,4.2,1.93,1.8,1.95,1.04,1.36,1.29,6.5,1.11
29,30/09/2023,21:45,MEXICO - LIGA MX,Club America,U.N.A.M.- Pumas,1.75,3.6,4.75,1.6,1.57,2.25,1.03,1.29,1.17,4.33,1.2
30,30/09/2023,22:00,USA - USL CHAMPIONSHIP,New Mexico,Louisville City,2.47,3.4,2.65,1.78,1.62,2.18,1.05,1.38,1.25,4.75,1.15
