,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_Under45,FT_Odd_BTTS_No,mean10_gols_feitos_home_ft,mean10_gols_sofridos_home_ft,mean10_gols_feitos_away_ft,mean10_gols_sofridos_away_ft,p_H,p_D,p_A,p_Over,p_Under,p_under45,CV_HDA,coeficiente10_gols_feitos,coeficiente10_gols_sofridos,prediction_label,prediction_score
1,SOUTH KOREA - K LEAGUE 2,07/10/2023,01:30,Busan,Cheonan City,1.45,4.33,6.5,1.98,1.83,2.2,1.1,1.62,1.4,0.6,1.1,1.7,0.6896552,0.23094688,0.15384616,0.5050505,0.5464481,0.909,0.66037756,0.3,-1.1,0,0.8723
2,SOUTH KOREA - K LEAGUE 2,07/10/2023,04:00,Seongnam,Asan,2.4,3.2,3.0,2.35,1.57,2.0,1.05,1.73,1.2,1.5,0.7,1.5,0.41666666,0.3125,0.33333334,0.42553192,0.6369427,0.952,0.12707335,0.5,0.0,0,0.6972
3,SOUTH KOREA - K LEAGUE 2,07/10/2023,06:30,Gimpo FC,Anyang,2.7,3.2,2.63,2.35,1.57,1.91,1.06,1.8,1.0,1.1,1.7,1.5,0.37037036,0.3125,0.38022813,0.42553192,0.6369427,0.943,0.084308684,-0.7,-0.4,0,0.5311
4,SWEDEN - SUPERETTAN,07/10/2023,10:00,Oster,Orebro,1.8,3.75,4.33,1.7,2.1,1.7,1.17,2.05,1.7,1.0,1.4,2.1,0.5555556,0.26666668,0.23094688,0.5882353,0.47619048,0.855,0.41399676,0.3,-1.1,0,0.5494
5,SWEDEN - ALLSVENSKAN,07/10/2023,10:00,AIK,Mjallby,1.67,3.75,5.5,2.1,1.7,2.0,1.08,1.75,1.4,0.9,1.1,1.2,0.5988024,0.26666668,0.18181819,0.47619048,0.5882353,0.926,0.51543146,0.3,-0.3,0,0.6409
6,SWEDEN - ALLSVENSKAN,07/10/2023,10:00,Halmstad,Degerfors,1.95,3.5,4.0,1.85,2.0,1.7,1.13,2.05,0.8,1.4,0.6,2.9,0.51282054,0.2857143,0.25,0.5405405,0.5,0.885,0.33301803,0.2,-1.5,0,0.5363
7,SWEDEN - SUPERETTAN,07/10/2023,10:00,Skovde AIK,Gefle,1.8,3.8,3.8,1.6,2.3,1.62,1.2,2.2,1.4,1.0,0.9,1.6,0.5555556,0.2631579,0.2631579,0.625,0.4347826,0.833,0.38221988,0.5,-0.6,0,0.5522
8,SCOTLAND - PREMIERSHIP,07/10/2023,11:00,Hearts,Hibernian,2.25,3.5,3.1,1.93,1.93,1.7,1.13,2.05,1.5,1.2,1.3,1.1,0.44444445,0.2857143,0.32258064,0.5181347,0.5181347,0.885,0.1932887,0.2,0.1,0,0.5699
9,SPAIN - PRIMERA RFEF,07/10/2023,11:00,Gimnastic,Ponferradina,2.2,3.1,3.25,2.5,1.5,2.1,1.05,1.67,1.2,0.8,1.3,1.2,0.45454547,0.32258064,0.30769232,0.4,0.6666667,0.952,0.18251489,-0.1,-0.4,0,0.5355
10,SCOTLAND - PREMIERSHIP,07/10/2023,11:00,Livingston,Motherwell,2.8,3.2,2.63,2.15,1.67,1.95,1.08,1.8,1.3,1.3,1.3,0.9,0.35714287,0.3125,0.38022813,0.4651163,0.5988024,0.926,0.080332436,0.0,0.4,0,0.6113
