,Entrada,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,N1,N2,N3
1,OVER2_5,21/10/2023,03:30,AUSTRALIA - A-LEAGUE,Melbourne City,Western United,1.57,4.5,5.25,1.5,2.5,1.57,2.25,D,H,H
2,OVER2_5,21/10/2023,09:00,FINLAND - VEIKKAUSLIIGA,AC Oulu,Haka,2.15,3.75,2.8,1.53,2.4,1.5,2.5,H,A,A
3,OVER2_5,21/10/2023,10:00,SWEDEN - SUPERETTAN,Helsingborgs,Gefle,1.53,4.2,5.0,1.67,2.15,1.75,2.0,D,H,D
4,OVER2_5,21/10/2023,10:00,NORWAY - OBOS-LIGAEN,Kristiansund,Asane,1.75,4.2,4.2,1.5,2.5,1.53,2.38,A,H,H
5,OVER2_5,21/10/2023,11:00,ENGLAND - CHAMPIONSHIP,West Brom,Plymouth,1.7,3.6,5.0,1.67,2.15,1.67,2.1,D,H,D
6,OVER2_5,21/10/2023,11:00,ENGLAND - LEAGUE ONE,Charlton,Reading,1.73,4.0,4.5,1.7,2.1,1.7,2.05,A,H,A
7,OVER2_5,21/10/2023,11:00,SCOTLAND - LEAGUE ONE,Cove Rangers,Montrose,1.65,3.8,4.2,1.62,2.25,1.67,2.1,A,H,H
8,BTTS Sim,21/10/2023,11:00,ENGLAND - PREMIER LEAGUE,Brentford,Burnley,1.83,3.75,4.2,1.96,1.94,1.8,1.95,D,H,H
9,OVER2_5,21/10/2023,11:00,SCOTLAND - CHAMPIONSHIP,Morton,Inverness,2.2,3.2,3.1,1.9,1.95,1.67,2.1,A,H,D
10,OVER2_5,21/10/2023,12:30,POLAND - DIVISION 1,Tychy,Podbeskidzie,2.15,3.25,3.1,1.88,1.98,1.67,2.1,A,H,A
11,BTTS Sim,21/10/2023,12:30,SWEDEN - ALLSVENSKAN,Sirius,Brommapojkarna,1.8,3.8,4.5,1.53,2.4,1.5,2.5,H,H,A
12,BTTS Sim,21/10/2023,13:00,SWITZERLAND - SUPER LEAGUE,Young Boys,Zurich,1.75,4.0,4.33,1.57,2.35,1.53,2.38,D,H,A
13,OVER2_5,21/10/2023,15:00,BELGIUM - CHALLENGER PRO LEAGUE,Waregem,RFC Liege,1.8,3.6,3.75,1.53,2.4,1.5,2.5,A,H,H
14,OVER2_5,21/10/2023,18:00,PARAGUAY - PRIMERA DIVISION,Olimpia,Sportivo Trinidense,1.7,4.0,4.33,1.85,1.95,1.83,1.83,H,A,H
15,OVER2_5,21/10/2023,20:00,MEXICO - LIGA MX,Leon,Toluca,2.05,3.5,3.6,1.6,2.3,1.5,2.5,H,H,H
16,OVER2_5,21/10/2023,22:00,MEXICO - LIGA MX,CF America,Santos Laguna,1.5,5.0,5.5,1.53,2.4,1.67,2.1,H,H,H
