,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,22/10/2023,02:00,SOUTH KOREA - K LEAGUE 1,Jeju Utd,Suwon Bluewings,1.91,3.5,3.6,1.95,1.8,1.91,1.05,1.4,1.29,6.5,1.11
2,22/10/2023,04:00,HONG KONG - PREMIER LEAGUE,Sham Shui Po,Resources Capital,2.65,3.65,2.3,1.55,1.5,2.27,1.01,1.28,1.19,3.7,1.19
3,22/10/2023,08:00,BULGARIA - PARVA LIGA,Hebar,Slavia Sofia,2.25,3.1,3.5,2.4,2.1,1.67,1.1,1.53,1.44,11.0,1.05
4,22/10/2023,09:00,SERBIA - PRVA LIGA,RFK Novi Sad,Macva,4.6,3.25,1.72,2.15,2.11,1.69,1.06,1.5,1.39,9.0,1.03
5,22/10/2023,09:00,BELARUS - VYSSHAYA LIGA,Belshina,Shakhtyor Soligorsk,5.01,4.25,1.58,1.6,1.65,2.18,1.01,1.29,1.16,4.2,1.17
6,22/10/2023,09:30,AUSTRIA - BUNDESLIGA,Altach,Wolfsberger AC,2.55,3.6,2.6,1.98,1.75,2.0,1.05,1.4,1.29,6.5,1.11
7,22/10/2023,10:00,SWEDEN - ALLSVENSKAN,Halmstad,Mjallby,2.4,3.3,3.0,2.25,1.8,1.95,1.07,1.5,1.4,10.0,1.06
8,22/10/2023,10:00,EGYPT - PREMIER LEAGUE,Arab Contractors,ZED,2.42,2.87,3.05,2.32,1.98,1.65,1.06,1.55,1.47,9.3,1.01
10,22/10/2023,11:00,IRELAND - PREMIER DIVISION,UC Dublin,Cork City,6.0,4.2,1.5,1.7,1.95,1.8,1.04,1.33,1.22,5.0,1.17
9,22/10/2023,11:00,CAMEROON - ELITE ONE,Colombe,Les Astres,3.0,2.8,2.4,2.6,2.14,1.67,1.09,1.6,1.52,11.0,1.01
11,22/10/2023,11:15,SPAIN - LALIGA2,Huesca,Elche,3.3,3.0,2.45,2.4,2.1,1.67,1.1,1.53,1.44,11.0,1.05
12,22/10/2023,11:15,ITALY - SERIE C,Catania,Taranto,1.78,3.45,4.4,2.15,2.02,1.7,1.08,1.5,1.39,6.5,1.08
13,22/10/2023,12:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Riyadh,Al Ettifaq,5.0,4.33,1.53,1.65,1.8,1.91,1.03,1.3,1.2,4.5,1.17
14,22/10/2023,12:00,ALBANIA - SUPERLIGA,Dinamo Tirana,Teuta,2.47,3.1,2.62,2.2,1.92,1.84,1.05,1.5,1.4,7.9,1.05
15,22/10/2023,13:00,CAMEROON - ELITE ONE,Aigle Royal,Gazelle,4.4,3.2,1.75,2.32,2.21,1.63,1.07,1.55,1.46,11.0,1.01
16,22/10/2023,13:30,ITALY - SERIE C,Lucchese,Pescara,2.57,3.45,2.5,1.65,1.55,2.32,1.04,1.34,1.21,4.25,1.18
17,22/10/2023,13:30,ITALY - SERIE C,Vis Pesaro,Recanatese,2.62,3.05,2.72,2.22,1.88,1.83,1.09,1.53,1.4,6.7,1.08
18,22/10/2023,18:00,COLOMBIA - PRIMERA A,Chico,Atl. Nacional,2.88,3.1,2.63,2.3,1.91,1.8,1.08,1.5,1.4,10.0,1.06
19,22/10/2023,19:00,COSTA RICA - PRIMERA DIVISION,Grecia,Liberia,2.45,3.5,2.45,1.67,1.57,2.25,1.03,1.33,1.2,5.0,1.17
20,22/10/2023,22:00,PERU - LIGA 1,Cienciano,Sporting Cristal,2.7,3.0,2.7,2.1,1.8,1.91,1.07,1.44,1.33,8.0,1.08
