,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,AUSTRALIA - A-LEAGUE,12/11/2023,03:00,Central Coast Mariners,Brisbane Roar,2.15,3.8,3.0
2,ANDORRA - PRIMERA DIVISIÓ,12/11/2023,07:00,Inter Escaldes,Atletic America,1.09,7.2,17.5
3,SPAIN - PRIMERA RFEF,12/11/2023,08:00,Baleares,Merida AD,2.2,2.8,3.25
4,SERBIA - PRVA LIGA,12/11/2023,09:00,OFK Beograd,Sloboda,1.4,4.0,6.8
5,ANDORRA - PRIMERA DIVISIÓ,12/11/2023,09:30,Ordino,Pas de la Casa,1.65,4.0,3.9
6,NORWAY - OBOS-LIGAEN,12/11/2023,10:30,Fredrikstad,Jerv,1.67,4.2,4.5
7,NORWAY - OBOS-LIGAEN,12/11/2023,10:30,Kongsvinger,Moss,1.55,4.25,5.75
8,CAMEROON - ELITE ONE,12/11/2023,11:00,Gazelle,Fortuna Mfou,1.72,3.15,4.8
9,BELARUS - VYSSHAYA LIGA,12/11/2023,11:00,FC Minsk,Belshina,1.73,3.7,4.56
10,CAMEROON - ELITE ONE,12/11/2023,11:00,Victoria United,UMS de Loum,2.32,3.0,2.9
11,BOSNIA AND HERZEGOVINA - PREMIJER LIGA BIH,12/11/2023,11:15,Borac Banja Luka,Zeljeznicar,1.47,3.85,6.5
12,GHANA - PREMIER LEAGUE,12/11/2023,12:00,Nations FC,Heart of Lions,1.55,3.3,6.0
13,NIGERIA - NPFL,12/11/2023,12:00,Remo Stars,Gombe,1.4,3.85,8.75
14,NIGERIA - NPFL,12/11/2023,12:00,Sunshine Stars,Enugu Rangers,1.57,3.55,5.9
15,GHANA - PREMIER LEAGUE,12/11/2023,12:00,Bechem United,Bofoakwa Tano,1.47,3.4,7.2
16,AZERBAIJAN - PREMIER LEAGUE,12/11/2023,12:00,Qarabag,Sabail,1.17,6.4,12.0
17,MOROCCO - BOTOLA PRO,12/11/2023,14:15,Chabab Mohammedia,Renaissance Zemamra,2.45,3.0,2.7
18,ANDORRA - PRIMERA DIVISIÓ,12/11/2023,14:30,Atletic Escaldes,Esperanca,1.12,6.6,16.0
19,ITALY - SERIE C,12/11/2023,14:30,Sestri Levante,Fermana,2.47,2.95,3.0
20,JAMAICA - PREMIER LEAGUE,12/11/2023,17:00,Treasure Beach,Lime Hall Academy,2.07,3.2,3.4
21,NICARAGUA - LIGA PRIMERA,12/11/2023,18:00,Sport Sebaco,Ocotal,2.07,3.72,3.21
22,JAMAICA - PREMIER LEAGUE,12/11/2023,20:00,Arnett Gardens,Tivoli,1.39,4.25,7.4
23,CHILE - PRIMERA DIVISION,12/11/2023,20:00,U. Espanola,O'Higgins,2.0,3.5,4.0
