Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,HONG KONG - PREMIER LEAGUE,25/11/2023,04:00,HK U23,North District,4.85,4.25,1.55
2,ROMANIA - LIGA 2,25/11/2023,06:30,Tunari,Chindia Targoviste,4.5,3.2,1.83
3,BOSNIA AND HERZEGOVINA - PREMIJER LIGA BIH,25/11/2023,09:00,Igman K.,Borac Banja Luka,5.6,3.95,1.52
4,MALTA - PREMIER LEAGUE,25/11/2023,10:00,Sliema,Floriana,4.7,3.5,1.7
5,AUSTRIA - 2. LIGA,25/11/2023,10:30,Dornbirn,Ried,6.4,4.5,1.42
6,MALTA - PREMIER LEAGUE,25/11/2023,11:30,Gudja,Balzan,3.8,3.3,1.91
7,BAHRAIN - PREMIER LEAGUE,25/11/2023,12:30,Sitra,Al Riffa,6.0,4.3,1.48
8,BAHRAIN - PREMIER LEAGUE,25/11/2023,13:00,Busaiteen,Manama Club,3.7,3.3,1.98
9,MOROCCO - BOTOLA PRO,25/11/2023,14:15,Youssoufia Berrechid,Maghreb Fez,3.25,3.1,2.2
10,BRAZIL - SERIE B,25/11/2023,17:00,ABC,Vila Nova FC,9.5,4.55,1.32
11,URUGUAY - PRIMERA DIVISION,25/11/2023,19:00,Maldonado,Defensor Sp.,3.5,3.1,2.2
