,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Media_Ptos_H,DesvPad_Ptos_H,CV_VG_H,Media_Ptos_A,DesvPad_Ptos_A,CV_VG_A,p_H,p_D,p_A,p_Over,p_Under,CV_HDA,coeficiente_pontos,cv_pontos,prediction_label,prediction_score
1,INDIA - ISL,27/11/2023,11:30,Goa,Jamshedpur,1.44,4.5,5.75,1.6,2.3,1.73,2.0,1.8,1.4696939,0.778,1.3,1.4177446,1.033,0.6944444,0.22222222,0.17391305,0.625,0.4347826,0.64596087,0.5,2.887,1,0.5829
2,SWEDEN - ALLSVENSKAN,27/11/2023,15:00,Brommapojkarna,Utsikten,1.36,5.0,6.0,1.53,2.4,1.8,1.95,0.7,1.1874342,0.776,1.3,1.4177446,0.894,0.7352941,0.2,0.16666667,0.6535948,0.41666666,0.7093331,-0.6,2.605,1,0.9146
3,ROMANIA - LIGA 1,27/11/2023,15:30,FC Rapid Bucuresti,U. Cluj,1.83,3.4,4.0,2.05,1.8,1.83,1.83,1.8,1.2489996,0.831,1.8,0.9797959,0.703,0.5464481,0.29411766,0.25,0.4878049,0.5555556,0.35925284,0.0,2.229,1,0.8686
4,NETHERLANDS - EERSTE DIVISIE,27/11/2023,16:00,De Graafschap,Dordrecht,1.85,4.0,4.0,1.5,2.5,1.5,2.5,1.8333334,1.2133516,1.059,0.9,1.1357816,1.045,0.5405405,0.25,0.25,0.6666667,0.4,0.39487782,0.933,2.349,1,0.6246
5,NETHERLANDS - EERSTE DIVISIE,27/11/2023,16:00,Eindhoven FC,Oss,1.6,3.8,6.0,1.88,1.98,1.83,1.83,1.3,1.1874342,0.49,0.3,0.45825756,1.053,0.625,0.2631579,0.16666667,0.5319149,0.5050505,0.5611072,1.0,1.646,1,0.9341
6,SPAIN - LALIGA2,27/11/2023,17:00,Gijon,Eldense,1.7,3.6,5.5,2.08,1.73,2.0,1.73,2.1,1.1357816,0.469,1.2,1.2489996,0.961,0.5882353,0.2777778,0.18181819,0.48076922,0.5780347,0.49659976,0.9,2.385,1,1.0
7,ARGENTINA - COPA DE LA LIGA PROFESIONAL,27/11/2023,19:00,Estudiantes L.P.,Lanus,1.95,3.25,4.0,2.25,1.62,2.0,1.73,1.4,1.1135529,1.154,0.8,0.8717798,0.802,0.51282054,0.30769232,0.25,0.44444445,0.61728394,0.3160633,0.6,1.985,1,0.6
8,ARGENTINA - COPA DE LA LIGA PROFESIONAL,27/11/2023,19:00,San Lorenzo,Central Cordoba,2.0,3.3,4.0,2.88,1.4,2.38,1.53,1.1,1.0440307,1.134,0.8,0.8717798,1.068,0.5,0.3030303,0.25,0.3472222,0.71428573,0.30641064,0.3,1.916,1,0.6
9,ARGENTINA - COPA DE LA LIGA PROFESIONAL,27/11/2023,21:30,Racing Club,Belgrano,2.0,3.2,4.0,2.25,1.62,2.0,1.73,1.8,1.2489996,0.537,0.8,0.8717798,2.002,0.5,0.3125,0.25,0.44444445,0.61728394,0.2999423,1.0,2.121,1,1.0
10,ARGENTINA - COPA DE LA LIGA PROFESIONAL,27/11/2023,21:30,Newells Old Boys,Defensa y Justicia,2.0,3.3,3.8,2.35,1.57,2.0,1.73,1.4,1.1135529,0.746,0.9,1.1357816,1.086,0.5,0.3030303,0.2631579,0.42553192,0.6369427,0.2913313,0.5,2.249,1,1.0
