,Entrada,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,N1,N2,N3
1,AI_LAY_AWAY_RETORNOS,16/12/2023,04:00,AUSTRALIA - A-LEAGUE,Newcastle Jets,Perth Glory,2.05,3.75,3.4,1.6,2.3,1.53,2.38,D,H,A
2,AI_LAY_AWAY_RETORNOS,16/12/2023,05:45,AUSTRALIA - A-LEAGUE,Melbourne Victory,Sydney FC,2.1,3.8,3.2,1.5,2.5,1.44,2.63,D,H,A
3,AI_LAY_AWAY_RETORNOS,16/12/2023,08:00,PORTUGAL - LIGA PORTUGAL 2,Academico de Viseu,Torreense,1.91,3.5,4.0,2.1,1.7,1.91,1.8,H,A,H
4,AI_LAY_AWAY_RETORNOS,16/12/2023,09:00,INDIA - ISL,Bengaluru FC,Jamshedpur,1.95,3.5,3.3,2.03,1.78,1.83,1.83,A,H,H
5,AI_LAY_AWAY_RETORNOS,16/12/2023,11:30,INDIA - ISL,Mumbai City,East Bengal,1.44,4.5,5.75,1.5,2.5,1.67,2.1,A,H,H
6,AI_LAY_AWAY_RETORNOS,16/12/2023,12:00,ENGLAND - LEAGUE ONE,Oxford Utd,Burton Albion,1.6,3.8,6.0,1.98,1.88,1.95,1.8,D,H,H
7,AI_LAY_AWAY_RETORNOS,16/12/2023,12:00,ENGLAND - LEAGUE ONE,Lincoln,Reading,2.2,3.3,3.4,2.08,1.73,1.8,1.95,D,H,H
8,AI_LAY_AWAY_RETORNOS,16/12/2023,12:00,ENGLAND - LEAGUE ONE,Bolton,Bristol Rovers,1.62,4.2,5.25,1.75,2.05,1.8,1.95,D,H,H
9,AI_LAY_AWAY_RETORNOS,16/12/2023,12:00,ENGLAND - LEAGUE ONE,Barnsley,Charlton,1.91,3.75,3.8,1.7,2.1,1.62,2.2,D,H,H
10,AI_LAY_AWAY_RETORNOS,16/12/2023,12:00,ENGLAND - LEAGUE TWO,Doncaster,Morecambe,2.1,3.5,3.5,1.9,1.95,1.73,2.0,H,D,D
11,AI_LAY_AWAY_RETORNOS,16/12/2023,12:00,ENGLAND - LEAGUE TWO,Walsall,Tranmere,1.95,3.6,3.8,1.98,1.88,1.8,1.91,H,D,D
12,AI_LAY_AWAY_RETORNOS,16/12/2023,12:00,BELGIUM - CHALLENGER PRO LEAGUE,Patro Eisden,Club Brugge KV U23,1.7,3.75,4.75,1.9,1.95,1.8,1.91,A,H,A
13,AI_LAY_AWAY_RETORNOS,16/12/2023,12:00,SPAIN - PRIMERA RFEF,Tarazona,Rayo Majadahonda,2.2,2.8,3.5,2.5,1.5,2.1,1.67,D,H,D
14,AI_LAY_AWAY_RETORNOS,16/12/2023,12:00,SCOTLAND - LEAGUE ONE,Cove Rangers,Alloa,1.73,3.75,4.5,1.8,2.0,1.73,2.0,A,H,H
15,AI_LAY_AWAY_RETORNOS,16/12/2023,12:00,SCOTLAND - LEAGUE ONE,Kelty Hearts,Montrose,2.05,3.5,3.4,1.75,2.05,1.67,2.1,A,H,H
16,AI_LAY_AWAY_RETORNOS,16/12/2023,12:00,ENGLAND - PREMIER LEAGUE,Newcastle,Fulham,1.8,3.8,4.0,1.7,2.1,1.67,2.1,H,H,D
