Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,SPAIN - PRIMERA RFEF,21/01/2024,08:00,Algeciras,Melilla,1.85,2.9,4.33
2,ITALY - SERIE C,21/01/2024,10:00,Sorrento,Turris,2.07,3.15,3.55
3,ITALY - SERIE C,21/01/2024,10:00,Arzignano,Pro Patria,2.07,3.0,3.85
4,ITALY - SERIE C,21/01/2024,10:00,Trento,Novara,2.4,3.0,3.0
5,NIGERIA - NPFL,21/01/2024,11:00,Gombe,Bayelsa United,1.57,3.5,6.1
6,NIGERIA - NPFL,21/01/2024,12:00,Akwa United,Enugu Rangers,1.6,3.4,5.9
7,NIGERIA - NPFL,21/01/2024,12:00,Kano Pillars,Heartland,1.24,4.85,12.5
8,NIGERIA - NPFL,21/01/2024,12:00,Lobi Stars,Plateau United,1.5,3.6,6.8
9,NIGERIA - NPFL,21/01/2024,12:00,Niger Tornadoes,Katsina Utd,1.7,3.2,5.4
10,BELGIUM - CHALLENGER PRO LEAGUE,21/01/2024,12:00,Patro Eisden,St. Liege U23,1.44,4.33,7.0
11,SPAIN - PRIMERA RFEF,21/01/2024,12:00,Barcelona B,R. Sociedad B,2.2,2.9,3.2
12,NIGERIA - NPFL,21/01/2024,12:00,Shooting,Enyimba,1.7,3.2,5.4
13,ANDORRA - PRIMERA DIVISIÓ,21/01/2024,14:30,Pas de la Casa,Atletic America,1.3,4.45,8.75
14,SPAIN - PRIMERA RFEF,21/01/2024,15:00,Dep. La Coruna,Ponferradina,1.73,3.5,4.0
15,JAMAICA - PREMIER LEAGUE,21/01/2024,15:30,Mount Pleasant,Treasure Beach,1.19,6.2,11.75
16,ITALY - SERIE C,21/01/2024,16:45,Pineto,Ancona,2.42,3.1,2.92
17,JAMAICA - PREMIER LEAGUE,21/01/2024,17:00,Harbour View,Vere United,2.2,3.15,3.15
18,SPAIN - LALIGA2,21/01/2024,17:00,Elche,Valladolid,2.3,3.2,3.3
19,COLOMBIA - PRIMERA A,21/01/2024,22:20,Atl. Nacional,Alianza,1.62,3.8,5.75
