,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,27/01/2024,05:45,BANGLADESH - PREMIER LEAGUE,Rahmatgonj MFS,Bangladesh Police,4.3,4.0,1.6,1.53,1.57,2.34,1.02,1.24,1.14,3.92,1.19
2,27/01/2024,10:30,NETHERLANDS - TWEEDE DIVISIE,Lisse,ACV Assen,4.4,4.35,1.57,1.39,1.47,2.32,1.01,1.2,1.1,3.0,1.29
3,27/01/2024,10:30,NETHERLANDS - TWEEDE DIVISIE,Noordwijk,Katwijk,3.25,3.1,2.18,1.9,1.65,2.0,1.03,1.42,1.29,6.4,1.08
4,27/01/2024,11:30,NETHERLANDS - TWEEDE DIVISIE,Jong Sparta Rotterdam,Hardenberg,2.45,3.35,2.62,1.62,1.5,2.25,1.01,1.3,1.2,4.7,1.15
5,27/01/2024,12:00,NORTHERN IRELAND - NIFL PREMIERSHIP,Crusaders,Glentoran,2.87,3.35,2.3,1.85,1.65,2.1,1.06,1.4,1.28,5.1,1.13
6,27/01/2024,12:00,SCOTLAND - PREMIERSHIP,Livingston,Dundee FC,2.88,3.0,2.7,2.3,1.95,1.8,1.1,1.5,1.4,9.0,1.07
7,27/01/2024,12:00,ENGLAND - LEAGUE ONE,Lincoln,Peterborough,4.5,3.8,1.73,1.93,1.95,1.8,1.05,1.4,1.29,6.5,1.11
8,27/01/2024,12:00,BELGIUM - JUPILER PRO LEAGUE,Kortrijk,Leuven,2.9,3.5,2.3,1.67,1.57,2.25,1.03,1.33,1.2,5.0,1.17
9,27/01/2024,12:00,ENGLAND - LEAGUE ONE,Port Vale,Portsmouth,3.75,3.5,2.0,1.98,1.8,1.95,1.05,1.4,1.29,6.5,1.11
10,27/01/2024,12:00,ENGLAND - LEAGUE TWO,Forest Green,Accrington,2.45,3.5,2.88,1.73,1.57,2.25,1.04,1.33,1.22,5.5,1.14
13,27/01/2024,12:15,ITALY - SERIE C,Alessandria,Arzignano,3.25,2.82,2.4,2.77,2.25,1.57,1.14,1.7,1.62,8.5,1.04
12,27/01/2024,12:15,ITALY - SERIE C,Pro Patria,AlbinoLeffe,2.6,2.82,2.92,2.55,2.1,1.65,1.13,1.65,1.53,7.9,1.05
11,27/01/2024,12:15,SPAIN - LALIGA2,Alcorcon,Zaragoza,3.0,2.9,2.55,2.7,2.2,1.62,1.13,1.62,1.53,13.0,1.04
14,27/01/2024,14:00,SPAIN - PRIMERA RFEF,SD Logrones,Sabadell,2.8,2.9,2.4,2.5,2.2,1.62,1.1,1.57,1.5,8.5,1.05
15,27/01/2024,14:00,SWITZERLAND - CHALLENGE LEAGUE,Bellinzona,Thun,3.55,3.75,1.88,1.7,1.62,2.15,1.04,1.34,1.22,4.35,1.18
16,27/01/2024,14:30,ITALY - SERIE C,Fiorenzuola,Lumezzane,2.65,3.15,2.6,2.07,1.82,1.88,1.08,1.5,1.37,6.2,1.09
17,27/01/2024,15:00,ROMANIA - LIGA 1,Din. Bucuresti,FC Rapid Bucuresti,4.0,3.2,1.95,2.05,1.83,1.83,1.06,1.44,1.33,8.0,1.08
18,27/01/2024,16:00,ENGLAND - FA CUP,Fulham,Newcastle,3.0,3.6,2.25,1.75,1.62,2.2,1.04,1.36,1.22,5.5,1.14
19,27/01/2024,16:00,SPAIN - PRIMERA RFEF,Fuenlabrada,Barcelona B,2.45,2.9,2.7,2.38,2.1,1.67,1.1,1.53,1.44,8.5,1.05
20,27/01/2024,16:45,ITALY - SERIE C,Giugliano,Picerno,2.92,3.0,2.47,2.22,1.88,1.83,1.09,1.53,1.4,6.7,1.08
21,27/01/2024,19:00,ARGENTINA - COPA DE LA LIGA PROFESIONAL,Platense,Boca Juniors,3.6,3.0,2.25,2.7,2.2,1.62,1.11,1.57,1.53,13.0,1.04
22,27/01/2024,20:10,COLOMBIA - PRIMERA A,Jaguares de Cordoba,La Equidad,2.75,3.1,2.75,2.35,1.91,1.8,1.08,1.5,1.4,10.0,1.06
23,27/01/2024,20:15,PANAMA - LPF,UMECIT,Herrera,2.65,3.25,2.47,1.85,1.65,2.0,1.03,1.39,1.27,7.0,1.07
