,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,23/02/2024,05:30,INDIA - I-LEAGUE,Neroca FC,Delhi FC,4.7,4.45,1.53,1.4,1.5,2.25,19.0,1.25,1.13,3.05,1.28
2,23/02/2024,07:00,VIETNAM - V.LEAGUE 1,Hong Linh Ha Tinh,Khanh Hoa,2.22,3.3,3.0,2.02,1.83,1.78,1.03,1.44,1.35,7.2,1.05
3,23/02/2024,08:00,ARMENIA - PREMIER LEAGUE,Alashkert,Van,1.26,4.9,8.75,1.6,2.1,1.7,1.01,1.29,1.17,4.4,1.16
4,23/02/2024,10:00,AZERBAIJAN - PREMIER LEAGUE,Kapaz,Gabala,2.07,3.15,3.45,1.93,1.75,1.87,1.03,1.44,1.32,6.7,1.06
5,23/02/2024,10:00,BULGARIA - PARVA LIGA,Botev Vratsa,Pirin Blagoevgrad,1.91,3.4,4.0,2.3,2.1,1.67,1.08,1.5,1.4,10.0,1.06
6,23/02/2024,11:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Riyadh,Al Raed,3.1,3.3,2.3,1.9,1.73,2.0,1.05,1.4,1.29,5.5,1.13
7,23/02/2024,13:00,SERBIA - SUPER LIGA,IMT Novi Beograd,Radnicki Nis,2.57,3.05,2.75,1.95,1.7,2.05,1.07,1.45,1.32,5.6,1.11
8,23/02/2024,13:30,SLOVAKIA - NIKE LIGA,Kosice,Skalica,2.35,3.2,3.05,2.07,1.8,1.91,1.08,1.5,1.36,6.3,1.1
9,23/02/2024,14:00,EGYPT - PREMIER LEAGUE,Baladiyat El Mahalla,Ceramica Cleopatra,5.4,3.0,1.75,2.15,1.93,1.7,1.05,1.53,1.4,8.3,1.03
10,23/02/2024,16:30,POLAND - EKSTRAKLASA,Pogon Szczecin,LKS Lodz,1.33,5.0,8.0,1.53,1.8,1.95,1.03,1.29,1.17,4.0,1.22
11,23/02/2024,16:30,POLAND - DIVISION 1,Wisla,Tychy,1.62,3.8,4.75,1.7,1.73,2.0,1.04,1.33,1.22,5.0,1.17
12,23/02/2024,16:45,IRELAND - PREMIER DIVISION,St. Patricks,Bohemians,2.1,3.3,3.4,1.95,1.7,2.05,1.05,1.4,1.29,6.5,1.11
13,23/02/2024,16:45,ITALY - SERIE C,Spal,Arezzo,2.12,3.05,3.55,2.32,2.0,1.72,1.1,1.55,1.45,7.1,1.06
14,23/02/2024,17:00,URUGUAY - PRIMERA DIVISION,River Plate,Maldonado,2.38,3.1,3.0,2.25,1.91,1.8,1.08,1.5,1.4,10.0,1.06
15,23/02/2024,17:00,NORTHERN IRELAND - NIFL CHAMPIONSHIP,Annagh,Dundela,3.55,3.55,1.9,1.47,1.42,2.47,1.01,1.22,1.13,3.25,1.25
16,23/02/2024,17:15,PORTUGAL - LIGA PORTUGAL,Arouca,Famalicao,2.15,3.25,3.4,2.08,1.91,1.91,1.06,1.44,1.33,8.0,1.08
17,23/02/2024,22:00,MEXICO - LIGA MX,Puebla,Queretaro,2.1,3.5,3.1,1.75,1.62,2.2,1.04,1.36,1.22,5.5,1.14
