,Entrada,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,N1,N2,N3
1,Lay Away New,24/02/2024,05:45,AUSTRALIA - A-LEAGUE,Adelaide United,WS Wanderers,2.4,4.0,2.6,1.4,2.88,1.4,2.75,H,H,D
2,Lay Away New,24/02/2024,07:45,BULGARIA - PARVA LIGA,Lokomotiv Plovdiv,Hebar,1.57,4.0,6.0,2.05,1.75,2.1,1.67,H,H,D
3,Lay Away New,24/02/2024,12:00,ENGLAND - LEAGUE ONE,Reading,Shrewsbury,1.85,3.6,4.33,2.0,1.85,1.8,1.95,H,D,D
4,Lay Away New,24/02/2024,12:00,SCOTLAND - LEAGUE TWO,Stenhousemuir,Clyde,1.45,4.33,5.5,1.75,2.05,1.91,1.8,H,H,D
5,Lay Away New,24/02/2024,12:00,ENGLAND - PREMIER LEAGUE,Brighton,Everton De Vina,1.83,3.8,4.2,1.67,2.15,1.62,2.2,H,H,D
6,Lay Away New,24/02/2024,12:00,SCOTLAND - LEAGUE TWO,Peterhead,Elgin City,1.65,3.6,5.0,1.85,2.0,1.83,1.83,H,H,D
7,Lay Away New,24/02/2024,12:00,SPAIN - PRIMERA RFEF,Celta Vigo B,Sestao,1.62,3.4,5.5,2.25,1.62,2.2,1.62,H,D,H
8,Lay Away New,24/02/2024,12:00,ENGLAND - LEAGUE TWO,Accrington,Crawley,2.2,3.4,3.3,1.8,2.0,1.62,2.2,D,H,D
9,Lay Away New,24/02/2024,12:00,ENGLAND - LEAGUE TWO,Morecambe,Grimsby,2.3,3.4,3.1,1.83,2.03,1.62,2.2,D,H,D
10,Lay Away New,24/02/2024,12:00,SCOTLAND - PREMIERSHIP,Kilmarnock,Aberdeen,2.15,3.4,3.4,2.0,1.85,1.75,2.0,A,H,D
11,Lay Away New,24/02/2024,12:00,SCOTLAND - LEAGUE TWO,Spartans,Bonnyrigg Rose,2.0,3.25,3.5,2.1,1.7,1.91,1.8,H,H,D
12,Lay Away New,24/02/2024,12:00,ENGLAND - LEAGUE TWO,MK Dons,Newport,1.67,4.0,5.0,1.73,2.08,1.73,2.0,D,H,D
13,Lay Away New,24/02/2024,14:00,SPAIN - PRIMERA RFEF,Ponferradina,R. Sociedad B,2.1,2.9,3.4,2.63,1.44,2.2,1.62,H,D,H
14,Lay Away New,24/02/2024,14:15,BELGIUM - JUPILER PRO LEAGUE,St. Truiden,Westerlo,2.05,3.3,3.6,1.93,1.93,1.75,2.0,D,D,H
15,Lay Away New,24/02/2024,14:30,SPAIN - LALIGA2,Eibar,Espanyol,2.05,3.3,3.8,2.2,1.65,1.91,1.8,D,H,D
16,Lay Away New,24/02/2024,16:00,MOROCCO - BOTOLA PRO,Olympique de Safi,Renaissance Zemamra,1.7,3.3,4.5,2.4,1.53,2.38,1.53,D,H,A
17,Lay Away New,24/02/2024,16:00,USA - MLS,Columbus,Atlanta Utd,1.6,4.2,5.0,1.44,2.7,1.5,2.5,H,A,A
18,Lay Away New,24/02/2024,16:00,SPAIN - PRIMERA RFEF,Tarazona,Unionistas,2.75,2.75,2.7,2.63,1.44,2.2,1.62,H,D,H
19,Lay Away New,24/02/2024,17:00,NETHERLANDS - EREDIVISIE,NEC Nijmegen,Sparta Rotterdam,1.91,4.0,3.6,1.75,2.05,1.7,2.05,D,A,H
20,Lay Away New,24/02/2024,19:30,ARGENTINA - COPA DE LA LIGA PROFESIONAL,Belgrano,Talleres,3.3,3.1,2.38,2.5,1.5,2.2,1.62,H,A,H
21,Lay Away New,24/02/2024,21:30,USA - MLS,Orlando City,CF Montreal,1.6,4.2,5.0,1.75,2.05,1.8,1.95,H,A,A
22,Lay Away New,24/02/2024,21:30,USA - MLS,Philadelphia,Chicago Fire,1.65,4.0,5.0,1.73,2.08,1.75,2.0,H,A,A
23,Lay Away New,24/02/2024,22:00,MEXICO - LIGA MX,Tigres,Atlas,1.57,4.2,5.5,2.0,1.85,2.0,1.75,H,D,A
24,Lay Away New,24/02/2024,22:05,MEXICO - LIGA MX,Guadalajara,Pumas UNAM,2.1,3.4,3.4,1.98,1.88,1.75,2.0,H,D,A
25,Lay Away New,24/02/2024,22:30,USA - MLS,Houston Dynamo,Kansas City,2.0,3.6,3.75,2.0,1.85,1.8,1.95,H,A,A
