,League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A
1,MEXICO - LIGA MX,02/03/2024,00:00,Mazatlan FC,Necaxa,2.049999952316284,3.299999952316284,3.75
2,SOUTH KOREA - K LEAGUE 2,02/03/2024,02:00,Bucheon FC 1995,Cheonan City,1.8,3.5,4.5
3,AUSTRALIA - A-LEAGUE,02/03/2024,03:00,Western United,Perth Glory,2.049999952316284,3.599999904632568,3.299999952316284
4,AUSTRALIA - A-LEAGUE,02/03/2024,04:00,Newcastle Jets,Central Coast Mariners,3.2,3.75,2.1
5,SOUTH KOREA - K LEAGUE 2,02/03/2024,04:30,Cheongju,Jeonnam,2.38,3.4,2.9
6,CHINA - SUPER LEAGUE,02/03/2024,04:30,Tianjin Jinmen Tiger,Nantong Zhiyun,1.8,3.5,4.75
7,AUSTRALIA - A-LEAGUE,02/03/2024,05:45,WS Wanderers,Sydney FC,2.55,3.75,2.6
8,BULGARIA - PARVA LIGA,02/03/2024,07:45,Etar,Lok. Sofia,2.55,3.25,2.8
9,ARMENIA - PREMIER LEAGUE,02/03/2024,08:00,Alashkert,Noah,2.62,3.25,2.37
10,CHINA - SUPER LEAGUE,02/03/2024,08:35,Chengdu Rongcheng,Qingdao Hainiu,1.33,5.5,8.5
11,ROMANIA - LIGA 1,02/03/2024,09:00,UTA Arad,U Craiova 1948,2.1,3.3,3.2
12,ESTONIA - MEISTRILIIGA,02/03/2024,09:30,Levadia,Narva,1.24,5.1,9.0
13,SPAIN - LALIGA2,02/03/2024,10:00,Eldense,Villarreal B,2.1,3.3,3.8
14,BULGARIA - PARVA LIGA,02/03/2024,10:15,Krumovgrad,Lok. Plovdiv,3.0,3.3,2.38
15,CROATIA - HNL,02/03/2024,11:00,Slaven Belupo,Lok. Zagreb,2.8,3.0,2.5
16,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,02/03/2024,11:00,Al Khaleej,Al Shabab,3.75,3.5,1.95
17,POLAND - EKSTRAKLASA,02/03/2024,11:00,Gornik Zabrze,Jagiellonia,2.45,3.3,2.55
18,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,02/03/2024,11:00,Damac,Al Ettifaq,3.1,3.25,2.3
19,SCOTLAND - LEAGUE ONE,02/03/2024,12:00,Falkirk,Annan,1.13,9.0,12.0
20,SCOTLAND - LEAGUE TWO,02/03/2024,12:00,Stranraer,Forfar Athletic,2.4,3.2,2.8
21,SCOTLAND - LEAGUE TWO,02/03/2024,12:00,Spartans,East Fife,1.95,3.3,3.6
22,SCOTLAND - LEAGUE TWO,02/03/2024,12:00,Dumbarton,Peterhead,2.05,3.3,3.4
23,SCOTLAND - PREMIERSHIP,02/03/2024,12:00,Hibernian,Ross County,1.57,4.2,5.5
24,SCOTLAND - PREMIERSHIP,02/03/2024,12:00,Rangers,Motherwell,1.14,9.0,15.0
25,SCOTLAND - PREMIERSHIP,02/03/2024,12:00,St Johnstone,Livingston,2.38,3.25,3.1
26,SCOTLAND - PREMIERSHIP,02/03/2024,12:00,St. Mirren,Aberdeen,2.25,3.5,3.1
27,ROMANIA - LIGA 1,02/03/2024,12:00,FC Hermannstadt,Otelul,1.95,3.0,3.8
28,BELGIUM - JUPILER PRO LEAGUE,02/03/2024,12:00,Cercle Brugge KSV,KV Mechelen,1.91,3.6,4.0
29,SCOTLAND - LEAGUE ONE,02/03/2024,12:00,Montrose,Alloa,2.1,3.4,3.0
30,SCOTLAND - LEAGUE ONE,02/03/2024,12:00,Queen of South,Stirling,2.25,3.3,2.88
31,SCOTLAND - PREMIERSHIP,02/03/2024,12:00,Dundee FC,Kilmarnock,2.6,3.5,2.6
32,SCOTLAND - LEAGUE TWO,02/03/2024,12:00,Clyde,Elgin City,1.85,3.6,3.6
33,SCOTLAND - LEAGUE TWO,02/03/2024,12:00,Bonnyrigg Rose,Stenhousemuir,2.9,3.3,2.25
34,SPAIN - LALIGA2,02/03/2024,12:15,Ferrol,Racing Santander,2.2,3.3,3.4
35,SPAIN - LALIGA2,02/03/2024,12:15,Espanyol,Huesca,1.73,3.25,6.0
36,PORTUGAL - LIGA PORTUGAL,02/03/2024,12:30,Moreirense,Rio Ave,2.25,3.1,3.4
37,BULGARIA - PARVA LIGA,02/03/2024,12:45,Slavia Sofia,Botev Plovdiv,2.7,3.25,2.7
38,CROATIA - HNL,02/03/2024,13:10,Hajduk Split,Istra 1961,1.29,5.25,10.0
39,POLAND - EKSTRAKLASA,02/03/2024,13:30,Slask Wroclaw,Widzew Lodz,2.0,3.2,3.5
40,SWITZERLAND - SUPER LEAGUE,02/03/2024,14:00,Servette,St. Gallen,1.909999966621399,4.0,3.799999952316284
41,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,02/03/2024,14:00,Al Ahli SC,Al Fateh,1.5,4.75,5.25
42,EGYPT - PREMIER LEAGUE,02/03/2024,14:00,El Ismaily,Baladiyat El Mahalla,1.57,3.55,5.9
43,SWITZERLAND - SUPER LEAGUE,02/03/2024,14:00,Lausanne Ouchy,Grasshoppers,2.8,3.4,2.5
44,SPAIN - LALIGA2,02/03/2024,14:30,R. Oviedo,Levante,2.0,3.25,4.2
45,PORTUGAL - LIGA PORTUGAL,02/03/2024,15:00,Estoril,Vitoria Guimaraes,3.5,3.5,2.1
46,ROMANIA - LIGA 1,02/03/2024,15:00,Farul Constanta,CFR Cluj,2.9,3.3,2.3
47,USA - MLS,02/03/2024,16:00,Real Salt Lake,Los Angeles FC,2.8,3.6,2.38
48,USA - MLS,02/03/2024,16:00,Minnesota United,Columbus Crew,2.9,3.6,2.3
49,POLAND - EKSTRAKLASA,02/03/2024,16:00,Legia,Pogon Szczecin,1.91,3.5,3.5
50,SWITZERLAND - SUPER LEAGUE,02/03/2024,16:30,Basel,Lausanne,2.05,3.6,3.5
51,BELGIUM - JUPILER PRO LEAGUE,02/03/2024,16:45,St. Liege,Gent,3.1,3.4,2.2
52,SPAIN - LALIGA2,02/03/2024,17:00,Burgos CF,FC Cartagena SAD,1.91,3.2,4.75
53,ARGENTINA - COPA DE LA LIGA PROFESIONAL,02/03/2024,17:00,Sarmiento Junin,Union de Santa Fe,3.0,2.9,2.7
54,PORTUGAL - LIGA PORTUGAL,02/03/2024,17:30,Braga,Estrela,1.36,5.0,8.5
55,USA - MLS,02/03/2024,18:30,Inter Miami,Orlando City,1.75,4.0,4.33
56,ARGENTINA - COPA DE LA LIGA PROFESIONAL,02/03/2024,19:00,Atl. Tucuman,Velez Sarsfield,2.6,3.1,3.0
57,ARGENTINA - COPA DE LA LIGA PROFESIONAL,02/03/2024,19:15,Independiente,Argentinos Jrs,2.15,3.1,3.8
58,MEXICO - LIGA MX,02/03/2024,20:00,Toluca,U.A.N.L.- Tigres,2.25,3.4,3.2
59,USA - MLS,02/03/2024,21:30,Vancouver Whitecaps,Charlotte,1.85,3.8,4.0
60,ARGENTINA - COPA DE LA LIGA PROFESIONAL,02/03/2024,21:30,Talleres Cordoba,River Plate,3.1,3.2,2.4
61,MEXICO - LIGA MX,02/03/2024,22:00,Pachuca,Juarez,1.5,4.2,7.0
62,MEXICO - LIGA MX,02/03/2024,22:05,Cruz Azul,Guadalajara Chivas,1.85,3.6,4.2
63,USA - MLS,02/03/2024,22:30,Chicago Fire,FC Cincinnati,2.3,3.6,2.9
64,USA - MLS,02/03/2024,22:30,FC Dallas,CF Montreal,1.85,3.75,4.2
65,USA - MLS,02/03/2024,22:30,St. Louis City,New York City,2.38,3.5,2.88
66,USA - MLS,02/03/2024,22:30,Houston Dynamo,New York Red Bulls,2.3,3.3,3.2
67,USA - MLS,02/03/2024,22:30,Sporting Kansas City,Philadelphia Union,2.1,3.6,3.4
68,USA - MLS,02/03/2024,23:30,Colorado Rapids,Nashville SC,2.25,3.4,3.2
