,League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No
1,MEXICO - LIGA MX,2024-03-30,00:00,Mazatlan FC,Club Tijuana,2.2,3.75,3.1,1.65,1.62,2.2
2,SOUTH KOREA - K LEAGUE 2,2024-03-30,02:00,Asan,Cheongju,2.1,3.4,3.1,2.3,2.0,1.73
3,SOUTH KOREA - K LEAGUE 1,2024-03-30,02:00,Incheon,Daejeon,2.05,3.3,3.4,2.05,1.83,1.83
4,AUSTRALIA - A-LEAGUE,2024-03-30,03:30,Melbourne City,Newcastle Jets,1.53,4.75,5.25,1.44,1.53,2.38
5,SOUTH KOREA - K LEAGUE 1,2024-03-30,04:30,Jeju Utd,Pohang,2.4,3.0,2.7,2.1,1.8,1.91
6,SOUTH KOREA - K LEAGUE 2,2024-03-30,04:30,Seongnam,Gimpo FC,2.3,3.0,3.1,2.4,2.0,1.73
7,AUSTRALIA - A-LEAGUE,2024-03-30,05:45,Sydney FC,Central Coast Mariners,2.15,3.75,3.1,1.62,1.57,2.25
8,ROMANIA - LIGA 2,2024-03-30,06:00,Ceahlaul,Metaloglobus Bucharest,2.07,3.25,3.35,2.1,1.9,1.72
9,ROMANIA - LIGA 2,2024-03-30,06:00,Unirea Slobozia,Mioveni,2.1,3.2,3.45,2.35,2.1,1.65
10,ROMANIA - LIGA 2,2024-03-30,06:00,CSM Resita,Unirea Dej,1.75,3.45,4.35,1.98,1.87,1.75
11,PORTUGAL - LIGA PORTUGAL 2,2024-03-30,08:00,Leiria,Nacional,2.6,3.6,2.45,1.73,1.62,2.2
12,ARMENIA - PREMIER LEAGUE,2024-03-30,08:00,Alashkert,Ararat Yerevan,1.95,3.1,3.65,1.98,1.83,1.93
13,THAILAND - THAI LEAGUE 1,2024-03-30,08:00,Uthai Thani,Prachuap,2.47,3.3,2.67,1.72,1.57,2.27
14,INDIA - ISL,2024-03-30,08:30,Bengaluru FC,Odisha FC,2.55,3.3,2.55,1.83,1.67,2.1
15,SWEDEN - SUPERETTAN,2024-03-30,09:00,Sundsvall,Ostersund,2.45,3.4,2.55,1.93,1.7,2.05
16,ENGLAND - PREMIER LEAGUE,2024-03-30,09:30,Newcastle,West Ham,1.8,4.2,4.0,1.48,1.5,2.5
17,ITALY - SERIE C,2024-03-30,10:00,Casertana,Taranto,2.2,2.95,3.45,2.6,2.2,1.6
18,INDIA - I-LEAGUE,2024-03-30,10:00,Mohammedan,Inter Kashi,1.53,4.3,4.8,1.47,1.55,2.15
19,ITALY - SERIE C,2024-03-30,10:00,Monopoli,Sorrento,1.95,3.1,4.05,2.42,2.18,1.62
20,ITALY - SERIE C,2024-03-30,10:00,AlbinoLeffe,Trento,2.32,2.87,3.35,2.67,2.2,1.6
21,SPAIN - LALIGA2,2024-03-30,10:00,Valladolid,Levante,1.85,3.4,4.75,2.2,2.0,1.73
22,ITALY - SERIE C,2024-03-30,10:00,Arezzo,Juventus U23,1.98,3.25,3.75,2.3,2.05,1.7
23,INDONESIA - LIGA 1,2024-03-30,10:30,Persis Solo,RANS Nusantara,1.62,4.1,4.3,1.53,1.57,2.1
24,INDONESIA - LIGA 1,2024-03-30,10:30,Bali United,Persija Jakarta,1.8,3.6,3.95,1.55,1.52,2.22
25,ROMANIA - LIGA 1,2024-03-30,10:45,FC Botosani,Poli Iasi,2.45,3.1,3.0,2.4,2.0,1.73
26,CROATIA - HNL,2024-03-30,10:50,Varazdin,Gorica,2.2,3.25,3.1,2.05,1.8,1.91
27,INDIA - ISL,2024-03-30,11:00,Jamshedpur,Kerala Blasters,2.2,3.25,3.0,1.93,1.73,2.0
28,SWEDEN - SUPERETTAN,2024-03-30,11:00,Orgryte,Utsikten,2.15,3.5,3.0,1.83,1.67,2.1
29,SLOVAKIA - NIKE LIGA,2024-03-30,11:00,Z. Moravce-Vrable,Kosice,2.37,3.4,2.82,2.0,1.78,1.93
30,SERBIA - PRVA LIGA,2024-03-30,11:00,Tekstilac Odzaci,Radnicki S. Mitrovica,1.78,3.0,4.75,2.35,2.25,1.61
31,SLOVAKIA - NIKE LIGA,2024-03-30,11:00,Banska Bystrica,Trencin,2.72,3.45,2.42,1.8,1.62,2.15
32,PORTUGAL - LIGA PORTUGAL 2,2024-03-30,11:00,Maritimo,Leixoes,1.7,3.5,5.25,2.1,2.0,1.73
33,SERBIA - PRVA LIGA,2024-03-30,11:00,OFK Beograd,Smederevo,1.5,3.75,5.6,1.93,2.07,1.72
34,SLOVAKIA - NIKE LIGA,2024-03-30,11:00,Skalica,Michalovce,2.22,3.25,3.2,2.22,1.93,1.78
35,NORTH MACEDONIA - 1. MFL,2024-03-30,11:00,Tikves,Sileks,2.12,3.05,3.45,2.2,1.93,1.7
36,SERBIA - PRVA LIGA,2024-03-30,11:00,Graficar Beograd,Mladost GAT,2.05,2.87,3.7,2.22,2.02,1.75
37,RUSSIA - PREMIER LEAGUE,2024-03-30,11:30,Baltika,Pari NN,2.54,3.11,3.34,2.81,2.3,1.59
38,ENGLAND - PREMIER LEAGUE,2024-03-30,12:00,Nottingham,Crystal Palace,2.25,3.3,3.3,2.08,1.8,1.95
39,SCOTLAND - PREMIERSHIP,2024-03-30,12:00,Motherwell,St. Mirren,2.45,3.4,2.88,2.15,1.95,1.8
40,SCOTLAND - PREMIERSHIP,2024-03-30,12:00,Hearts,Kilmarnock,2.0,3.5,3.75,2.05,1.8,1.95
41,SPAIN - PRIMERA RFEF,2024-03-30,12:00,Unionistas,SD Logrones,1.6,3.3,5.25,2.38,2.5,1.5
42,SCOTLAND - LEAGUE TWO,2024-03-30,12:00,Stranraer,Bonnyrigg Rose,2.1,3.6,2.9,2.05,1.83,1.83
43,SCOTLAND - LEAGUE TWO,2024-03-30,12:00,Peterhead,Clyde,1.95,3.5,3.4,1.75,1.67,2.1
44,SCOTLAND - LEAGUE TWO,2024-03-30,12:00,East Fife,Elgin City,1.83,3.5,3.75,2.0,1.83,1.83
45,SCOTLAND - LEAGUE TWO,2024-03-30,12:00,Spartans,Forfar Athletic,2.05,3.5,3.1,2.1,1.83,1.83
