,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,07/04/2024,04:00,HONG KONG - PREMIER LEAGUE,North District,Sham Shui Po,1.6,4.35,4.3,1.39,1.47,2.32,1.01,1.19,1.1,2.95,1.29
2,07/04/2024,08:30,BELGIUM - CHALLENGER PRO LEAGUE,Genk U23,St. Liege U23,1.6,4.33,4.75,1.44,1.5,2.5,1.02,1.25,1.13,3.5,1.29
3,07/04/2024,09:30,SERBIA - SUPER LIGA,Radnicki 1923,Sp. Subotica,1.8,3.4,4.3,2.0,1.87,1.83,1.07,1.45,1.33,5.8,1.1
4,07/04/2024,10:00,ICELAND - BESTA DEILD KARLA,Fram,Vestri,1.78,3.95,3.8,1.47,1.47,2.5,1.03,1.27,1.15,3.4,1.27
5,07/04/2024,10:00,ICELAND - BESTA DEILD KARLA,KA Akureyri,Kopavogur,1.6,4.1,4.8,1.5,1.55,2.3,1.03,1.28,1.16,3.5,1.26
6,07/04/2024,11:45,NETHERLANDS - EERSTE DIVISIE,Roda,Venlo,1.65,4.2,5.0,1.57,1.62,2.2,1.03,1.29,1.17,4.33,1.2
7,07/04/2024,15:30,QATAR - QSL,Al Rayyan,Muaither SC,1.6,4.1,4.65,1.44,1.47,2.5,1.03,1.26,1.14,3.2,1.3
8,07/04/2024,15:45,ITALY - SERIE C,Rimini,Vis Pesaro,1.78,3.45,4.45,2.0,1.88,1.82,1.07,1.45,1.34,5.8,1.1
9,07/04/2024,16:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Raed,Al Hazem,1.62,3.75,4.75,1.73,1.73,2.0,1.04,1.33,1.22,5.0,1.14
10,07/04/2024,21:00,MEXICO - LIGA MX,Atl. San Luis,Juarez,1.83,3.6,4.33,1.7,1.62,2.2,1.04,1.3,1.2,5.0,1.17
