,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,12/04/2024,12:00,FINLAND - VEIKKAUSLIIGA,Haka,Ekenas,1.57,3.75,4.75,1.73,1.75,2.0,1.04,1.33,1.22,5.5,1.14
2,12/04/2024,12:00,CAMEROON - ELITE ONE,Victoria United,Cotonsport,2.62,3.0,2.52,2.32,2.02,1.75,1.07,1.5,1.48,9.35,1.01
3,12/04/2024,13:10,AUSTRIA - 2. LIGA,St. Polten,Admira,2.0,3.35,3.55,1.93,1.75,1.95,1.06,1.44,1.31,5.5,1.11
4,12/04/2024,13:10,AUSTRIA - 2. LIGA,Liefering,Grazer AK,2.57,3.6,2.42,1.65,1.57,2.27,1.04,1.33,1.21,4.3,1.18
5,12/04/2024,14:00,SWEDEN - SUPERETTAN,Sundsvall,Skovde AIK,2.05,3.4,3.2,1.9,1.75,2.0,1.05,1.36,1.25,6.5,1.11
6,12/04/2024,14:00,GEORGIA - CRYSTALBET EROVNULI LIGA,Dila Gori,Dinamo Batumi,2.87,3.2,2.22,1.82,1.68,2.13,1.01,1.37,1.27,6.1,1.09
7,12/04/2024,14:30,ROMANIA - LIGA 1,Univ. Craiova,Farul Constanta,1.85,3.4,4.0,2.0,1.8,1.91,1.05,1.4,1.29,7.0,1.1
8,12/04/2024,15:00,NETHERLANDS - EERSTE DIVISIE,Willem II,Jong AZ,1.4,5.0,7.0,1.57,1.8,1.91,1.03,1.29,1.17,4.33,1.2
9,12/04/2024,15:00,NETHERLANDS - EERSTE DIVISIE,NAC Breda,Dordrecht,1.95,4.2,3.4,1.5,1.5,2.5,1.02,1.25,1.14,3.75,1.25
10,12/04/2024,15:30,POLAND - DIVISION 1,R. Rzeszow,S. Rzeszow,2.25,3.4,2.75,1.73,1.62,2.2,1.04,1.33,1.22,5.5,1.14
11,12/04/2024,15:30,POLAND - DIVISION 1,Motor Lublin,Arka Gdynia,3.0,3.4,2.2,1.95,1.67,2.1,1.05,1.36,1.29,6.5,1.11
12,12/04/2024,16:15,ICELAND - BESTA DEILD KARLA,Stjarnan,KR Reykjavik,1.98,3.9,3.15,1.47,1.47,2.5,1.03,1.27,1.16,3.5,1.26
13,12/04/2024,16:15,PORTUGAL - LIGA PORTUGAL,Gil Vicente,Sporting CP,9.5,6.0,1.29,1.57,2.0,1.75,1.03,1.29,1.17,4.0,1.22
14,12/04/2024,19:00,PARAGUAY - PRIMERA DIVISION,Guarani,Sol de America,2.1,3.25,3.2,2.1,1.83,1.83,1.06,1.44,1.36,8.0,1.08
15,12/04/2024,20:00,VENEZUELA - LIGA FUTVE,Monagas,Zamora,1.7,3.5,4.7,1.95,1.85,1.75,1.03,1.42,1.31,6.3,1.07
16,12/04/2024,21:00,ECUADOR - LIGA PRO,Dep. Cuenca,Aucas,3.3,3.2,2.1,2.05,1.8,1.91,1.07,1.44,1.3,7.0,1.1
