,League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_Under25,Media_Ptos_H,DP_Ptos_H,CV_Ptos_H,Media_VG_H,DP_VG_H,CV_VG_H,Media_CG_H,DP_CG_H,CV_CG_H,Media_GM_H,DP_GM_H,CV_GM_H,Media_GS_H,DP_GS_H,CV_GS_H,Media_SG_H,DP_SG_H,CV_SG_H,Media_p_H,DP_p_H,Media_CG_H_02,GM_H_XP,CV_GM_H_XP,GS_H_XP,CV_GS_H_XP,Media_Ptos_A,DP_Ptos_A,CV_Ptos_A,Media_VG_A,DP_VG_A,CV_VG_A,Media_CG_A,DP_CG_A,CV_CG_A,Media_GM_A,DP_GM_A,CV_GM_A,Media_GS_A,DP_GS_A,CV_GS_A,Media_SG_A,DP_SG_A,CV_SG_A,Media_p_A,DP_p_A,GM_A_XP,CV_GM_A_XP,GS_A_XP,CV_GS_A_XP,p_H,p_D,p_A,p_Over,p_Under,p_BTTS_Y,p_BTTS_N,p_H__p_D,p_H__p_A,p_D__p_H,p_D__p_A,p_A__p_H,p_A__p_D,p_D__p_Over,p_D__p_Under,CV_HDA,CV_HD,CV_HA,CV_DA,CV_DO,H_A,A_D,H_D,H_O,A_O,O_D,O_S,Odd_Sum,coeficiente_pontos,cv_pontos,HO_D,AO_D,ADJ_H,ADJ_A,CV_MO,DP_MO,CV_MO_OV,Euc_Dist_MO,Angle_MO,Euc_Dist_OV,Angle_OV,XPT_H,XPT_A,XPT_H/A,XPT_A/H,Distancia_E_Geral,DE,DE_Casa,prediction_label,prediction_score
1,MEXICO - LIGA MX,2024-04-14,00:10,Monterrey,U.A.N.L.- Tigres,2.1,3.4,3.6,1.93,1.7,2.05,1.93,2.1818182,1.1134044,0.51031035,0.32181934,0.24004233,0.7458916,0.4696521,0.19186036,0.40851593,1.9090909,1.1642044,0.6098214,0.72727275,0.74965554,1.0307764,1.1818181,1.5266232,1.2917582,0.652554,0.0684761,1.2808224,2.2561984,0.98509604,0.72727275,0.74965554,1.5454545,1.3726971,0.88821584,0.43441948,0.31898516,0.73427916,0.46262026,0.1165638,0.2519643,1.3636364,1.06794,0.78315604,1.3636364,0.88139635,0.6463573,0.0,1.595448,1.0,0.37737316,0.1259761,3.0991735,0.4698936,2.231405,0.5386311,0.47619048,0.29411766,0.2777778,0.5181347,0.5181347,0.5882353,0.4878049,1.6190476,1.7142857,0.61764705,1.0588236,0.5833333,0.9444444,0.56764704,0.56764704,0.2574094,0.23636363,0.2631579,0.028571429,0.27579737,0.5833333,1.0588236,0.61764705,1.0880829,1.8652849,0.56764704,1.1352941,9.1,0.636,2.486,-0.14285715,0.021978023,0.23076923,0.3956044,0.26850092,0.81445277,0.31334037,1.9949937,33.02387,0.0,0.0,1.7063493,1.3095238,1.3030303,0.76744187,1.9949937,0.2,1.3,1.0,0.8372
2,SOUTH KOREA - K LEAGUE 2,2024-04-14,02:00,Jeonnam,Ansan Greeners,1.57,3.6,4.75,1.7,1.73,2.0,2.1,2.3636363,1.06794,0.45182076,0.78044975,0.49561024,0.6350316,0.32370815,0.1884174,0.58205944,2.3636363,1.4316378,0.6056929,1.0,1.2060454,1.2060454,1.3636364,1.6663911,1.2220201,0.47162732,0.12146507,1.4176319,2.5785124,1.3123347,1.1818181,1.0205,1.2727273,1.354515,1.0642618,0.94347525,0.6359355,0.67403513,0.30738702,0.09145744,0.2975319,1.6363636,1.1499192,0.7027284,1.9090909,1.5640591,0.81926906,-0.27272728,1.6006197,-5.868939,0.22649257,0.059661645,1.0413224,1.8070158,2.9504132,1.0120382,0.6369427,0.2777778,0.21052632,0.5882353,0.47619048,0.5780347,0.5,2.2929935,3.0254776,0.43611112,1.3194444,0.33052632,0.75789475,0.4722222,0.5833333,0.4990577,0.3926499,0.5031645,0.13772455,0.35849056,0.33052632,1.3194444,0.43611112,0.9235294,2.7941177,0.4722222,0.982659,9.92,1.091,2.422,-0.2046371,0.11592742,0.15826613,0.47883064,0.48694524,1.6101656,0.5303626,3.9440842,45.42651,0.56568545,-11.309933,2.1213543,1.2685217,1.6723044,0.5979772,3.9440842,1.15,2.03,1.0,0.9759
3,SOUTH KOREA - K LEAGUE 1,2024-04-14,04:30,Incheon,Daegu,2.2,3.2,3.2,2.25,1.91,1.8,1.62,1.8181819,1.3360853,0.73484695,0.520428,0.38511,0.7399871,0.43146953,0.06532182,0.15139382,1.5454545,1.0756508,0.6960094,0.90909094,0.66804266,0.73484695,0.6363636,1.4316378,2.2497165,0.4315532,0.07640233,0.9885039,1.9669422,0.8451542,0.5785124,1.0497813,0.90909094,1.3111095,1.4422206,0.38912985,0.45900112,1.1795578,0.5999373,0.1265068,0.2108667,0.90909094,0.9958592,1.0954452,1.6363636,0.97912085,0.59835166,-0.72727275,1.4826823,-2.0386884,0.3392045,0.06356273,0.74380165,1.2171613,2.3801653,0.6731456,0.45454547,0.3125,0.3125,0.44444445,0.61728394,0.5235602,0.5555556,1.4545455,1.4545455,0.6875,1.0,0.6875,1.0,0.703125,0.50625,0.18608074,0.18518518,0.18518518,0.0,0.17431192,0.6875,1.0,0.6875,0.9777778,1.4222223,0.703125,1.1780105,8.6,0.909,2.647,-0.11627907,0.0,0.25581396,0.37209302,0.20140126,0.57735026,0.20766322,1.4142135,26.565052,0.89095455,17.484426,1.6761364,1.3920455,1.2040817,0.8305085,1.4142135,0.0,1.0,1.0,0.734
4,SOUTH KOREA - K LEAGUE 2,2024-04-14,04:30,Asan,Cheonan City,1.7,3.4,4.2,1.88,1.8,1.91,1.93,1.8181819,1.3360853,0.73484695,0.6149932,0.56336164,0.91604525,0.41531587,0.14773259,0.3557114,1.6363636,1.3666633,0.83518314,1.0909091,0.8999541,0.8249579,0.54545456,1.233151,2.2607768,0.4066677,0.07824136,1.0215157,2.5289257,0.88431156,0.892562,1.0999439,1.0909091,1.2398347,1.1365151,0.7013747,0.68120426,0.97124153,0.46035084,0.096404724,0.20941576,1.1818181,1.1922616,1.0088367,1.0909091,0.66804266,0.61237246,0.09090909,1.5048132,16.552946,0.21619402,0.06692153,1.1818181,1.1922616,2.5785124,0.28263342,0.5882353,0.29411766,0.23809524,0.5319149,0.5181347,0.5555556,0.5235602,2.0,2.4705882,0.5,1.2352941,0.4047619,0.8095238,0.5529412,0.56764704,0.4111721,0.33333334,0.42372882,0.10526316,0.28787878,0.4047619,1.2352941,0.5,0.90425533,2.2340426,0.5529412,1.0444444,9.3,0.727,2.576,-0.1827957,0.086021505,0.1827957,0.4516129,0.4118434,1.2767146,0.4321267,3.127299,40.364536,0.07071068,-1.4320962,2.0028012,1.302521,1.5376344,0.6503497,3.127299,0.8,1.7,1.0,0.9192
5,ROMANIA - LIGA 2,2024-04-14,05:00,Unirea Slobozia,Gloria Buzau,2.12,3.25,3.4,2.22,1.93,1.78,1.65,2.2727273,1.2128786,0.53366655,0.3971542,0.31401056,0.7906515,0.47479823,0.18858303,0.39718562,1.4545455,0.9875255,0.6789238,0.54545456,0.4979296,0.91287094,0.90909094,1.0833068,1.1916375,0.4937755,0.098413676,0.9741605,1.322314,1.0862781,0.49586776,0.5477226,1.6363636,1.2984415,0.793492,0.37063235,0.27641305,0.74578774,0.43275866,0.111019306,0.25653863,1.5454545,1.4993111,0.9701425,1.0909091,0.66804266,0.61237246,0.45454547,1.5587662,3.4292855,0.44264823,0.17762762,1.1239669,2.0615528,1.4876033,0.48989794,0.4716981,0.30769232,0.29411766,0.45045045,0.6060606,0.5181347,0.56179774,1.5330188,1.6037736,0.6523077,1.0461539,0.62352943,0.9558824,0.6830769,0.50769234,0.22553112,0.21042831,0.23188406,0.02255639,0.18829982,0.62352943,1.0461539,0.6523077,0.954955,1.5315316,0.6830769,1.150259,8.77,0.636,2.511,-0.12884834,0.017103763,0.24173318,0.3876853,0.23936307,0.699738,0.24418151,1.7140012,29.466448,0.80610174,15.907552,1.709212,1.3540511,1.2622951,0.7922078,1.7140012,0.15,1.13,1.0,0.7565
6,RUSSIA - PREMIER LEAGUE,2024-04-14,06:00,Orenburg,Pari NN,2.09,3.39,4.16,2.38,2.01,1.76,1.68,1.6363636,1.2984415,0.793492,0.57604766,0.508872,0.8833852,0.42052376,0.17055422,0.4055757,1.5454545,1.1570839,0.7487013,0.90909094,0.7925271,0.8717798,0.6363636,1.8227216,2.864277,0.39316848,0.10061508,0.96931154,1.6859504,1.0606601,0.8264463,0.8717798,0.45454547,0.8907235,1.9595917,0.2123911,0.40056813,1.885993,0.77467936,0.08043028,0.10382396,0.36363637,0.64282435,1.767767,1.2727273,0.86243933,0.6776309,-0.90909094,0.8999541,-0.98994946,0.19645925,0.06318558,0.36363637,0.64282435,1.1570247,0.9486833,0.4784689,0.29498526,0.24038461,0.42016807,0.5952381,0.49751243,0.5681818,1.6220095,1.9904306,0.61651915,1.2271386,0.50240386,0.81490386,0.7020649,0.49557522,0.30133215,0.23722628,0.3312,0.10198676,0.17504333,0.50240386,1.2271386,0.61651915,0.87815124,1.7478992,0.7020649,1.1840796,9.64,1.182,2.189,-0.13485478,0.07987552,0.21680498,0.43153527,0.32559562,1.0462472,0.3162915,2.562772,33.02387,0.98994946,19.290047,1.6757913,1.1996228,1.3969319,0.71585447,2.562772,0.77,1.3,1.0,0.8739
7,SPAIN - PRIMERA RFEF,2024-04-14,07:00,Osasuna B,Sabadell,2.15,2.9,3.25,2.25,1.91,1.8,1.62,0.90909094,1.0833068,1.1916375,0.3069378,0.2453799,0.79944503,0.5646127,0.15604214,0.27637026,1.0909091,0.8999541,0.8249579,1.4545455,1.304791,0.89704376,-0.36363637,1.6109132,-4.4300113,0.4630545,0.103281066,0.7769818,1.2892562,0.7614996,2.5123968,0.75540525,1.0909091,1.2398347,1.1365151,0.51189125,0.38258687,0.7473987,0.43305805,0.1093184,0.2524336,1.0,0.73854893,0.73854893,1.9090909,1.3787047,0.72217864,-0.90909094,1.6211413,-1.7832555,0.264056,0.09674827,1.0,0.73854893,2.429752,1.0832679,0.4651163,0.3448276,0.30769232,0.44444445,0.61728394,0.5235602,0.5555556,1.3488373,1.5116279,0.7413793,1.1206896,0.6615385,0.8923077,0.7758621,0.5586207,0.1803544,0.14851485,0.2037037,0.05691057,0.1262136,0.6615385,1.1206896,0.7413793,0.95555556,1.4444444,0.7758621,1.1780105,8.3,-0.182,2.323,-0.090361446,0.042168673,0.25903615,0.39156628,0.2031291,0.5619905,0.19965304,1.37659,20.556046,0.89095455,17.484426,1.7030412,1.3881932,1.2268041,0.81512606,1.37659,0.35,0.75,1.0,0.5968
8,SPAIN - PRIMERA RFEF,2024-04-14,07:00,Ceuta,Linares,1.62,3.4,4.75,1.9,1.83,1.83,1.9,2.1818182,1.1134044,0.51031035,0.43017727,0.35912868,0.8348388,0.4764853,0.1954879,0.41027057,1.5454545,1.0756508,0.6960094,0.72727275,0.74965554,1.0307764,0.8181818,1.0285189,1.2570788,0.5257325,0.10475866,1.0355935,1.8264463,0.91016614,0.661157,0.82462114,1.0,1.2792042,1.2792042,0.5471384,0.53654337,0.98063564,0.48342586,0.109889306,0.22731367,1.0,0.9534626,0.9534626,1.7272727,1.6006197,0.92667454,-0.72727275,2.004128,-2.755676,0.24345261,0.08680111,0.54545456,1.7480147,1.8842975,1.4672347,0.61728394,0.29411766,0.21052632,0.5263158,0.5263158,0.5464481,0.5464481,2.0987654,2.9320989,0.4764706,1.3970588,0.34105262,0.7157895,0.5588235,0.5588235,0.46900502,0.35458168,0.4913658,0.16564417,0.28301886,0.34105262,1.3970588,0.4764706,0.85263157,2.5,0.5588235,1.0382514,9.77,1.182,2.393,-0.18219037,0.1381781,0.16581371,0.48618218,0.48206195,1.569915,0.49708652,3.845491,41.669083,0.0,0.0,2.0623782,1.2488629,1.6514047,0.60554504,3.845491,1.35,1.78,1.0,0.9611
9,BELGIUM - JUPILER PRO LEAGUE,2024-04-14,08:30,Club Brugge KV,Antwerp,1.73,3.8,4.33,1.7,1.7,2.05,2.1,2.1818182,1.1134044,0.51031035,0.36607584,0.2491608,0.68062615,0.37227818,0.1337382,0.35924265,2.2727273,1.1354542,0.49959984,0.8181818,0.9359664,1.1439589,1.4545455,1.4373989,0.98821175,0.6589346,0.15031594,1.4658309,2.892562,0.8921426,1.6363636,0.4679832,1.2727273,1.354515,1.0642618,0.30725795,0.37443534,1.2186351,0.6472618,0.20834088,0.3218804,1.0909091,1.3111095,1.2018504,1.0909091,0.8999541,0.8249579,0.0,1.8586408,1.0,0.42764384,0.16916665,0.892562,1.6024672,2.1818182,0.44997704,0.5780347,0.2631579,0.23094688,0.5882353,0.47619048,0.5882353,0.4878049,2.1965318,2.50289,0.45526317,1.1394737,0.3995381,0.87759817,0.4473684,0.55263156,0.43813252,0.37432188,0.4290429,0.06519065,0.38181818,0.3995381,1.1394737,0.45526317,1.017647,2.5470588,0.4473684,1.0,9.86,0.909,2.468,-0.20993915,0.053752534,0.17545639,0.43914807,0.41802588,1.3739117,0.47542295,3.3653827,45.985332,0.56568545,-11.309933,1.9650509,1.2708753,1.5462185,0.6467391,3.3653827,0.53,2.07,1.0,0.9582
10,CHINA - SUPER LEAGUE,2024-04-14,08:35,Shanghai Port,Shandong Taishan,1.7,3.75,5.0,1.7,1.7,2.05,2.1,1.9090909,1.2398347,0.64943725,0.33401796,0.2080367,0.6228309,0.41779914,0.22875229,0.54751736,2.090909,0.8999541,0.43041283,1.1818181,1.0285189,0.8702853,0.90909094,1.3111095,1.4422206,0.69003886,0.12815109,1.390474,4.9421487,0.3807498,1.0743802,1.1313709,1.8181819,1.1134044,0.61237246,0.2802577,0.16891047,0.602697,0.48837867,0.14250672,0.29179552,1.3636364,0.88139635,0.6463573,0.8181818,0.9359664,1.1439589,0.54545456,0.9875255,1.8104634,0.58320796,0.16209276,2.107438,0.5703153,1.338843,0.57197946,0.5882353,0.26666668,0.2,0.5882353,0.47619048,0.5882353,0.4878049,2.2058823,2.9411764,0.45333335,1.3333334,0.34,0.75,0.45333335,0.56,0.4820402,0.3761468,0.49253732,0.14285715,0.3761468,0.34,1.3333334,0.45333335,1.0,2.9411764,0.45333335,1.0,10.45,0.091,2.353,-0.19617225,0.119617224,0.16267942,0.4784689,0.4783014,1.6660832,0.5354857,4.0810537,45.70732,0.56568545,-11.309933,1.9647058,1.1882353,1.6534654,0.6047904,4.0810537,1.25,2.05,1.0,0.96
