,Date,Time,League,Home,Away,Odd_H,Odd_A,Odd_D,Odd_Under25,Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_CS_0x0_Lay,Odd_CS_0x1_Lay,Odd_CS_1x0_Lay,IDMercado_Correct_Score,VAR62,VAR63,VAR64,VAR65,VAR43,VAR44,VAR45,prediction_label,prediction_score
2,2024-04-20,21:00:00,BRAZIL - SERIE A,Atletico-MG,Cruzeiro,1.93,6.2,3.05,1.37,3.6,2.76,1.51,6.4,13.0,5.1,1.2276694,0.99462366,0.7616488,1.3058823,0.7657658,1.7156944,1.0020057,1.7122602,1,1.0
3,2024-04-20,21:30:00,USA - MLS,Sporting Kansas City,St. Louis City,2.26,3.5,3.55,1.86,2.12,1.78,2.12,14.0,13.5,10.5,1.2273446,1.7008086,1.328841,1.2799189,0.78129953,1.6131479,1.2996207,1.2412452,1,1.0
4,2024-04-20,21:30:00,USA - MLS,Houston Dynamo,Austin FC,1.71,5.9,3.95,1.79,2.2,2.16,1.79,13.0,17.0,7.2,1.2273439,1.5331279,0.96302,1.592,0.6281407,1.9238775,1.09327,1.7597462,1,1.0
5,2024-04-20,21:30:00,ARGENTINA - COPA DE LA LIGA PROFESIONAL,Godoy Cruz,Velez Sarsfield,2.48,3.65,2.98,1.5,2.92,2.28,1.74,7.4,10.0,7.2,1.2278312,1.3013699,1.1643835,1.117647,0.8947368,1.48365,1.2251437,1.2110009,1,1.0
6,2024-04-20,21:30:00,CHILE - PRIMERA DIVISION,Coquimbo,O'Higgins,2.1,4.1,3.45,1.79,2.2,1.95,1.97,11.0,13.5,8.6,1.2276138,1.6075388,1.1862527,1.3551402,0.737931,1.6724739,1.2078978,1.3846154,1,1.0
10,2024-04-20,22:05:00,MEXICO - LIGA MX,Guadalajara Chivas,Queretaro,1.64,6.0,4.2,2.14,1.85,1.87,2.08,16.0,23.0,9.2,1.2273421,1.7882882,1.0405406,1.7186147,0.581864,1.995935,1.1097561,1.7985348,1,1.0
11,2024-04-20,22:05:00,MEXICO - LIGA MX,Santos Laguna,Pachuca,2.78,2.6,3.85,2.36,1.71,1.61,2.52,18.5,15.0,15.0,1.2273426,2.1390014,1.7386415,1.2302717,0.8128286,1.463752,1.5135584,0.9670932,1,1.0
12,2024-04-20,22:05:00,MEXICO - LIGA MX,U.A.N.L.- Tigres,Necaxa,1.66,5.7,4.3,2.32,1.74,1.77,2.2,19.0,23.0,10.5,1.227342,1.8995765,1.1010284,1.7252747,0.57961786,1.9826676,1.1287254,1.7565544,1,1.0
13,2024-04-20,22:30:00,USA - MLS,Colorado Rapids,FC Dallas,1.78,5.5,3.85,2.0,1.96,1.9,2.06,13.5,18.5,8.6,1.2273445,1.7124305,1.0556586,1.6221441,0.616468,1.8672115,1.1072522,1.6863469,1,1.0
16,2024-04-20,22:30:00,COLOMBIA - PRIMERA A,Alianza,Jaguares de Cordoba,2.3,3.85,3.05,1.61,2.54,2.08,1.81,9.4,980.0,8.0,1.2277759,1.4408426,1.1729215,1.2284219,0.8140525,1.5640881,1.2140034,1.288372,1,1.0
18,2024-04-20,23:30:00,USA - MLS,Seattle Sounders,Vancouver Whitecaps,1.84,5.1,3.75,1.94,2.02,1.91,2.02,13.0,17.0,8.4,1.2273448,1.681227,1.0832849,1.5519713,0.6443418,1.8265132,1.1317135,1.613936,1,1.0
19,2024-04-20,23:30:00,USA - MLS,Los Angeles FC,New York Red Bulls,1.95,4.5,3.65,1.97,1.98,1.85,2.08,13.5,16.5,9.2,1.2273444,1.7373737,1.1717172,1.4827586,0.6744186,1.7606838,1.1794872,1.4927536,1,1.0
