Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,21/04/2024,07:00,SPAIN - PRIMERA RFEF,Ceuta,Baleares,1.3,4.75,7.5,1.65,2.0,1.73,1.03,1.3,1.2,4.5,1.17
22,21/04/2024,07:00,SPAIN - PRIMERA RFEF,UD Ibiza,Atl. Madrid B,1.65,3.4,4.75,2.1,2.1,1.67,1.05,1.44,1.33,7.0,1.08
21,21/04/2024,07:00,SPAIN - PRIMERA RFEF,Malaga,Murcia,1.67,3.4,4.5,2.38,2.38,1.53,1.08,1.53,1.44,8.5,1.05
20,21/04/2024,07:30,POLAND - EKSTRAKLASA,Cracovia,Puszcza,1.7,3.8,4.75,1.85,1.91,1.91,1.04,1.4,1.25,6.0,1.13
19,21/04/2024,09:00,CHINA - SUPER LEAGUE,Beijing Guoan,Qingdao West Coast,1.45,4.75,7.0,1.7,1.95,1.8,1.03,1.33,1.22,5.0,1.17
18,21/04/2024,10:00,SLOVENIA - PRVA LIGA,Maribor,Rogaska,1.4,4.5,6.9,1.75,2.0,1.72,1.04,1.35,1.24,4.65,1.16
17,21/04/2024,10:15,RUSSIA - PREMIER LEAGUE,Zenit,Orenburg,1.34,5.63,10.8,1.77,2.17,1.66,1.01,1.33,1.21,4.7,1.14
16,21/04/2024,11:00,SPAIN - PRIMERA RFEF,Barcelona B,Lugo,1.67,3.4,4.5,2.05,2.0,1.73,1.04,1.4,1.33,6.5,1.1
15,21/04/2024,11:15,SPAIN - LALIGA2,Eibar,Alcorcon,1.45,4.0,8.5,2.1,2.38,1.53,1.08,1.44,1.36,8.0,1.08
14,21/04/2024,12:00,AUSTRIA - BUNDESLIGA,Salzburg,A. Klagenfurt,1.25,6.5,9.0,1.62,2.1,1.67,1.03,1.3,1.2,4.5,1.18
13,21/04/2024,12:30,SLOVENIA - PRVA LIGA,Celje,Domzale,1.29,5.1,9.0,1.65,2.1,1.65,1.04,1.33,1.21,4.25,1.19
12,21/04/2024,13:00,PERU - LIGA 1,Sporting Cristal,Cusco,1.29,5.25,12.0,1.57,1.91,1.8,1.03,1.29,1.17,4.0,1.22
11,21/04/2024,14:00,MONTENEGRO - PRVA CRNOGORSKA LIGA,Decic,Mladost DG,1.39,4.4,6.8,1.72,1.98,1.65,1.01,1.33,1.24,5.42,1.12
10,21/04/2024,15:00,ITALY - SERIE C,Picerno,Brindisi,1.45,3.9,6.0,1.93,2.07,1.6,1.02,1.4,1.3,6.47,1.08
9,21/04/2024,15:00,ITALY - SERIE C,Benevento,Latina,1.53,3.55,5.6,1.98,2.02,1.62,1.03,1.44,1.34,7.24,1.06
8,21/04/2024,15:00,ITALY - SERIE C,Turris,Monterosi,1.65,3.4,4.8,2.02,1.98,1.65,1.04,1.45,1.36,7.85,1.05
7,21/04/2024,15:00,SERBIA - SUPER LIGA,Radnicki Nis,Radnik,1.29,5.2,8.75,1.55,1.93,1.78,1.03,1.3,1.18,3.75,1.23
6,21/04/2024,15:00,MOROCCO - BOTOLA PRO,FAR Rabat,Maghreb Fez,1.3,4.0,10.0,2.25,2.52,1.4,1.04,1.47,1.38,8.1,1.04
5,21/04/2024,18:10,COLOMBIA - PRIMERA A,Dep. Cali,Envigado,1.57,3.8,6.5,2.03,2.0,1.73,1.06,1.4,1.3,7.0,1.1
4,21/04/2024,18:30,BRAZIL - SERIE A,Botafogo RJ,Juventude,1.65,4.0,5.0,2.05,2.05,1.7,1.06,1.44,1.33,7.0,1.1
3,21/04/2024,19:00,DOMINICAN REPUBLIC - LDF,Universidad O&M,Atletico Pantoja,1.44,3.85,6.4,1.6,1.78,1.99,1.01,1.29,1.19,5.5,1.11
2,21/04/2024,21:00,MEXICO - LIGA MX,Cruz Azul,Atlas,1.45,4.33,7.0,1.7,1.8,1.95,1.04,1.3,1.2,5.0,1.17
23,21/04/2024,21:15,USA - MLS,Los Angeles Galaxy,San Jose Earthquakes,1.65,4.33,4.5,1.44,1.5,2.5,1.02,1.22,1.13,3.4,1.3
24,21/04/2024,22:15,COSTA RICA - PRIMERA DIVISION,San Carlos,Sporting San Jose,1.53,3.75,5.25,1.7,1.8,1.91,1.04,1.33,1.22,5.0,1.17
