,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,21/04/2024,02:00,SOUTH KOREA - K LEAGUE 2,Anyang,Suwon Bluewings,2.75,3.3,2.3,1.95,1.73,2.0,1.05,1.4,1.29,6.5,1.11
2,21/04/2024,02:00,AUSTRALIA - A-LEAGUE,Central Coast Mariners,Adelaide United,1.75,4.0,4.0,1.44,1.44,2.63,1.02,1.25,1.14,3.5,1.3
3,21/04/2024,05:00,INDONESIA - LIGA 1,Madura United,PSM Makassar,2.02,3.5,3.2,1.65,1.57,2.1,1.01,1.31,1.22,4.8,1.15
4,21/04/2024,07:00,SPAIN - PRIMERA RFEF,Ceuta,Baleares,1.3,4.75,7.5,1.65,2.0,1.73,1.03,1.3,1.2,4.5,1.17
5,21/04/2024,07:00,SPAIN - PRIMERA RFEF,UD Ibiza,Atl. Madrid B,1.65,3.4,4.75,2.1,2.1,1.67,1.05,1.44,1.33,7.0,1.08
6,21/04/2024,07:00,SPAIN - PRIMERA RFEF,Gimnastic,Celta Vigo B,2.3,2.9,3.0,2.38,2.1,1.67,1.08,1.53,1.44,8.5,1.05
7,21/04/2024,07:30,THAILAND - THAI LEAGUE 1,Muang Thong Utd,Lamphun Warrior,1.75,3.95,3.85,1.65,1.65,2.1,1.04,1.33,1.22,4.35,1.18
8,21/04/2024,07:30,POLAND - EKSTRAKLASA,Cracovia,Puszcza,1.7,3.8,4.75,1.85,1.91,1.91,1.04,1.4,1.25,6.0,1.13
9,21/04/2024,07:40,POLAND - DIVISION 1,Arka Gdynia,Wisla Plock,1.67,3.75,4.5,1.75,1.73,2.0,1.04,1.33,1.22,5.5,1.14
10,21/04/2024,08:00,THAILAND - THAI LEAGUE 1,Prachuap,Sukhothai,1.7,3.8,4.35,1.75,1.72,2.0,1.05,1.36,1.25,4.7,1.15
11,21/04/2024,09:00,INDONESIA - LIGA 1,Borneo,Arema FC,1.65,4.0,4.25,1.6,1.62,2.02,1.01,1.29,1.19,3.65,1.2
12,21/04/2024,09:00,INDONESIA - LIGA 1,Barito Putera,Persija Jakarta,2.32,3.25,2.85,1.65,1.52,2.22,1.01,1.33,1.21,4.75,1.15
13,21/04/2024,10:00,ROMANIA - LIGA 1,Otelul,U. Cluj,2.88,2.75,2.7,2.2,1.83,1.83,1.08,1.5,1.36,9.0,1.07
14,21/04/2024,10:00,SLOVENIA - PRVA LIGA,Maribor,Rogaska,1.4,4.5,6.9,1.75,2.0,1.72,1.04,1.35,1.24,4.65,1.16
15,21/04/2024,10:00,SWEDEN - SUPERETTAN,Brage,Landskrona,2.1,3.3,3.3,1.95,1.75,2.0,1.05,1.4,1.29,6.5,1.11
16,21/04/2024,10:15,RUSSIA - PREMIER LEAGUE,Zenit,Orenburg,1.34,5.63,10.8,1.77,2.17,1.66,1.01,1.33,1.21,4.7,1.14
17,21/04/2024,11:00,NORTH MACEDONIA - 1. MFL,Tikves,Shkendija,4.0,3.3,1.87,1.95,1.75,1.85,1.03,1.42,1.31,7.47,1.06
18,21/04/2024,11:15,SPAIN - LALIGA2,Eibar,Alcorcon,1.45,4.0,8.5,2.1,2.38,1.53,1.08,1.44,1.36,8.0,1.08
19,21/04/2024,11:15,SPAIN - LALIGA2,Eldense,Albacete,2.6,3.1,2.9,2.25,1.91,1.8,1.08,1.5,1.4,10.0,1.06
22,21/04/2024,11:30,ITALY - SERIE C,Pontedera,Olbia,1.4,4.05,6.7,1.91,2.12,1.57,1.02,1.39,1.29,6.21,1.09
20,21/04/2024,11:30,ITALY - SERIE C,Perugia,Arezzo,1.95,3.15,3.9,2.12,1.91,1.7,1.05,1.5,1.39,8.6,1.04
21,21/04/2024,11:30,ITALY - SERIE C,Pescara,Ancona,1.9,3.4,3.5,1.91,1.75,1.85,1.02,1.39,1.29,5.97,1.1
23,21/04/2024,12:00,GHANA - PREMIER LEAGUE,Heart of Lions,Nations FC,2.0,2.95,3.7,2.51,2.19,1.64,1.08,1.53,1.5,8.4,1.04
24,21/04/2024,12:30,SLOVENIA - PRVA LIGA,Celje,Domzale,1.29,5.1,9.0,1.65,2.1,1.65,1.04,1.33,1.21,4.25,1.19
25,21/04/2024,13:00,SERBIA - PRVA LIGA,Macva,Graficar Beograd,2.12,3.0,3.3,2.2,1.95,1.81,1.06,1.5,1.41,9.0,1.03
26,21/04/2024,13:00,SERBIA - PRVA LIGA,Metalac,Radnicki Beograd,1.38,3.95,7.6,2.07,2.6,1.47,1.05,1.44,1.36,9.0,1.05
27,21/04/2024,13:00,PERU - LIGA 1,Sporting Cristal,Cusco,1.29,5.25,12.0,1.57,1.91,1.8,1.03,1.29,1.17,4.0,1.22
28,21/04/2024,13:30,SPAIN - LALIGA2,Mirandes,Burgos CF,2.45,3.1,3.1,2.4,2.0,1.73,1.1,1.53,1.44,11.0,1.05
29,21/04/2024,14:15,BELGIUM - JUPILER PRO LEAGUE,Charleroi,Eupen,1.7,3.75,4.75,1.98,1.91,1.91,1.05,1.36,1.29,6.5,1.11
30,21/04/2024,14:30,RUSSIA - PREMIER LEAGUE,FK Rostov,Spartak Moscow,2.37,3.68,3.1,1.89,1.67,2.15,1.01,1.36,1.24,5.35,1.1
31,21/04/2024,15:00,IVORY COAST - LIGUE 1,ASEC Mimosas,Sporting Gagnoa,1.7,3.25,4.75,2.54,2.35,1.56,1.08,1.53,1.5,9.7,1.01
32,21/04/2024,15:00,ITALY - SERIE C,Foggia,Audace Cerignola,2.4,2.9,2.87,2.07,1.8,1.82,1.05,1.5,1.37,8.5,1.04
33,21/04/2024,15:00,SERBIA - SUPER LIGA,Radnicki Nis,Radnik,1.29,5.2,8.75,1.55,1.93,1.78,1.03,1.3,1.18,3.75,1.23
34,21/04/2024,15:00,MOROCCO - BOTOLA PRO,FAR Rabat,Maghreb Fez,1.3,4.0,10.0,2.25,2.52,1.4,1.04,1.47,1.38,8.1,1.04
35,21/04/2024,15:30,URUGUAY - PRIMERA DIVISION,River Plate,Progreso,2.63,3.1,2.75,2.3,2.0,1.73,1.08,1.5,1.4,10.0,1.06
36,21/04/2024,16:15,ICELAND - BESTA DEILD KARLA,Vikingur Reykjavik,Breidablik,2.02,3.65,3.2,1.57,1.5,2.4,1.03,1.31,1.18,3.85,1.22
37,21/04/2024,16:30,PORTUGAL - LIGA PORTUGAL,Sporting CP,Vitoria Guimaraes,1.29,5.5,11.0,1.53,1.95,1.8,1.03,1.29,1.17,4.0,1.22
38,21/04/2024,19:00,USA - MLS,Charlotte,Minnesota United,1.95,3.6,3.8,1.8,1.67,2.1,1.04,1.36,1.22,5.5,1.14
39,21/04/2024,22:15,COSTA RICA - PRIMERA DIVISION,San Carlos,Sporting San Jose,1.53,3.75,5.25,1.7,1.8,1.91,1.04,1.33,1.22,5.0,1.17
