,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,29/04/2024,05:00,INDONESIA - LIGA 1,Persikabo 1973,Barito Putera,3.25,3.5,2.02,1.5,1.44,2.42,1.01,1.42,1.2,3.35,1.23
2,29/04/2024,11:30,ROMANIA - LIGA 1,Petrolul,FC Botosani,2.1,3.2,3.0,2.35,2.0,1.73,1.08,1.5,1.44,10.0,1.06
3,29/04/2024,11:45,BULGARIA - PARVA LIGA,CSKA 1948 Sofia,Arda,2.25,3.2,3.4,2.2,1.83,1.83,1.07,1.5,1.36,9.0,1.07
4,29/04/2024,12:30,SLOVENIA - PRVA LIGA,Mura,Aluminij,1.98,3.45,3.5,1.87,1.75,1.98,1.06,1.4,1.29,5.3,1.12
5,29/04/2024,13:00,POLAND - DIVISION 1,Odra Opole,Motor Lublin,2.3,3.2,2.8,2.05,1.8,1.91,1.06,1.44,1.33,7.0,1.1
6,29/04/2024,14:00,POLAND - EKSTRAKLASA,Puszcza,Korona Kielce,2.7,3.2,2.63,2.1,1.8,1.95,1.07,1.44,1.33,8.0,1.08
7,29/04/2024,14:00,SWEDEN - ALLSVENSKAN,Mjallby,Kalmar,2.0,3.4,3.8,2.15,2.0,1.75,1.07,1.44,1.36,9.0,1.07
8,29/04/2024,14:15,BULGARIA - PARVA LIGA,Beroe,Etar,1.67,3.6,6.0,2.15,2.1,1.67,1.08,1.44,1.36,9.0,1.07
9,29/04/2024,15:00,BRAZIL - BRASILEIRO WOMEN,Flamengo W,Santos W,2.27,3.25,2.75,1.57,1.5,2.4,1.01,1.31,1.18,4.82,1.15
10,29/04/2024,15:00,URUGUAY - PRIMERA DIVISION,Racing Montevideo,Fenix,2.15,3.2,3.5,2.4,2.1,1.67,1.08,1.53,1.44,11.0,1.05
11,29/04/2024,15:30,SPAIN - LALIGA2,Ferrol,Mirandes,2.0,3.2,4.33,2.4,2.1,1.67,1.1,1.53,1.44,11.0,1.05
12,29/04/2024,20:00,BRAZIL - SERIE A,Sao Paulo,Palmeiras,3.2,2.9,2.5,2.7,2.1,1.67,1.13,1.57,1.53,13.0,1.04
13,29/04/2024,20:30,PARAGUAY - PRIMERA DIVISION,Olimpia Asuncion,Ameliano,1.91,3.4,4.2,1.98,1.83,1.83,1.06,1.4,1.29,7.0,1.1
