,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,12/05/2024,05:30,AUSTRIA - 2. LIGA,Kapfenberg,Amstetten,2.02,3.6,3.25,1.65,1.57,2.25,1.04,1.34,1.22,4.3,1.18
2,12/05/2024,08:00,SWEDEN - SUPERETTAN,Gefle,Skovde AIK,1.91,3.6,3.8,2.03,1.8,1.95,1.05,1.4,1.3,7.0,1.1
3,12/05/2024,09:00,SWEDEN - ALLSVENSKAN,Hacken,Kalmar,1.5,4.33,6.0,1.53,1.67,2.1,1.03,1.29,1.17,4.0,1.22
4,12/05/2024,10:00,SLOVENIA - PRVA LIGA,Celje,Koper,1.5,4.3,5.6,1.7,1.8,1.9,1.04,1.34,1.22,4.4,1.17
5,12/05/2024,11:00,BELGIUM - JUPILER PRO LEAGUE,Deinze,Lommel SK,2.45,3.3,2.75,1.7,1.53,2.38,1.04,1.33,1.2,5.0,1.17
6,12/05/2024,11:00,UZBEKISTAN - SUPER LEAGUE,Sogdiana,Navbahor Namangan,3.45,3.15,2.07,2.2,1.98,1.65,1.06,1.5,1.42,8.75,1.02
7,12/05/2024,11:30,SWITZERLAND - SUPER LEAGUE,St. Gallen,Servette,2.3,3.6,2.8,1.57,1.44,2.63,1.03,1.29,1.17,4.0,1.22
9,12/05/2024,13:30,BELGIUM - JUPILER PRO LEAGUE,Antwerp,Cercle Brugge KSV,2.25,3.5,3.0,1.73,1.57,2.25,1.04,1.33,1.22,5.5,1.14
8,12/05/2024,13:30,CHILE - PRIMERA DIVISION,Copiapo,Cobreloa,1.91,3.4,4.0,1.85,1.73,2.0,1.05,1.36,1.25,6.0,1.13
10,12/05/2024,14:00,ICELAND - BESTA DEILD KARLA,KR Reykjavik,Kopavogur,1.39,4.85,6.4,1.38,1.55,2.3,1.02,1.24,1.12,2.95,1.35
11,12/05/2024,16:00,BOLIVIA - DIVISION PROFESIONAL,Independiente,Bolivar,2.55,3.6,2.25,1.7,1.62,2.2,1.03,1.33,1.22,5.0,1.17
12,12/05/2024,16:15,ICELAND - BESTA DEILD KARLA,Vikingur Reykjavik,Hafnarfjordur,1.55,4.35,4.9,1.44,1.53,2.35,1.03,1.26,1.14,3.25,1.3
13,12/05/2024,18:00,COSTA RICA - PRIMERA DIVISION,Alajuelense,Guanacasteca,1.29,5.0,9.0,1.67,2.1,1.67,1.04,1.3,1.2,5.0,1.17
14,12/05/2024,18:30,BOLIVIA - DIVISION PROFESIONAL,Aurora,Oriente Petrolero,1.4,4.2,7.0,1.7,1.91,1.8,1.04,1.33,1.22,5.0,1.17
16,12/05/2024,20:00,USA - USL CHAMPIONSHIP,Miami FC,Indy Eleven,3.7,3.5,1.85,1.72,1.65,2.12,1.05,1.36,1.24,4.55,1.16
15,12/05/2024,20:00,CANADA - CANADIAN PREMIER LEAGUE,Vancouver FC,Atl. Ottawa,3.35,3.4,2.1,1.85,1.65,2.1,1.06,1.42,1.28,5.2,1.14
17,12/05/2024,21:00,CHILE - PRIMERA DIVISION,Deportes Iquique,Nublense,2.1,3.5,3.3,1.75,1.62,2.2,1.04,1.33,1.22,5.5,1.14
