,League,Date,Time,Home,Away,Goals_H,Goals_A,Odd_H,Odd_D,Odd_A,Odd_CS_0x1_Lay_x,IDMercado_Correct_Score,Lay_0x1,Predictions,Profit,Profit_acu
1,JAPAN - J2 LEAGUE,2024-05-25,01:55:00,Ehime,Tochigi SC,0.0,0.0,2.24,3.4,3.3,16.5,1.2291209,1,1,0.94,0.94
2,JAPAN - J1 LEAGUE,2024-05-25,02:00:00,Iwata,Shonan Bellmare,3.0,2.0,2.56,3.35,2.88,13.0,1.22912,1,1,0.94,1.88
3,JAPAN - J1 LEAGUE,2024-05-25,02:00:00,Hokkaido Consadole Sapporo,Kashima Antlers,0.0,3.0,3.3,3.6,2.28,13.5,1.2291199,1,1,0.94,2.82
4,JAPAN - J2 LEAGUE,2024-05-25,02:00:00,Fujieda MYFC,Kagoshima Utd,1.0,1.0,2.64,3.4,2.62,13.5,1.2291163,1,1,0.94,3.76
5,JAPAN - J2 LEAGUE,2024-05-25,02:00:00,V-Varen Nagasaki,Chiba,1.0,0.0,2.74,3.45,2.64,13.0,1.2290837,1,1,0.94,4.699999999999999
6,SOUTH KOREA - K LEAGUE 1,2024-05-25,02:00:00,Jeonbuk,Gimcheon Sangmu,0.0,0.0,2.06,3.5,3.45,16.0,1.2291203,1,1,0.94,5.639999999999999
7,JAPAN - J1 LEAGUE,2024-05-25,04:00:00,Kawasaki Frontale,Kashiwa Reysol,1.0,1.0,2.26,3.5,3.25,15.5,1.2291201,1,1,0.94,6.579999999999998
8,JAPAN - J1 LEAGUE,2024-05-25,04:00:00,Albirex Niigata,Avispa Fukuoka,1.0,2.0,2.64,2.92,3.15,11.0,1.2291198,1,1,0.94,7.519999999999998
9,JAPAN - J2 LEAGUE,2024-05-25,04:00:00,Kofu,Fujieda MYFC,3.0,0.0,3.6,3.35,2.16,10.5,1.2291164,1,1,0.94,8.459999999999997
10,SOUTH KOREA - K LEAGUE 1,2024-05-25,04:30:00,Ulsan HD,Daejeon,4.0,1.0,1.63,3.95,4.9,24.0,1.2291205,1,1,0.94,9.399999999999997
11,AUSTRALIA - A-LEAGUE,2024-05-25,06:45:00,Central Coast Mariners,Melbourne Victory,3.0,1.0,2.26,3.5,3.55,14.5,1.2291062,1,1,0.94,10.339999999999996
12,SOUTH KOREA - K LEAGUE 1,2024-05-25,07:00:00,Incheon,Gwangju FC,1.0,1.0,2.66,3.1,2.88,12.5,1.2291204,1,1,0.94,11.279999999999996
13,SOUTH KOREA - K LEAGUE 2,2024-05-25,07:00:00,Suwon Bluewings,Seoul E-Land,1.0,3.0,2.06,3.5,3.4,15.0,1.2292123,1,1,0.94,12.219999999999995
14,CHINA - SUPER LEAGUE,2024-05-25,08:35:00,Shandong Taishan,Zhejiang Professional,3.0,0.0,2.0,4.0,3.35,25.0,1.2292132,1,1,0.94,13.159999999999995
15,SPAIN - LALIGA,2024-05-25,09:00:00,Osasuna,Villarreal,0.0,0.0,3.05,3.95,2.38,16.0,1.2291418,1,1,0.94,14.099999999999994
16,CHINA - SUPER LEAGUE,2024-05-25,09:00:00,Wuhan Three Towns,Meizhou Hakka,0.0,1.0,1.48,4.5,6.8,28.0,1.2292168,0,1,-27.0,-12.900000000000006
17,UKRAINE - PREMIER LEAGUE,2024-05-25,09:30:00,Kryvbas,Minaj,0.0,0.0,2.56,3.3,2.32,15.0,1.229128,1,1,0.94,-11.960000000000006
18,UKRAINE - PREMIER LEAGUE,2024-05-25,09:30:00,Ch. Odesa,Dnipro-1,0.0,0.0,6.4,3.95,1.49,8.4,1.2291279,1,1,0.94,-11.020000000000007
