,League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Media_Ptos_H,DP_Ptos_H,CV_Ptos_H,Media_VG_H,DP_VG_H,CV_VG_H,Media_CG_H,DP_CG_H,CV_CG_H,Media_GM_H,DP_GM_H,CV_GM_H,Media_GS_H,DP_GS_H,CV_GS_H,Media_SG_H,DP_SG_H,CV_SG_H,Media_p_H,DP_p_H,Media_CG_H_02,GM_H_XP,CV_GM_H_XP,GS_H_XP,CV_GS_H_XP,Media_Ptos_A,DP_Ptos_A,CV_Ptos_A,Media_VG_A,DP_VG_A,CV_VG_A,Media_CG_A,DP_CG_A,CV_CG_A,Media_GM_A,DP_GM_A,CV_GM_A,Media_GS_A,DP_GS_A,CV_GS_A,Media_SG_A,DP_SG_A,CV_SG_A,Media_p_A,DP_p_A,GM_A_XP,CV_GM_A_XP,GS_A_XP,CV_GS_A_XP,p_H,p_D,p_A,p_Over,p_Under,p_BTTS_Y,p_BTTS_N,p_H__p_D,p_H__p_A,p_D__p_H,p_D__p_A,p_A__p_H,p_A__p_D,p_D__p_Over,p_D__p_Under,CV_HDA,CV_HD,CV_HA,CV_DA,CV_DO,H_A,A_D,H_D,H_O,A_O,O_D,O_S,Odd_Sum,coeficiente_pontos,cv_pontos,HO_D,AO_D,ADJ_H,ADJ_A,CV_MO,DP_MO,CV_MO_OV,Euc_Dist_MO,Angle_MO,Euc_Dist_OV,Angle_OV,XPT_H,XPT_A,XPT_H/A,XPT_A/H,Distancia_E_Geral,DE,DE_Casa,prediction_label,prediction_score
1,MEXICO - LIGA MX,2024-07-14,00:10,Monterrey,Cruz Azul,2.15,3.2,3.6,1.98,1.88,1.75,2.0,1.7272727,1.2128786,0.70219284,0.32373008,0.27730414,0.85659057,0.51195616,0.17131747,0.33463308,1.6363636,1.2264307,0.74948543,1.0909091,0.8999541,0.8249579,0.54545456,1.3726971,2.5166116,0.59384024,0.10158053,1.1151019,1.1900827,1.6863422,1.0909091,0.8999541,1.8181819,1.3360853,0.73484695,0.31435493,0.35774627,1.138033,0.6264563,0.18660754,0.297878,1.0,1.1281521,1.1281521,0.72727275,0.9620914,1.3228756,0.27272728,1.4200454,5.206833,0.42687958,0.13000256,0.54545456,2.068279,1.3884298,0.5039526,0.4651163,0.3125,0.2777778,0.5050505,0.5319149,0.5714286,0.5,1.4883721,1.6744186,0.671875,1.125,0.5972222,0.8888889,0.61875,0.5875,0.23130406,0.19626169,0.2521739,0.05882353,0.23552124,0.5972222,1.125,0.671875,1.0858586,1.8181819,0.61875,1.1314286,8.95,-0.091,2.549,-0.11731844,0.044692736,0.24022347,0.40223464,0.25102392,0.7488881,0.2894501,1.8343936,27.699472,0.14142136,2.8624053,1.6731266,1.2984496,1.2885572,0.7760618,1.8343936,0.4,1.05,1,0.733
2,SOUTH KOREA - K LEAGUE 2,2024-07-14,07:00,Bucheon FC 1995,Gimpo FC,2.25,3.25,3.0,2.35,1.57,2.1,1.67,1.2727273,1.354515,1.0642618,0.52955574,0.40994492,0.77412987,0.4277849,0.1487837,0.34780025,1.5454545,1.233151,0.7979212,1.6363636,1.5534552,0.9493337,-0.09090909,2.1086206,-23.194826,0.4384348,0.06532727,0.9919447,1.9669422,0.96890426,2.677686,0.9493337,1.6363636,1.2984415,0.793492,0.5551073,0.44448224,0.80071414,0.42311594,0.0662109,0.15648405,1.1818181,0.9359664,0.79197156,1.1818181,1.1134044,0.94211143,0.0,1.5374123,1.0,0.30589798,0.07606709,2.1487603,0.51478153,1.5041323,0.8748178,0.44444445,0.30769232,0.33333334,0.42553192,0.6369427,0.47619048,0.5988024,1.4444444,1.3333334,0.6923077,0.9230769,0.75,1.0833334,0.72307694,0.48307693,0.16403675,0.18181819,0.14285715,0.04,0.16071428,0.75,0.9230769,0.6923077,0.9574468,1.2765957,0.72307694,1.1190476,8.5,-0.364,2.653,-0.11764706,-0.029411765,0.2647059,0.3529412,0.1836764,0.5204165,0.18021517,1.2747549,26.565052,1.1030866,21.305784,1.6666666,1.4444444,1.1538461,0.8666667,1.2747549,0.25,1.0,1,0.5858
3,SOUTH KOREA - K LEAGUE 1,2024-07-14,07:00,Gimcheon Sangmu,Jeonbuk,1.85,3.6,4.0,1.83,2.03,1.73,2.0,2.090909,1.2398347,0.5929644,0.5586702,0.28656885,0.51294816,0.33647248,0.10946569,0.32533327,1.6363636,0.7713892,0.47140452,0.90909094,1.1642044,1.2806249,0.72727275,1.0523489,1.4469796,0.43373537,0.08448369,1.0350496,2.5289257,0.4991342,1.1570247,0.91473204,0.72727275,1.1354542,1.5612495,0.37356597,0.51756376,1.3854681,0.6598633,0.14311895,0.21689181,0.90909094,1.1642044,1.2806249,1.6363636,0.88139635,0.5386311,-0.72727275,1.6564425,-2.2776084,0.3810148,0.06663682,0.90909094,1.1642044,1.785124,0.8079466,0.5405405,0.2777778,0.25,0.5464481,0.49261084,0.5780347,0.5,1.945946,2.162162,0.5138889,1.1111112,0.4625,0.9,0.5083333,0.5638889,0.3676066,0.32110092,0.36752138,0.05263158,0.32596686,0.4625,1.1111112,0.5138889,1.010929,2.1857924,0.5083333,1.0578035,9.45,1.364,2.375,-0.18518518,0.04232804,0.1957672,0.42328042,0.36300308,1.1434597,0.40544596,2.8008928,41.185925,0.28284273,-5.710593,1.8716216,1.2905406,1.4502618,0.6895307,2.8008928,0.4,1.75,1,0.913
4,SOUTH KOREA - K LEAGUE 2,2024-07-14,07:00,Anyang,Busan,2.4,3.25,2.8,2.1,1.7,1.83,1.83,2.2727273,1.2128786,0.53366655,0.4598604,0.23626749,0.5137809,0.3747949,0.14622979,0.3901595,1.7272727,0.86243933,0.499307,0.72727275,1.1354542,1.5612495,1.0,1.4770979,1.4770979,0.5182045,0.11433684,1.1227386,2.198347,0.6776309,1.0578512,0.78062475,1.5454545,1.3726971,0.88821584,0.512276,0.57362235,1.1197525,0.57237893,0.12971693,0.22662774,1.3636364,1.5534552,1.1392004,1.2727273,1.4826823,1.1649648,0.09090909,1.880742,20.68816,0.44504508,0.08436282,0.8677686,2.441144,1.5041323,1.2545774,0.41666666,0.30769232,0.35714287,0.47619048,0.5882353,0.5464481,0.5464481,1.3541666,1.1666666,0.73846155,0.86153847,0.85714287,1.1607143,0.64615387,0.52307695,0.12358344,0.15044248,0.07692308,0.07438017,0.21495327,0.85714287,0.86153847,0.73846155,1.1428572,1.3333334,0.64615387,1.1475409,8.45,0.727,2.586,-0.10059172,-0.053254437,0.28402367,0.33136094,0.15097457,0.42524502,0.18917811,1.0416334,23.025492,0.56568545,11.309933,1.6071428,1.4880953,1.08,0.9259259,1.0416334,0.45,0.85,1,0.6603
5,SOUTH KOREA - K LEAGUE 1,2024-07-14,07:00,Suwon FC,Daegu,2.05,3.6,3.25,1.9,1.95,1.73,2.0,1.8181819,1.3360853,0.73484695,0.49127528,0.2921177,0.59461105,0.38779792,0.10111405,0.26073903,1.2727273,0.74965554,0.58901507,1.0909091,1.1642044,1.0671874,0.18181819,1.5266232,8.396428,0.39841363,0.050022654,0.83557045,1.8512397,0.5153882,1.4876033,0.8537499,0.72727275,1.1354542,1.5612495,0.34823492,0.43349823,1.2448442,0.64360017,0.10231288,0.15896963,0.72727275,0.86243933,1.1858541,1.6363636,0.7713892,0.47140452,-0.90909094,1.2398347,-1.3638182,0.31793258,0.069798656,0.46280992,1.3552618,2.5289257,0.4991342,0.4878049,0.2777778,0.30769232,0.5263158,0.51282054,0.5780347,0.5,1.7560976,1.5853659,0.5694444,0.9027778,0.63076925,1.1076924,0.5277778,0.5416667,0.25929296,0.27433628,0.2264151,0.05109489,0.3090909,0.63076925,0.9027778,0.5694444,1.0789474,1.7105263,0.5277778,1.0982659,8.9,1.091,2.472,-0.1741573,-0.039325844,0.23033708,0.36516854,0.27401683,0.8129166,0.315359,1.9912307,37.775684,0.07071068,-1.4320962,1.771107,1.4108818,1.2553191,0.7966102,1.9912307,0.35,1.55,1,0.8069
6,SOUTH KOREA - K LEAGUE 2,2024-07-14,07:00,Seoul E-Land,Seongnam,1.9,3.5,3.75,1.98,1.83,1.83,1.83,1.0909091,1.2398347,1.1365151,0.44637945,0.42786506,0.9585232,0.48161298,0.15524301,0.32233977,1.3636364,1.2984415,0.95219046,1.5454545,0.8907235,0.5763505,-0.18181819,2.0368507,-11.202679,0.4692784,0.091696806,0.91645736,1.6115702,1.0986813,1.8264463,0.75368917,1.1818181,1.1922616,1.0088367,0.40020302,0.3755645,0.9384349,0.5414166,0.11251474,0.20781547,0.90909094,0.7925271,0.8717798,1.2727273,0.9620914,0.75592893,-0.36363637,1.4316378,-3.9370039,0.3432054,0.06806092,1.7355372,0.41513324,1.7355372,0.7055337,0.5263158,0.2857143,0.26666668,0.5050505,0.5464481,0.5464481,0.5464481,1.8421053,1.9736842,0.54285717,1.0714285,0.50666666,0.93333334,0.5657143,0.5228571,0.3286364,0.2962963,0.32743362,0.03448276,0.27737227,0.50666666,1.0714285,0.54285717,0.959596,1.8939394,0.5657143,1.0819672,9.15,-0.091,2.432,-0.17486338,0.027322404,0.20765027,0.40983605,0.32909605,1.003743,0.35174102,2.4586582,38.65981,0.21213204,4.289153,1.8456141,1.3263158,1.3915344,0.7186312,2.4586582,0.25,1.6,1,0.804
7,SOUTH KOREA - K LEAGUE 1,2024-07-14,07:00,Gwangju FC,Incheon,1.7,3.8,4.5,1.98,1.88,1.83,1.83,1.6363636,1.4937888,0.91287094,0.48261073,0.2907723,0.6024986,0.40602925,0.12043456,0.29661548,1.6363636,1.06794,0.65263003,1.4545455,0.9875255,0.6789238,0.18181819,1.5850542,8.717798,0.47314388,0.060964927,1.0547538,2.0826447,0.8390957,1.0578512,1.3578476,1.0909091,0.9958592,0.91287094,0.5245977,0.535909,1.0215619,0.521557,0.1330552,0.25511152,1.1818181,1.1134044,0.94211143,1.5454545,1.3726971,0.88821584,-0.36363637,1.1499192,-3.1622777,0.34716904,0.050000288,1.1818181,1.1134044,1.8264463,1.161513,0.5882353,0.2631579,0.22222222,0.5050505,0.5319149,0.5464481,0.5464481,2.235294,2.6470587,0.4473684,1.1842105,0.37777779,0.84444445,0.52105266,0.49473685,0.45755666,0.38181818,0.4516129,0.084337346,0.31487888,0.37777779,1.1842105,0.4473684,0.85858583,2.2727273,0.52105266,1.0819672,10.0,0.545,2.49,-0.21,0.07,0.17,0.45,0.43714985,1.4571662,0.45700642,3.5693138,46.397182,0.14142136,2.8624053,1.9869281,1.254902,1.5833334,0.6315789,3.5693138,0.7,2.1,1,0.9354
8,FINLAND - YKKONEN,2024-07-14,10:00,Klubi 04,Rovaniemi,1.18,6.25,11.0,1.36,3.1,1.83,1.83,1.8181819,1.3360853,0.73484695,0.57687247,0.47631776,0.8256899,0.41250926,0.07008993,0.16991116,2.2727273,1.7627927,0.7756288,0.90909094,1.2398347,1.3638182,1.3636364,2.1007674,1.5405626,0.5720954,0.22900546,1.4224113,5.194805,0.7712218,1.1688311,0.9643159,1.2727273,1.354515,1.0642618,0.7316136,1.0526674,1.4388298,0.61242497,0.10169083,0.16604619,1.3636364,1.9666643,1.4422206,1.5454545,1.3726971,0.88821584,-0.18181819,2.3671303,-13.019217,0.28387687,0.09097756,2.7272727,0.98333216,1.8264463,1.161513,0.84745765,0.16,0.09090909,0.7352941,0.32258064,0.5464481,0.5464481,5.2966104,9.322034,0.1888,1.76,0.10727273,0.5681818,0.2176,0.496,0.9328095,0.68236876,0.8062397,0.2753623,0.64257556,0.10727273,1.76,0.1888,0.86764705,8.088235,0.2176,0.7431694,18.43,0.545,2.691,-0.27509496,0.25773194,0.06402604,0.59685296,0.7993818,4.910869,0.94367135,12.029123,68.47189,2.4607315,-41.02327,2.633282,1.1201849,2.3507566,0.42539498,12.029123,4.75,5.07,1,0.9993
9,BRAZIL - COPA DO BRASIL,2024-07-14,11:00,Gremio,Operario,1.44,4.33,7.0,1.98,1.88,2.1,1.67,1.4545455,1.4373989,0.98821175,0.26969078,0.2827289,1.0483446,0.60350156,0.16137567,0.26739892,0.90909094,0.7925271,0.8717798,1.0,0.8528029,0.8528029,-0.09090909,1.3111095,-14.422205,0.45149723,0.12920699,0.6802941,1.2396694,0.58118653,0.54545456,1.5634719,1.3636364,1.2984415,0.95219046,0.24375497,0.28059992,1.1511556,0.65847874,0.04855937,0.07374479,0.6363636,0.7713892,1.212183,0.8181818,1.0285189,1.2570788,-0.18181819,1.5850542,-8.717798,0.31122327,0.12824237,0.6942149,0.70710677,1.2644628,0.66551226,0.6944444,0.23094688,0.14285715,0.5050505,0.5319149,0.47619048,0.5988024,3.0069444,4.861111,0.33256352,1.6166282,0.20571429,0.6185714,0.45727482,0.43418014,0.6794639,0.50086653,0.65876776,0.23565754,0.37242472,0.20571429,1.6166282,0.33256352,0.72727275,3.5353534,0.45727482,0.94285715,12.77,0.091,2.736,-0.22631167,0.2090838,0.11276429,0.5481598,0.65326357,2.7807252,0.6887686,6.811358,55.31516,0.14142136,2.8624053,2.2261906,1.1230159,1.9823321,0.50445634,6.811358,2.67,2.89,1,0.9894
10,ROMANIA - LIGA 1,2024-07-14,13:00,CFR Cluj,Din. Bucuresti,1.48,4.1,6.0,1.93,1.93,2.0,1.73,2.0,1.3483998,0.6741999,0.39438793,0.2713881,0.6881248,0.43732834,0.17501867,0.40019968,2.2727273,1.7104443,0.7525955,0.90909094,0.66804266,0.73484695,1.3636364,1.9666643,1.4422206,0.60890895,0.085762724,1.4408181,2.6859505,1.447299,0.90909094,0.66804266,0.6363636,0.88139635,1.3850514,0.3576196,0.4945287,1.3828344,0.65364236,0.1148523,0.17571123,0.72727275,0.9620914,1.3228756,1.5454545,1.304791,0.8442765,-0.8181818,1.5266232,-1.8658729,0.3071043,0.105170354,0.3966942,1.7638342,1.8264463,1.1040539,0.6756757,0.24390244,0.16666667,0.5181347,0.5181347,0.5,0.5780347,2.7702703,4.0540543,0.36097562,1.4634147,0.24666667,0.68333334,0.4707317,0.4707317,0.61857635,0.46953404,0.6042781,0.18811882,0.35986733,0.24666667,1.4634147,0.36097562,0.7668394,3.1088083,0.4707317,0.965,11.58,1.364,2.23,-0.22625215,0.164076,0.12780656,0.5181347,0.58796304,2.2695374,0.6185878,5.5592084,52.64338,0.0,0.0,2.1936936,1.1756756,1.8659004,0.53593427,5.5592084,1.9,2.62,1,0.9929
