,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,01/09/2024,07:00,SOUTH KOREA - K LEAGUE 1,Daejeon,Gwangju FC,3.1,3.4,2.2,2.1,1.83,1.83,1.06,1.44,1.33,8.0,1.08
2,01/09/2024,07:00,SOUTH KOREA - K LEAGUE 2,Asan,Gyeongnam,2.05,3.1,3.2,1.88,1.62,2.2,1.05,1.36,1.25,6.0,1.13
3,01/09/2024,07:00,SOUTH KOREA - K LEAGUE 2,Gimpo FC,Jeonnam,2.6,3.1,2.45,1.8,1.62,2.2,1.04,1.36,1.22,5.5,1.14
4,01/09/2024,08:30,BELGIUM - JUPILER PRO LEAGUE,Club Brugge KV,Cercle Brugge KSV,1.53,4.2,5.75,1.57,1.62,2.2,1.03,1.25,1.17,4.0,1.22
5,01/09/2024,09:00,RUSSIA - PREMIER LEAGUE,Orenburg,Dynamo Moscow,3.32,3.94,2.17,1.64,1.51,2.48,1.01,1.29,1.14,4.05,1.2
6,01/09/2024,09:15,SWITZERLAND - SUPER LEAGUE,Winterthur,Servette,3.9,3.9,1.8,1.57,1.57,2.25,1.03,1.29,1.17,4.0,1.22
7,01/09/2024,09:30,NORWAY - OBOS-LIGAEN,Sandnes,Valerenga,7.5,4.75,1.3,1.3,1.53,2.38,1.01,1.18,1.08,2.63,1.44
10,01/09/2024,10:00,FINLAND - VEIKKAUSLIIGA,VPS,HJK,3.0,3.5,2.0,1.73,1.67,2.1,1.04,1.33,1.22,5.5,1.14
8,01/09/2024,10:00,SWEDEN - SUPERETTAN,Helsingborg,Trelleborg,1.73,3.5,4.1,1.75,1.7,2.05,1.04,1.33,1.22,5.5,1.14
12,01/09/2024,10:00,SWEDEN - SUPERETTAN,Skovde AIK,Gefle,2.75,3.4,2.4,1.73,1.62,2.2,1.04,1.33,1.22,5.5,1.14
9,01/09/2024,10:00,PORTUGAL - LIGA PORTUGAL 2,Feirense,Benfica B,2.45,3.4,2.5,1.85,1.67,2.1,1.04,1.36,1.25,6.0,1.13
11,01/09/2024,10:00,FINLAND - VEIKKAUSLIIGA,Gnistan,Ilves,3.3,3.5,1.91,1.6,1.5,2.5,1.03,1.29,1.17,4.33,1.2
13,01/09/2024,11:00,BRAZIL - SERIE A,Gremio,Atletico-MG,2.2,3.1,3.6,2.2,1.95,1.8,1.08,1.5,1.4,9.0,1.07
14,01/09/2024,11:00,SCOTLAND - PREMIERSHIP,Kilmarnock,Hibernian,2.8,3.2,2.55,1.98,1.7,2.05,1.06,1.4,1.3,6.5,1.11
15,01/09/2024,11:30,SWITZERLAND - SUPER LEAGUE,Zurich,Luzern,1.95,3.75,3.5,1.57,1.53,2.38,1.03,1.29,1.17,4.33,1.2
16,01/09/2024,11:30,SWITZERLAND - SUPER LEAGUE,Lugano,St. Gallen,2.2,3.8,2.88,1.5,1.44,2.63,1.02,1.25,1.14,3.75,1.25
17,01/09/2024,12:00,AUSTRIA - BUNDESLIGA,LASK,Wolfsberger AC,1.83,3.75,3.9,1.83,1.75,2.0,1.04,1.36,1.25,6.0,1.13
18,01/09/2024,13:00,GEORGIA - CRYSTALBET EROVNULI LIGA,Gagra,Samgurali,4.7,3.4,1.65,1.98,1.94,1.82,1.04,1.37,1.33,7.4,1.06
19,01/09/2024,13:00,ESTONIA - MEISTRILIIGA,Tallinna Kalev,Parnu JK Vaprus,2.7,3.3,2.3,1.85,1.71,2.08,1.02,1.37,1.28,6.1,1.08
20,01/09/2024,13:15,ICELAND - BESTA DEILD KARLA,KA Akureyri,Breidablik,3.15,3.8,2.0,1.44,1.42,2.67,1.03,1.26,1.14,3.25,1.3
23,01/09/2024,14:00,IRELAND - PREMIER DIVISION,St. Patricks,Drogheda,1.9,3.7,3.8,1.88,1.7,2.05,1.05,1.36,1.25,6.0,1.13
24,01/09/2024,14:00,ICELAND - BESTA DEILD KARLA,KR Reykjavik,Akranes,2.02,4.05,2.95,1.39,1.4,2.75,1.02,1.23,1.12,3.05,1.33
22,01/09/2024,14:00,RUSSIA - PREMIER LEAGUE,FK Rostov,Fakel Voronezh,1.54,4.36,7.38,2.11,2.18,1.65,1.03,1.43,1.32,6.6,1.06
21,01/09/2024,14:00,PORTUGAL - LIGA PORTUGAL 2,Chaves,Mafra,1.75,3.5,4.33,2.0,1.83,1.83,1.05,1.4,1.3,7.0,1.1
25,01/09/2024,14:15,BELGIUM - JUPILER PRO LEAGUE,Kortrijk,St. Truiden,2.05,3.4,3.4,1.95,1.75,2.0,1.05,1.4,1.29,6.5,1.11
26,01/09/2024,15:00,SPAIN - PRIMERA RFEF,Zamora,Tarazona,2.45,2.88,2.75,2.5,2.2,1.62,1.1,1.57,1.5,8.5,1.05
27,01/09/2024,15:00,MEXICO - LIGA DE EXPANSION MX,Tapatio,Tepatitlan de Morelos,1.42,4.35,6.6,1.62,1.82,1.8,11.5,1.31,1.2,4.6,1.14
28,01/09/2024,15:45,USA - MLS,St. Louis City,Los Angeles Galaxy,2.3,3.7,2.88,1.36,1.33,3.25,1.02,1.2,1.1,3.0,1.36
29,01/09/2024,16:15,ICELAND - BESTA DEILD KARLA,Vikingur Reykjavik,Valur,1.88,4.0,3.35,1.34,1.35,2.95,1.02,1.21,1.1,2.77,1.39
30,01/09/2024,17:00,COLOMBIA - PRIMERA A,Envigado,Aguilas,3.35,3.15,2.15,2.42,2.15,1.62,1.11,1.57,1.5,7.7,1.05
31,01/09/2024,18:30,CHILE - PRIMERA DIVISION,Copiapo,Cobresal,2.2,3.6,3.0,1.62,1.53,2.38,1.03,1.3,1.18,4.33,1.2
32,01/09/2024,19:00,USA - USL CHAMPIONSHIP,FC Tulsa,Colorado Springs,2.52,3.35,2.47,1.8,1.65,2.12,1.05,1.37,1.26,4.9,1.14
