,Date,Time,League,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No
1,16/09/2024,11:00,SERBIA - PRVA LIGA,Mladost GAT,Sloboda,1.62,3.4,5.1,2.07,2.09,1.71
2,16/09/2024,11:00,BELARUS - VYSSHAYA LIGA,FC Minsk,FC Gomel,2.97,3.3,2.43,1.99,1.76,2.01
3,16/09/2024,13:45,BULGARIA - PARVA LIGA,Lok. Sofia,CSKA Sofia,8.5,5.0,1.33,1.9,2.25,1.57
4,16/09/2024,14:00,PORTUGAL - LIGA PORTUGAL 2,Feirense,Pacos Ferreira,2.38,3.1,2.7,2.05,1.8,1.91
5,16/09/2024,14:00,POLAND - DIVISION 1,Pruszkow,Chrobry Glogow,1.8,3.4,4.1,1.98,1.8,1.91
6,16/09/2024,15:00,ARGENTINA - LIGA PROFESIONAL,Barracas Central,Banfield,3.1,3.0,2.5,2.6,2.2,1.62
7,16/09/2024,15:00,SERBIA - SUPER LIGA,Jedinstvo U.,Radnicki Nis,3.25,3.15,2.2,2.15,1.87,1.83
8,16/09/2024,15:30,MALTA - PREMIER LEAGUE,Balzan,Zabbar,1.9,3.3,3.85,2.0,1.85,1.75
9,16/09/2024,15:30,ITALY - SERIE C,Latina,Foggia,3.35,2.9,2.3,2.35,1.95,1.75
10,16/09/2024,15:45,IRELAND - PREMIER DIVISION,Galway,Shamrock Rovers,2.9,3.3,2.2,2.4,2.05,1.7
11,16/09/2024,15:45,ITALY - SERIE C,Novara,Lecco,2.75,2.82,2.75,2.5,2.05,1.7
12,16/09/2024,15:45,ITALY - SERIE C,Pescara,Pianese,1.65,3.55,5.1,2.0,1.93,1.78
13,16/09/2024,19:00,JAMAICA - PREMIER LEAGUE,Harbour View,Chapelton,1.91,3.75,3.35,1.62,1.6,2.07
14,16/09/2024,19:00,URUGUAY - PRIMERA DIVISION,Boston River,Fenix,2.15,3.3,3.0,2.15,1.91,1.8
15,16/09/2024,20:00,BRAZIL - SERIE A,Internacional,Cuiaba,1.57,3.75,6.5,2.3,2.38,1.53
16,16/09/2024,21:00,ARGENTINA - LIGA PROFESIONAL,Ind. Rivadavia,Defensa y Justicia,2.25,3.0,3.6,2.5,2.05,1.7
