,Date,Time,League,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No
1,20/09/2024,11:00,BULGARIA - PARVA LIGA,Hebar,Septemvri Sofia,2.15,3.1,3.5,2.35,2.0,1.73
2,20/09/2024,13:00,CROATIA - HNL,Varazdin,Istra 1961,2.1,3.1,3.4,2.25,1.91,1.8
3,20/09/2024,15:00,IVORY COAST - LIGUE 1,SOL,Stella Adjame,2.52,2.75,2.87,2.32,2.0,1.77
4,20/09/2024,15:30,SPAIN - PRIMERA RFEF,Sanluqueno,Real Madrid B,2.88,3.1,2.25,2.35,2.0,1.73
5,20/09/2024,15:45,ITALY - SERIE C,Gubbio,Campobasso,1.98,3.15,3.9,2.32,2.05,1.7
6,20/09/2024,15:45,ITALY - SERIE C,Giana Erminio,AlbinoLeffe,2.15,2.95,3.6,2.42,2.05,1.7
7,20/09/2024,15:45,NORTHERN IRELAND - NIFL PREMIERSHIP,Larne,Glentoran,1.95,3.45,3.65,1.9,1.75,1.98
8,20/09/2024,16:15,SAN MARINO - CAMPIONATO SAMMARINESE,Libertas,Tre Fiori,5.6,3.8,1.5,1.6,1.68,2.13
9,20/09/2024,21:00,ARGENTINA - PRIMERA NACIONAL,Atl. Rafaela,Deportivo Madryn,3.0,2.88,2.63,3.5,2.63,1.44
10,20/09/2024,22:30,PANAMA - LPF,Alianza,San Francisco,2.32,2.8,3.35,2.42,2.0,1.65
