,Date,Time,League,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No
1,21/09/2024,05:00,ROMANIA - LIGA 2,Mioveni,FC Arges,4.0,2.47,2.35,3.3,2.42,1.5
2,21/09/2024,08:30,ESTONIA - MEISTRILIIGA,Nomme Utd,Narva,4.0,3.65,1.7,1.65,1.64,2.2
3,21/09/2024,08:30,ENGLAND - LEAGUE TWO,Accrington,Port Vale,3.4,3.5,2.0,1.88,1.73,2.0
4,21/09/2024,08:30,ENGLAND - CHAMPIONSHIP,Sunderland,Middlesbrough,2.4,3.4,2.8,1.9,1.67,2.1
5,21/09/2024,11:00,NORTHERN IRELAND - NIFL PREMIERSHIP,Ballymena,Cliftonville,3.7,3.7,1.85,1.78,1.72,2.02
6,21/09/2024,11:00,NORTHERN IRELAND - NIFL PREMIERSHIP,Glenavon,Dungannon,2.67,3.55,2.37,1.7,1.57,2.25
7,21/09/2024,11:00,SCOTLAND - LEAGUE TWO,Stirling,Bonnyrigg Rose,2.45,3.3,2.55,2.0,1.8,1.91
8,21/09/2024,11:00,SCOTLAND - CHAMPIONSHIP,Queen's Park,Ayr,3.1,3.5,2.05,1.7,1.62,2.2
9,21/09/2024,11:00,ENGLAND - LEAGUE ONE,Rotherham,Birmingham,3.6,3.7,1.91,1.85,1.75,2.0
10,21/09/2024,11:00,ENGLAND - LEAGUE ONE,Burton,Barnsley,3.9,3.5,1.9,1.67,1.62,2.2
11,21/09/2024,11:00,BELGIUM - JUPILER PRO LEAGUE,Beerschot VA,St. Truiden,2.4,3.3,2.7,1.93,1.7,2.05
12,21/09/2024,12:00,AUSTRIA - BUNDESLIGA,A. Klagenfurt,Hartberg,2.55,3.6,2.5,1.67,1.57,2.25
13,21/09/2024,12:30,SWEDEN - ALLSVENSKAN,Brommapojkarna,Mjallby,2.45,3.6,2.7,1.65,1.53,2.38
16,21/09/2024,13:00,SWITZERLAND - SUPER LEAGUE,Grasshoppers,Servette,3.5,3.7,2.0,1.7,1.62,2.2
15,21/09/2024,13:00,RUSSIA - PREMIER LEAGUE,Rubin Kazan,CSKA Moscow,3.69,3.53,2.17,2.25,1.91,1.85
14,21/09/2024,13:00,SLOVAKIA - NIKE LIGA,Kosice,Zilina,4.0,3.75,1.82,1.72,1.65,2.12
17,21/09/2024,13:30,URUGUAY - PRIMERA DIVISION,Rampla Juniors,Cerro Largo,2.75,2.88,2.63,2.2,1.83,1.83
18,21/09/2024,13:30,SPAIN - LALIGA2,Eldense,R. Oviedo,3.0,2.88,2.63,2.6,2.1,1.67
19,21/09/2024,13:30,ITALY - SERIE C,Pergolettese,FeralpiSalo,3.15,3.1,2.27,2.22,1.91,1.8
20,21/09/2024,14:00,PORTUGAL - LIGA PORTUGAL,Vitoria Guimaraes,FC Porto,4.0,3.2,2.0,2.15,1.95,1.8
21,21/09/2024,14:00,ARGENTINA - PRIMERA NACIONAL,Almagro,Colon Santa Fe,3.8,3.0,2.1,3.1,2.5,1.5
22,21/09/2024,15:00,SERBIA - SUPER LIGA,Napredak,Mladost,2.65,2.95,2.75,2.2,1.85,1.87
23,21/09/2024,15:00,NETHERLANDS - EREDIVISIE,G.A. Eagles,Ajax,4.2,3.9,1.8,1.65,1.67,2.1
24,21/09/2024,15:30,PORTUGAL - TAÇA DE PORTUGAL,Academica,Torreense,4.0,3.5,1.73,1.85,1.8,1.91
25,21/09/2024,16:00,CANADA - CANADIAN PREMIER LEAGUE,Valour,HFX Wanderers,3.0,3.35,2.3,1.95,1.72,2.0
26,21/09/2024,16:30,SPAIN - PRIMERA RFEF,Tarazona,R. Union,2.7,2.88,2.6,2.63,2.2,1.62
27,21/09/2024,18:00,PANAMA - LPF,UMECIT,Plaza Amador,2.87,2.9,2.52,2.37,2.0,1.65
28,21/09/2024,19:00,DOMINICAN REPUBLIC - LDF,Universidad O&M,Cibao,2.55,3.2,2.45,2.05,1.83,1.93
29,21/09/2024,22:00,MEXICO - LIGA DE EXPANSION MX,Tlaxcala,Tapatio,2.65,3.15,2.52,1.9,1.65,1.98
30,21/09/2024,23:30,USA - MLS,San Jose Earthquakes,St. Louis City,2.45,3.75,2.63,1.48,1.4,2.75
