,Date,Time,League,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No
1,29/09/2024,07:00,POLAND - DIVISION 1,Arka Gdynia,Chrobry Glogow,1.38,5.0,6.5,1.67,2.0,1.73
2,29/09/2024,08:30,BELGIUM - JUPILER PRO LEAGUE,Antwerp,Beerschot VA,1.25,6.0,9.5,1.5,2.0,1.75
3,29/09/2024,08:30,BELGIUM - CHALLENGER PRO LEAGUE,Seraing,RFC Liege,3.9,3.9,1.8,1.67,1.62,2.2
4,29/09/2024,09:30,AUSTRIA - BUNDESLIGA,Wolfsberger AC,Tirol,1.67,3.9,5.0,1.67,1.67,2.1
5,29/09/2024,10:30,RUSSIA - PREMIER LEAGUE,Krylya Sovetov,Khimki,1.9,3.92,4.3,1.91,1.76,2.01
6,29/09/2024,11:00,ICELAND - BESTA DEILD KARLA,Hafnarfjordur,Breidablik,3.6,4.0,1.82,1.38,1.39,2.75
7,29/09/2024,13:30,NIGERIA - NPFL,Remo Stars,Enugu Rangers,1.78,3.15,4.75,2.35,2.15,1.55
8,29/09/2024,15:00,NETHERLANDS - EREDIVISIE,AZ Alkmaar,Utrecht,1.57,4.2,5.5,1.67,1.75,2.0
9,29/09/2024,15:00,CROATIA - HNL,Rijeka,Hajduk Split,2.2,3.25,3.1,2.05,1.8,1.91
10,29/09/2024,19:00,MEXICO - LIGA DE EXPANSION MX,Alebrijes Oaxaca,Leones Negros,4.15,3.6,1.75,1.87,1.78,1.83
11,28/09/2024,23:30,USA - MLS,Vancouver Whitecaps,Portland Timbers,2.0,4.1,3.25,1.44,1.44,2.63
