,Date,Time,League,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No
1,29/09/2024,07:00,SINGAPORE - PREMIER LEAGUE,Tampines,Lion City,2.35,4.1,2.25,1.25,1.29,3.5
2,29/09/2024,08:00,VIETNAM - V.LEAGUE 1,Song Lam Nghe An,Hong Linh Ha Tinh,2.55,3.0,2.75,2.15,1.87,1.75
3,29/09/2024,08:00,SCOTLAND - PREMIERSHIP,Rangers,Hibernian,1.33,5.0,8.5,1.5,1.75,2.0
4,29/09/2024,08:30,BELGIUM - CHALLENGER PRO LEAGUE,Seraing,RFC Liege,3.9,3.9,1.8,1.67,1.62,2.2
5,29/09/2024,09:00,SPAIN - LALIGA2,Levante,Almeria,2.45,3.4,2.75,1.7,1.57,2.25
6,29/09/2024,09:15,SWITZERLAND - CHALLENGE LEAGUE,Vaduz,Bellinzona,2.27,3.55,2.77,1.65,1.55,2.32
7,29/09/2024,11:00,ESTONIA - MEISTRILIIGA,Narva,Paide,4.15,3.8,1.65,1.47,1.53,2.43
8,29/09/2024,11:00,BELGIUM - CHALLENGER PRO LEAGUE,Anderlecht U23,Waregem,4.33,3.7,1.75,1.6,1.57,2.25
9,29/09/2024,11:00,ICELAND - BESTA DEILD KARLA,Hafnarfjordur,Breidablik,3.6,4.0,1.82,1.38,1.39,2.75
10,29/09/2024,11:00,ICELAND - BESTA DEILD KARLA,KR Reykjavik,Fram,1.93,3.9,3.25,1.39,1.38,2.8
11,29/09/2024,11:30,SWEDEN - ALLSVENSKAN,Hacken,Sirius,1.83,3.8,3.8,1.44,1.44,2.63
12,29/09/2024,11:45,NETHERLANDS - EREDIVISIE,Waalwijk,Ajax,7.0,5.75,1.38,1.44,1.7,2.05
13,29/09/2024,11:45,NETHERLANDS - EERSTE DIVISIE,Cambuur,FC Emmen,2.15,3.6,3.1,1.73,1.62,2.2
14,29/09/2024,12:00,SERBIA - SUPER LIGA,Mladost,Partizan,3.45,3.3,2.07,1.87,1.7,2.05
15,29/09/2024,12:25,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Feiha,Al Riyadh,2.1,3.2,3.3,2.15,2.0,1.73
16,29/09/2024,12:30,ENGLAND - PREMIER LEAGUE,Manchester Utd,Tottenham,2.3,3.8,2.8,1.44,1.36,3.0
17,29/09/2024,13:00,SLOVAKIA - NIKE LIGA,Ruzomberok,Skalica,1.9,3.25,4.25,2.1,1.85,1.85
18,29/09/2024,13:30,ITALY - SERIE C,Pontedera,Campobasso,2.18,3.05,3.4,2.15,1.85,1.85
19,29/09/2024,16:15,ICELAND - BESTA DEILD KARLA,Valur,Vikingur Reykjavik,2.82,3.65,2.22,1.4,1.36,2.9
20,29/09/2024,18:00,PANAMA - LPF,Tauro,UMECIT,1.9,3.05,4.2,2.32,2.07,1.6
21,29/09/2024,20:00,CHILE - PRIMERA DIVISION,U. Catolica,U. Espanola,2.0,3.5,3.7,1.75,1.62,2.2
22,28/09/2024,23:30,USA - MLS,Vancouver Whitecaps,Portland Timbers,2.0,4.1,3.25,1.44,1.44,2.63
