,Date,Time,League,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No
1,05/10/2024,05:00,ROMANIA - LIGA 2,Concordia,CSC Dumbravita,1.72,3.45,4.85,2.2,2.05,1.7
2,05/10/2024,05:15,MONGOLIA - PREMIER LEAGUE,Khaan Khuns-Erchim,Brera Ilch,1.27,5.6,6.9,1.25,1.42,2.77
3,05/10/2024,08:00,FINLAND - YKKONEN,Vaajakoski,EPS,3.6,4.2,1.7,1.29,1.3,3.38
4,05/10/2024,09:00,NORTH MACEDONIA - 1. MFL,Sileks,Shkendija,3.4,3.0,2.07,2.07,1.91,1.85
5,05/10/2024,09:45,POLAND - EKSTRAKLASA,Radomiak Radom,Rakow,3.9,3.4,1.95,2.03,1.8,1.95
6,05/10/2024,10:00,SERBIA - PRVA LIGA,Dubocica,Mladost GAT,4.2,3.0,1.85,2.07,2.19,1.64
7,05/10/2024,10:30,SPAIN - PRIMERA RFEF,CF Intercity,Yeclano,2.25,2.8,3.2,2.63,2.2,1.62
8,05/10/2024,10:45,ROMANIA - LIGA 1,Unirea Slobozia,U. Cluj,3.6,3.0,2.05,2.5,2.1,1.67
15,05/10/2024,11:00,ENGLAND - CHAMPIONSHIP,Swansea,Stoke,2.2,3.5,3.1,1.95,1.73,2.0
14,05/10/2024,11:00,ENGLAND - LEAGUE TWO,Crewe,Gillingham,2.63,3.2,2.63,2.2,1.83,1.83
13,05/10/2024,11:00,SCOTLAND - LEAGUE TWO,Stirling,Forfar Athletic,2.45,3.25,2.63,2.15,1.91,1.8
16,05/10/2024,11:00,ENGLAND - CHAMPIONSHIP,Plymouth,Blackburn,2.9,3.7,2.2,1.67,1.57,2.25
11,05/10/2024,11:00,SCOTLAND - LEAGUE TWO,Clyde,Spartans,2.15,3.2,3.1,2.08,1.83,1.83
10,05/10/2024,11:00,SCOTLAND - LEAGUE ONE,Arbroath,Inverness,2.45,3.3,2.7,1.93,1.73,2.0
9,05/10/2024,11:00,FINLAND - YKKONEN,JJK Jyvaskyla,VIFK,1.53,4.5,4.1,1.25,1.35,3.08
12,05/10/2024,11:00,SCOTLAND - LEAGUE TWO,Edinburgh City,Stranraer,2.9,3.5,2.1,1.75,1.67,2.1
17,05/10/2024,11:30,PORTUGAL - LIGA PORTUGAL 2,Oliveirense,Pacos Ferreira,2.55,3.2,2.5,1.83,1.62,2.2
18,05/10/2024,12:00,NIGERIA - NPFL,Lobi Stars,Shooting,1.7,3.1,5.7,2.1,1.98,1.65
19,05/10/2024,13:30,URUGUAY - PRIMERA DIVISION,Racing Montevideo,Cerro Largo,2.1,3.0,3.5,2.5,2.1,1.67
20,05/10/2024,13:30,ENGLAND - PREMIER LEAGUE,Everton,Newcastle,3.1,3.5,2.2,1.67,1.57,2.25
22,05/10/2024,15:30,ARGENTINA - PRIMERA NACIONAL,Almagro,Aldosivi,3.4,3.0,2.3,3.1,2.5,1.5
21,05/10/2024,15:30,ROMANIA - LIGA 1,Otelul,Univ. Craiova,3.6,2.9,2.15,2.15,1.8,1.91
23,05/10/2024,16:00,COLOMBIA - PRIMERA A,Envigado,Bucaramanga,3.1,3.1,2.4,2.4,2.0,1.73
24,05/10/2024,17:00,BRAZIL - SERIE B,Ituano,Guarani,2.45,3.0,3.1,2.6,2.1,1.67
25,05/10/2024,17:45,ARGENTINA - PRIMERA NACIONAL,Chaco For Ever,Colon Santa Fe,3.3,2.75,2.5,3.1,2.38,1.53
26,05/10/2024,18:00,ECUADOR - LIGA PRO,EL Nacional,Barcelona SC,2.7,3.1,2.7,2.05,1.8,1.91
27,05/10/2024,18:10,COLOMBIA - PRIMERA A,Chico,America De Cali,3.7,3.2,2.1,2.3,1.91,1.8
28,05/10/2024,18:30,PARAGUAY - PRIMERA DIVISION,Sp. Luqueno,Cerro Porteno,4.75,3.4,1.75,2.25,2.0,1.73
29,05/10/2024,20:00,PANAMA - LPF,Veraguas,San Francisco,3.4,3.0,2.07,1.98,1.82,1.94
31,05/10/2024,21:30,VENEZUELA - LIGA FUTVE,Puerto Cabello,Inter de Barinas,1.44,4.1,6.7,1.83,1.98,1.65
30,05/10/2024,21:30,USA - MLS,St. Louis City,Houston Dynamo,2.55,3.5,2.7,1.62,1.53,2.38
32,05/10/2024,23:30,USA - MLS,San Jose Earthquakes,Real Salt Lake,3.1,4.0,2.1,1.44,1.44,2.63
