,Date,Time,League,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No
1,06/10/2024,03:00,SOUTH KOREA - K LEAGUE 1,Daegu,Jeonbuk,2.6,3.4,2.6,1.73,1.62,2.2
2,06/10/2024,03:00,SOUTH KOREA - K LEAGUE 1,Pohang,Suwon FC,2.05,3.4,3.6,1.83,1.67,2.1
3,06/10/2024,07:00,HONG KONG - PREMIER LEAGUE,Lee Man Warriors,Eastern AA,2.02,3.45,3.3,1.6,1.52,2.22
4,06/10/2024,08:00,SCOTLAND - PREMIERSHIP,Ross County,Celtic,13.0,8.0,1.17,1.3,1.95,1.8
5,06/10/2024,08:30,BELGIUM - CHALLENGER PRO LEAGUE,Genk U23,Anderlecht U23,2.0,3.75,3.3,1.53,1.5,2.5
6,06/10/2024,09:30,NETHERLANDS - EREDIVISIE,Feyenoord,Twente,1.65,4.2,4.75,1.65,1.67,2.1
7,06/10/2024,10:00,ENGLAND - PREMIER LEAGUE,Aston Villa,Manchester Utd,2.2,3.75,3.0,1.53,1.44,2.63
8,06/10/2024,10:00,SWEDEN - SUPERETTAN,Oddevold,Oster,3.7,3.4,1.95,1.8,1.67,2.1
9,06/10/2024,10:00,SWEDEN - SUPERETTAN,Sundsvall,Degerfors,4.1,3.5,1.85,1.93,1.8,1.95
10,06/10/2024,10:30,FINLAND - VEIKKAUSLIIGA,Mariehamn,Inter Turku,3.0,3.25,2.2,1.88,1.7,2.05
11,06/10/2024,11:00,BELARUS - VYSSHAYA LIGA,Dnepr Mogilev,Naftan,2.56,3.35,2.73,2.05,1.8,1.96
12,06/10/2024,11:00,ICELAND - BESTA DEILD KARLA,Akranes,Hafnarfjordur,2.65,3.6,2.35,1.45,1.39,2.77
15,06/10/2024,11:30,SWEDEN - ALLSVENSKAN,Sirius,Elfsborg,2.75,3.6,2.38,1.65,1.53,2.38
14,06/10/2024,11:30,PORTUGAL - LIGA PORTUGAL,SC Farense,Estoril,2.3,3.3,3.1,2.2,1.95,1.8
13,06/10/2024,11:30,SWEDEN - ALLSVENSKAN,Norrkoping,Goteborg,2.8,3.5,2.4,1.8,1.67,2.1
16,06/10/2024,12:30,SLOVENIA - PRVA LIGA,Maribor,Celje,2.02,3.45,3.35,1.8,1.65,2.1
17,06/10/2024,14:00,ICELAND - BESTA DEILD KARLA,Vikingur Reykjavik,Stjarnan,1.45,4.6,5.8,1.4,1.53,2.35
18,06/10/2024,14:00,ICELAND - BESTA DEILD KARLA,Kopavogur,Fylkir,2.5,3.7,2.45,1.4,1.37,2.87
19,06/10/2024,14:00,MOROCCO - BOTOLA PRO,IR Tanger,FAR Rabat,5.75,3.4,1.6,2.25,2.25,1.57
20,06/10/2024,14:00,ECUADOR - LIGA PRO,U. Catolica,Imbabura,1.42,4.33,8.0,1.57,1.8,1.91
21,06/10/2024,15:00,CHILE - PRIMERA DIVISION,O'Higgins,U. Catolica,2.5,3.25,2.88,2.03,1.8,1.91
22,06/10/2024,15:00,NETHERLANDS - EREDIVISIE,Sittard,AZ Alkmaar,6.25,3.9,1.57,1.75,1.8,1.95
23,06/10/2024,16:15,ICELAND - BESTA DEILD KARLA,Breidablik,Valur,1.91,3.85,3.35,1.33,1.32,3.1
24,06/10/2024,16:30,PORTUGAL - LIGA PORTUGAL,FC Porto,Braga,1.57,3.8,6.0,1.65,1.7,2.05
25,06/10/2024,18:00,CANADA - CANADIAN PREMIER LEAGUE,York Utd,Atl. Ottawa,3.65,3.45,1.98,1.93,1.75,1.98
26,05/10/2024,22:30,USA - MLS,Colorado Rapids,Seattle Sounders,2.63,3.5,2.6,1.73,1.62,2.2
27,05/10/2024,23:30,USA - MLS,San Jose Earthquakes,Real Salt Lake,2.8,3.9,2.3,1.44,1.44,2.63
28,05/10/2024,23:30,USA - USL CHAMPIONSHIP,Las Vegas Lights,Orange County SC,1.62,3.8,4.6,1.7,1.72,2.0
