,Date,Time,League,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No
1,12/10/2024,08:30,NETHERLANDS - TWEEDE DIVISIE,Quick Boys,Katwijk,2.12,3.85,2.77,1.47,1.45,2.37
2,12/10/2024,09:00,SCOTLAND - LEAGUE TWO,Edinburgh City,Spartans,4.33,3.9,1.62,1.88,1.83,1.83
3,12/10/2024,09:30,NETHERLANDS - TWEEDE DIVISIE,GVVV,Hardenberg,2.15,3.75,2.82,1.5,1.47,2.35
4,12/10/2024,10:00,ITALY - SERIE C,Giugliano,Juventus U23,2.12,3.55,3.05,1.85,1.72,2.0
5,12/10/2024,10:00,NETHERLANDS - TWEEDE DIVISIE,Jong Sparta Rotterdam,HFC,2.27,3.4,2.82,1.7,1.57,2.1
6,12/10/2024,10:00,NETHERLANDS - TWEEDE DIVISIE,Rijnsburgse Boys,AFC,2.1,3.95,2.77,1.39,1.38,2.6
7,12/10/2024,10:45,NETHERLANDS - TWEEDE DIVISIE,Jong Almere City,Excelsior Maassluis,1.47,4.7,5.0,1.3,1.42,2.45
12,12/10/2024,11:00,SCOTLAND - CHAMPIONSHIP,Partick Thistle,Falkirk,3.3,3.25,2.05,1.83,1.67,2.1
16,12/10/2024,11:00,ENGLAND - LEAGUE TWO,Tranmere,Bradford City,2.75,3.3,2.5,2.03,1.8,1.91
15,12/10/2024,11:00,ENGLAND - LEAGUE TWO,AFC Wimbledon,Carlisle,1.67,3.75,4.75,1.9,1.8,1.91
10,12/10/2024,11:00,NORTHERN IRELAND - NIFL CHAMPIONSHIP,Ards,Annagh,2.05,3.6,3.1,1.52,1.45,2.37
14,12/10/2024,11:00,ENGLAND - LEAGUE TWO,Gillingham,Accrington,1.73,3.7,4.5,1.93,1.83,1.83
9,12/10/2024,11:00,NORTHERN IRELAND - NIFL CHAMPIONSHIP,Ballinamallard,Bangor FC,3.75,3.85,1.78,1.45,1.45,2.37
8,12/10/2024,11:00,NORTHERN IRELAND - NIFL CHAMPIONSHIP,Institute,Newry City,1.78,3.9,3.7,1.44,1.44,2.42
11,12/10/2024,11:00,NORTHERN IRELAND - NIFL PREMIERSHIP,Glenavon,Ballymena,2.85,3.35,2.32,1.88,1.7,2.02
13,12/10/2024,11:00,NORTHERN IRELAND - NIFL PREMIERSHIP,Carrick Rangers,Coleraine,3.0,3.4,2.2,1.78,1.62,2.15
17,12/10/2024,12:30,SPAIN - PRIMERA RFEF,Alcorcon,Betis B,1.8,3.4,3.7,2.2,2.1,1.67
18,12/10/2024,13:30,NORTHERN IRELAND - NIFL PREMIERSHIP,Portadown,Loughgall,1.9,3.7,3.55,1.7,1.62,2.15
19,12/10/2024,15:00,NETHERLANDS - EERSTE DIVISIE,Telstar,De Graafschap,2.15,3.6,3.0,1.53,1.5,2.5
20,12/10/2024,17:00,VENEZUELA - LIGA FUTVE,Estudiantes Merida,Portuguesa,1.8,3.35,4.25,1.91,1.8,1.8
21,12/10/2024,20:00,CANADA - CANADIAN PREMIER LEAGUE,Cavalry,HFX Wanderers,1.82,3.6,4.1,1.87,1.75,1.98
22,12/10/2024,20:30,USA - MLS,Columbus Crew,New England Revolution,1.38,5.5,7.0,1.36,1.62,2.2
23,12/10/2024,21:00,USA - USL CHAMPIONSHIP,Colorado Springs,San Antonio,1.65,3.65,4.45,1.8,1.78,1.93
24,12/10/2024,21:30,USA - USL CHAMPIONSHIP,FC Tulsa,New Mexico,2.92,3.55,2.1,1.75,1.65,2.12
25,12/10/2024,22:00,MEXICO - LIGA DE EXPANSION MX,Zacatecas Mineros,Venados,1.75,3.6,4.1,1.65,1.62,2.02
