,Date,Time,League,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No
1,13/10/2024,07:00,SPAIN - PRIMERA RFEF,Ceuta,CF Intercity,1.62,3.6,4.5,2.0,2.0,1.73
2,13/10/2024,12:00,GHANA - PREMIER LEAGUE,Nations FC,Bibiani Gold Stars,1.65,3.2,5.3,2.42,2.35,1.56
3,13/10/2024,12:00,GHANA - PREMIER LEAGUE,Aduana,Dreams,1.87,3.0,4.15,2.32,2.19,1.64
4,13/10/2024,12:00,NIGERIA - NPFL,Niger Tornadoes,Lobi Stars,1.62,3.5,5.3,2.07,2.05,1.6
5,13/10/2024,12:30,SPAIN - PRIMERA RFEF,Villarreal B,Sanluqueno,1.7,3.3,4.33,2.15,2.1,1.67
6,13/10/2024,12:30,SPAIN - PRIMERA RFEF,Celta Vigo B,Amorebieta,1.65,3.2,5.25,2.2,2.1,1.67
7,13/10/2024,13:00,SERBIA - PRVA LIGA,Sloboda,Dubocica,1.7,3.25,4.75,2.18,2.16,1.66
8,13/10/2024,14:45,ITALY - SERIE C,Potenza,Foggia,2.67,3.0,2.7,2.05,1.75,1.98
9,13/10/2024,15:30,ARGENTINA - PRIMERA NACIONAL,Chacarita Juniors,Alvarado,2.3,3.0,3.4,2.7,2.2,1.62
10,13/10/2024,16:00,SPAIN - LALIGA2,Elche,Dep. La Coruna,2.4,2.88,3.3,2.2,1.83,1.83
11,13/10/2024,16:00,BRAZIL - SERIE B,Coritiba,Amazonas,1.83,3.2,4.75,2.6,2.25,1.57
12,13/10/2024,19:10,ARGENTINA - PRIMERA NACIONAL,Gimnasia Mendoza,Temperley,1.8,3.1,5.25,3.1,2.63,1.44
13,13/10/2024,20:00,ARGENTINA - PRIMERA NACIONAL,San Martin T.,Racing Cordoba,1.9,3.1,4.75,3.1,2.63,1.44
