,Date,Time,League,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No
1,18/10/2024,05:35,AUSTRALIA - A-LEAGUE,Central Coast Mariners,Melbourne Victory,2.7,3.1,2.7,2.03,1.75,2.0
2,18/10/2024,08:35,CHINA - SUPER LEAGUE,Shanghai Shenhua,Henan Songshan Longmen,1.2,6.5,15.0,1.44,2.0,1.75
3,18/10/2024,09:00,INDONESIA - LIGA 1,PSM Makassar,Madura United,1.53,3.85,5.6,1.7,1.78,1.83
4,18/10/2024,11:00,SERBIA - SUPER LIGA,Crvena zvezda,Radnicki Nis,1.09,8.0,27.0,1.32,2.4,1.5
5,18/10/2024,13:00,POLAND - DIVISION 1,Leczna,Odra Opole,1.95,3.4,3.9,2.1,1.91,1.8
6,18/10/2024,14:00,SERBIA - SUPER LIGA,TSC,Radnicki 1923,1.88,3.6,3.7,1.65,1.57,2.25
7,18/10/2024,15:30,ITALY - SERIE C,Sestri Levante,Arezzo,4.15,3.15,1.91,2.35,2.1,1.65
8,18/10/2024,15:30,SPAIN - PRIMERA RFEF,Barakaldo,Zamora,1.95,3.0,3.8,2.25,2.0,1.73
9,18/10/2024,15:30,ITALY - SERIE C,Spal,Pescara,2.67,3.1,2.6,2.07,1.8,1.91
10,18/10/2024,15:45,SCOTLAND - CHAMPIONSHIP,Hamilton,Falkirk,5.5,3.7,1.6,1.8,1.8,1.91
11,18/10/2024,15:45,BELGIUM - JUPILER PRO LEAGUE,Beerschot VA,Anderlecht,5.5,4.1,1.5,1.67,1.8,1.95
12,18/10/2024,22:00,MEXICO - LIGA DE EXPANSION MX,Venados,Dorados de Sinaloa,1.55,4.05,5.0,1.62,1.7,1.93
