Nº,Date,Time,League,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No
1,19/10/2024,00:00,MEXICO - LIGA MX,Necaxa,Club Tijuana,1.67,4.1,4.75,1.67,1.67,2.1
22,19/10/2024,02:00,SOUTH KOREA - K LEAGUE 1,Jeonbuk,Daejeon,1.7,3.6,5.0,1.83,1.73,2.0
23,19/10/2024,04:30,SOUTH KOREA - K LEAGUE 2,Jeonnam,Ansan Greeners,1.55,4.2,5.25,1.67,1.73,2.0
24,19/10/2024,08:00,VIETNAM - V.LEAGUE 1,Nam Dinh,Song Lam Nghe An,1.5,3.8,6.3,2.0,2.12,1.57
25,19/10/2024,08:00,FINLAND - VEIKKAUSLIIGA,Lahti,Ekenas,1.33,5.5,7.0,1.5,1.8,1.95
26,19/10/2024,08:30,ENGLAND - PREMIER LEAGUE,Tottenham,West Ham,1.45,5.0,5.75,1.36,1.5,2.5
27,19/10/2024,10:00,NETHERLANDS - TWEEDE DIVISIE,AFC,Scheveningen,1.45,4.45,5.6,1.52,1.7,1.93
28,19/10/2024,10:00,SLOVENIA - PRVA LIGA,Celje,Mura,1.5,4.15,5.7,1.72,1.83,1.87
29,19/10/2024,10:30,NORTHERN IRELAND - NIFL PREMIERSHIP,Cliftonville,Glenavon,1.52,4.25,5.4,1.7,1.8,1.9
30,19/10/2024,10:30,NETHERLANDS - TWEEDE DIVISIE,Katwijk,Noordwijk,1.5,4.2,5.4,1.65,1.78,1.83
32,19/10/2024,11:00,ENGLAND - CHAMPIONSHIP,Middlesbrough,Bristol City,1.67,3.8,5.0,1.8,1.73,2.0
33,19/10/2024,11:00,ENGLAND - LEAGUE ONE,Bolton,Burton,1.36,4.5,8.0,1.57,1.8,1.95
34,19/10/2024,11:00,ENGLAND - LEAGUE ONE,Huddersfield,Bristol Rovers,1.48,4.33,6.0,1.67,1.8,1.95
35,19/10/2024,11:00,NORTHERN IRELAND - NIFL PREMIERSHIP,Glentoran,Carrick Rangers,1.5,4.25,5.7,1.7,1.82,1.9
36,19/10/2024,11:00,BELARUS - VYSSHAYA LIGA,Neman,Slutsk,1.32,5.05,10.5,1.95,2.48,1.51
37,19/10/2024,11:00,SCOTLAND - PREMIERSHIP,Celtic,Aberdeen,1.22,6.5,11.0,1.4,1.91,1.91
31,19/10/2024,11:00,AZERBAIJAN - PREMIER LEAGUE,Neftci Baku,Sabail,1.53,4.1,5.1,1.65,1.78,1.83
38,19/10/2024,11:30,NETHERLANDS - EREDIVISIE,Sparta Rotterdam,Almere City,1.55,4.33,5.5,1.67,1.77,1.92
21,19/10/2024,12:00,AUSTRIA - BUNDESLIGA,Sturm Graz,Grazer AK,1.45,5.0,5.75,1.53,1.7,2.05
20,19/10/2024,12:00,FINLAND - VEIKKAUSLIIGA,Ilves,SJK,1.55,4.2,5.5,1.4,1.5,2.5
19,19/10/2024,12:00,AUSTRIA - BUNDESLIGA,Salzburg,Altach,1.29,6.0,8.5,1.44,1.8,1.95
9,19/10/2024,12:15,ROMANIA - LIGA 1,Sepsi Sf. Gheorghe,UTA Arad,1.7,3.6,4.75,1.98,1.83,1.83
2,19/10/2024,12:30,ITALY - SERIE C,Triestina,Virtus Verona,1.7,3.5,4.85,2.02,1.93,1.78
3,19/10/2024,12:30,POLAND - DIVISION 1,Legnica,Chrobry Glogow,1.57,4.1,5.25,1.88,1.91,1.8
4,19/10/2024,13:30,SPAIN - LALIGA2,Granada CF,Tenerife,1.65,3.5,5.75,2.25,2.1,1.67
5,19/10/2024,14:00,ICELAND - BESTA DEILD KARLA,Breidablik,Stjarnan,1.53,4.5,5.0,1.37,1.47,2.52
6,19/10/2024,15:00,BELARUS - VYSSHAYA LIGA,Din. Minsk,Slavia Mozyr,1.48,4.15,7.5,1.85,1.89,1.87
7,19/10/2024,15:00,MONTENEGRO - PRVA CRNOGORSKA LIGA,Buducnost,Arsenal Tivat,1.3,4.75,9.25,1.62,2.02,1.62
8,19/10/2024,16:00,BOLIVIA - DIVISION PROFESIONAL,GV San Jose,Santa Cruz,1.2,6.0,15.0,1.53,2.2,1.62
10,19/10/2024,16:00,MOROCCO - BOTOLA PRO,Wydad,Chabab Mohammedia,1.13,6.5,21.0,1.65,3.0,1.36
18,19/10/2024,17:00,USA - USL CHAMPIONSHIP,Detroit,Miami FC,1.13,5.8,25.0,1.78,3.5,1.26
11,19/10/2024,18:30,BOLIVIA - DIVISION PROFESIONAL,Wilstermann,Blooming,1.55,4.0,6.25,2.08,2.1,1.67
12,19/10/2024,20:00,COSTA RICA - PRIMERA DIVISION,Liberia,Puntarenas FC,1.5,3.9,7.0,1.83,1.91,1.8
13,19/10/2024,20:00,ECUADOR - LIGA PRO,Ind. del Valle,Imbabura,1.25,5.25,12.0,1.57,2.1,1.67
14,19/10/2024,21:00,BOLIVIA - DIVISION PROFESIONAL,Bolivar,Aurora,1.36,4.5,9.0,1.62,1.83,1.83
15,19/10/2024,22:00,USA - MLS,Minnesota United,St. Louis City,1.53,4.75,5.25,1.36,1.44,2.63
16,19/10/2024,22:00,USA - MLS,Los Angeles FC,San Jose Earthquakes,1.25,7.0,10.0,1.33,1.7,2.05
17,19/10/2024,22:00,MEXICO - LIGA DE EXPANSION MX,Celaya,Tlaxcala,1.38,4.4,7.3,1.65,1.91,1.7
39,19/10/2024,22:05,MEXICO - LIGA MX,Club America,Santos Laguna,1.25,5.5,13.0,1.57,2.05,1.7
40,19/10/2024,23:30,USA - USL CHAMPIONSHIP,Las Vegas Lights,Oakland Roots,1.57,3.8,5.1,1.8,1.85,1.85
