,Date,Time,League,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No
1,26/10/2024,02:00,SOUTH KOREA - K LEAGUE 2,Jeonnam,Cheonan City,1.67,3.9,4.2,1.5,1.53,2.38
2,26/10/2024,08:00,SWEDEN - SUPERETTAN,Sandviken,Helsingborg,1.75,4.5,3.8,1.53,1.54,2.25
3,26/10/2024,08:30,ENGLAND - LEAGUE ONE,Reading,Bristol Rovers,1.73,3.8,4.33,1.67,1.67,2.1
4,26/10/2024,09:30,NETHERLANDS - TWEEDE DIVISIE,GVVV,ACV Assen,1.57,4.05,4.75,1.62,1.7,1.91
5,26/10/2024,09:45,POLAND - EKSTRAKLASA,Cracovia,Motor Lublin,1.75,3.7,4.2,1.83,1.75,2.0
6,26/10/2024,11:00,SCOTLAND - PREMIERSHIP,Dundee FC,St Johnstone,1.65,3.75,5.0,1.8,1.75,2.0
7,26/10/2024,11:00,ENGLAND - LEAGUE ONE,Bolton,Peterborough,1.73,4.0,4.0,1.53,1.53,2.38
8,26/10/2024,11:00,ESTONIA - MEISTRILIIGA,Tallinna Kalev,Nomme Utd,1.65,3.8,4.1,1.48,1.53,2.42
9,26/10/2024,11:30,NETHERLANDS - EERSTE DIVISIE,Excelsior,Cambuur,1.75,3.8,4.33,1.57,1.57,2.25
10,26/10/2024,13:00,RUSSIA - PREMIER LEAGUE,FK Rostov,Akhmat Grozny,1.73,4.2,5.01,1.81,1.74,2.04
