,Date,Time,League,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No
1,27/10/2024,00:00,USA - MLS,Los Angeles Galaxy,Colorado Rapids,1.42,5.0,6.5,1.29,1.44,2.63
2,27/10/2024,00:10,MEXICO - LIGA DE EXPANSION MX,Dorados de Sinaloa,Atletico La Paz,1.88,3.5,3.65,1.65,1.57,2.1
3,27/10/2024,09:00,INDONESIA - LIGA 1,Bali United,Persis Solo,1.72,3.6,4.35,1.8,1.7,1.91
4,27/10/2024,09:15,UZBEKISTAN - SUPER LEAGUE,Bunyodkor,Sogdiana,2.72,3.2,2.45,2.07,1.85,1.75
5,27/10/2024,09:30,ESTONIA - MEISTRILIIGA,Kalju,Levadia,3.2,3.35,2.0,1.65,1.57,2.34
6,27/10/2024,10:00,SPAIN - LALIGA2,Malaga,Eibar,2.6,2.9,2.9,2.6,2.1,1.67
7,27/10/2024,11:00,ENGLAND - PREMIER LEAGUE,Chelsea,Newcastle,1.73,4.33,4.1,1.44,1.44,2.63
8,27/10/2024,11:30,QATAR - QSL,Al Wakra,Al-Sadd,3.95,4.0,1.72,1.45,1.47,2.5
9,27/10/2024,12:00,CROATIA - HNL,D. Zagreb,Osijek,1.33,4.5,7.5,1.67,1.91,1.8
10,27/10/2024,12:00,ENGLAND - CHAMPIONSHIP,Norwich,Middlesbrough,2.8,3.25,2.45,1.8,1.58,2.2
12,27/10/2024,12:30,SWEDEN - ALLSVENSKAN,Hacken,Halmstad,1.48,4.75,5.5,1.4,1.53,2.38
11,27/10/2024,12:30,SWITZERLAND - CHALLENGE LEAGUE,Thun,Schaffhausen,1.53,4.1,5.5,1.72,1.8,1.91
13,27/10/2024,12:45,NETHERLANDS - EREDIVISIE,Ajax,Willem II,1.22,6.5,11.0,1.53,2.05,1.7
14,27/10/2024,13:30,QATAR - QSL,Al-Duhail,Al-Gharafa,1.5,4.45,5.3,1.36,1.45,2.57
15,27/10/2024,13:30,SLOVENIA - PRVA LIGA,Radomlje,Celje,4.3,3.7,1.72,1.83,1.8,1.91
16,27/10/2024,14:30,BELGIUM - JUPILER PRO LEAGUE,Gent,Genk,3.0,3.6,2.2,1.57,1.5,2.5
17,27/10/2024,15:30,SPAIN - PRIMERA RFEF,Merida AD,Alcoyano,2.35,2.9,2.9,2.5,2.2,1.62
18,27/10/2024,15:30,ICELAND - BESTA DEILD KARLA,Vikingur Reykjavik,Breidablik,2.02,3.8,3.1,1.47,1.44,2.6
19,27/10/2024,17:15,PERU - LIGA 1,Sport Huancayo,FBC Melgar,4.1,4.0,1.73,2.0,1.91,1.8
20,27/10/2024,18:00,VENEZUELA - LIGA FUTVE,Carabobo,Estudiantes Merida,2.02,3.1,3.65,2.02,1.8,1.82
21,27/10/2024,20:30,USA - MLS,Orlando City,Charlotte,1.73,3.75,4.75,1.73,1.7,2.05
22,27/10/2024,20:30,BOLIVIA - DIVISION PROFESIONAL,Wilstermann,Nacional Potosi,2.0,3.4,3.7,2.05,1.83,1.83
23,27/10/2024,21:00,NICARAGUA - LIGA PRIMERA,Diriangen,Sport Sebaco,1.42,4.5,6.2,1.47,1.62,2.02
24,26/10/2024,23:00,COSTA RICA - PRIMERA DIVISION,Alajuelense,San Carlos,1.65,3.9,4.5,1.67,1.67,2.1
