,Date,Time,League,Home,Away,Odd_H,Odd_A,Odd_D,Odd_CS_0x1_Lay,IDMercado_Correct_Score
1,2026-07-31,08:35:00,CHINA - SUPER LEAGUE,Henan Songshan Longmen,Dalian Yingbo,1.91,4.0,4.1,24.0,1.260449
2,2026-07-31,09:00:00,ARMENIA - PREMIER LEAGUE,Van,Sardarapat FC,2.0,3.75,3.45,15.0,1.2605755
3,2026-07-31,12:00:00,UKRAINE - PREMIER LEAGUE,FK Zorya Luhansk,Kolos Kovalivka,2.88,3.05,2.82,10.5,1.2603093
4,2026-07-31,13:00:00,DENMARK - 1ST DIVISION,Aarhus Fremad,Aalborg,2.4,3.05,3.7,18.0,1.2604498
5,2026-07-31,13:00:00,POLAND - DIVISION 1,LKS Lodz,Polonia Bytom,1.75,5.2,3.9,21.0,1.260412
6,2026-07-31,14:00:00,DENMARK - 1ST DIVISION,Koge,Vejle,4.4,1.82,4.0,11.0,1.2604872
7,2026-07-31,14:00:00,DENMARK - 1ST DIVISION,AB,Fredericia,3.25,2.2,3.95,13.5,1.2604873
8,2026-07-31,14:30:00,SWITZERLAND - CHALLENGE LEAGUE,Wil,Xamax,2.34,2.88,3.95,19.5,1.2603927
9,2026-07-31,14:30:00,SWITZERLAND - CHALLENGE LEAGUE,Stade Nyonnais,Rapperswil-Jona,2.58,2.52,4.2,21.0,1.2603927
10,2026-07-31,14:30:00,SWITZERLAND - CHALLENGE LEAGUE,Yverdon,Etoile Carouge,1.81,4.2,4.2,24.0,1.2603928
11,2026-07-31,15:00:00,HUNGARY - OTP BANK LIGA,Puskas Academy,Kisvarda,1.8,4.9,3.7,17.5,1.2605026
12,2026-07-31,15:00:00,SERBIA - PRVA LIGA,FK Loznica,FK Proleter Zrenjanin,1.37,3.05,3.05,1000.0,1.2605984
13,2026-07-31,15:15:00,SWITZERLAND - CHALLENGE LEAGUE,Kriens,Winterthur,3.4,2.08,3.95,14.5,1.2605139
14,2026-07-31,15:30:00,POLAND - DIVISION 1,Lechia Gdansk,Warta Poznan,2.58,2.68,3.85,15.0,1.2605615
15,2026-07-31,16:00:00,NORWAY - ELITESERIEN,Bodo/Glimt,Lillestrom,1.28,11.0,7.2,65.0,1.2603943
16,2026-07-31,16:00:00,BOLIVIA - DIVISION PROFESIONAL,Universitario de Vinto,Guabira,1.84,3.85,4.2,27.0,1.2605873
17,2026-07-31,16:00:00,SCOTLAND - PREMIERSHIP,Dundee Utd,Rangers,6.0,1.61,4.6,12.0,1.2604805
18,2026-07-31,17:00:00,PERU - LIGA 1,Los Chankas,Comerciantes Unidos,1.9,4.4,3.65,16.0,1.260459
19,2026-07-31,18:00:00,VENEZUELA - LIGA FUTVE,Portuguesa,Carabobo,3.1,2.4,3.25,9.2,1.2605853
20,2026-07-31,18:30:00,BOLIVIA - DIVISION PROFESIONAL,The Strongest,Aurora,1.36,6.8,5.6,70.0,1.2605872
21,2026-07-31,19:00:00,URUGUAY - PRIMERA DIVISION,Torque,Wanderers,1.92,4.6,3.5,15.5,1.260388
22,2026-07-31,19:30:00,VENEZUELA - LIGA FUTVE,Academia Anzoategui FC,Dep. Tachira,4.9,1.78,3.45,7.6,1.2605854
23,2026-07-31,20:00:00,BOLIVIA - DIVISION PROFESIONAL,Tomayapo,Aca. Balompie Boliviano,1.81,4.0,4.2,32.0,1.2605896
