League,Date,Time,Home,Away,Odd_H,Odd_A,Odd_D,Odd_Under05_HT,Odd_Over05_HT,Odd_Under15_HT,Odd_Over15_HT,Odd_Under25_HT,Odd_Over25_HT,Odd_Under05,Odd_Over05,Odd_Under15,Odd_Over15,Odd_Under25,Odd_Over25,Odd_Under45,Odd_Over45,Odd_BTTS_Yes,Odd_BTTS_No,Odd_CS_0x0,Odd_CS_0x1,Odd_CS_0x2,Odd_CS_0x3,Odd_CS_1x0,Odd_CS_1x1,Odd_CS_1x2,Odd_CS_1x3,Odd_CS_2x0,Odd_CS_2x1,Odd_CS_2x2,Odd_CS_2x3,Odd_CS_3x0,Odd_CS_3x1,Odd_CS_3x2,Odd_CS_3x3,Odd_CS_Goleada_H,Odd_CS_Goleada_A,Odd_CS_Goleada_D,p_H,p_D,p_A,p_Over,p_Under,p_BTTS_Y,p_BTTS_N,p_H__p_D,p_H__p_A,p_D__p_H,p_D__p_A,p_A__p_H,p_A__p_D,p_D__p_Over,p_D__p_Under,CV_HDA,CV_HD,CV_HA,CV_DA,CV_DO,H_A,A_D,H_D,H_O,A_O,O_D,O_S,Odd_Sum,HO_D,AO_D,ADJ_H,ADJ_A,CV_MO,DP_MO,CV_MO_OV,Euc_Dist_MO,Angle_MO,Euc_Dist_OV,Angle_OV,Distancia_E_Geral,DE,DE_Casa,prediction_label,prediction_score
Japanese J League 2,2024-05-12,01:00:00,Kumamoto,Yokohama FC,4.0,2.12,3.3,2.88,1.49,1.38,3.4,1.09,10.0,9.8,1.09,3.35,1.39,1.78,2.2,1.1,8.8,1.93,1.91,9.6,7.6,11.0,21.0,12.0,7.0,9.0,20.0,22.0,11.5,16.5,7.2,7.6,7.4,7.6,7.4,6.8,5.5,7.8,0.25,0.3030303,0.4716981,0.45454547,0.56179774,0.5181347,0.5235602,0.825,0.53,1.2121212,0.6424242,1.8867924,1.5566038,0.6666667,0.53939396,0.27672553,0.09589041,0.30718955,0.21771218,0.2,1.8867924,0.6424242,1.2121212,1.8181819,0.96363634,0.6666667,1.1398964,9.42,0.07430998,-0.12526539,0.42462844,0.22505307,0.30259806,0.9501579,0.31224263,2.3274019,-19.290047,0.5939697,11.859779,2.3274019,1.18,0.7,1,1.0
Japanese J League 2,2024-05-12,01:00:00,Iwaki SC,Renofa Yamaguchi,1.88,4.7,3.6,2.86,1.5,1.38,3.4,1.09,10.0,10.5,1.08,3.4,1.38,1.82,2.14,1.1,10.0,1.98,1.89,10.0,13.5,27.0,70.0,6.6,7.0,17.0,44.0,9.4,8.6,19.0,55.0,16.5,18.0,32.0,95.0,5.2,7.2,7.8,0.5319149,0.2777778,0.21276596,0.46728972,0.5494506,0.5050505,0.52910054,1.9148936,2.5,0.5222222,1.3055556,0.4,0.7659575,0.59444445,0.50555557,0.40404582,0.3138686,0.42857143,0.13253012,0.2543554,0.4,1.3055556,0.5222222,0.8785047,2.1962616,0.59444445,1.080808,10.18,-0.16895874,0.10805501,0.18467583,0.4616896,0.4188548,1.421314,0.42821053,3.481494,40.69553,0.45254833,9.090277,3.481494,1.1,1.72,1,1.0
Japanese J League,2024-05-12,01:05:00,Kashima,Tokyo-V,2.02,4.7,3.25,2.66,1.56,1.33,3.75,1.07,12.0,9.2,1.11,3.05,1.46,1.67,2.42,1.08,11.0,2.1,1.81,8.6,12.0,24.0,10.0,6.6,6.8,16.5,9.6,9.8,9.8,20.0,9.8,19.5,21.0,9.0,10.0,7.2,9.8,10.5,0.4950495,0.30769232,0.21276596,0.41322315,0.5988024,0.47619048,0.5524862,1.6089109,2.3267326,0.62153846,1.4461539,0.42978725,0.69148934,0.7446154,0.51384616,0.34647596,0.23339659,0.39880952,0.18238993,0.14638448,0.42978725,1.4461539,0.62153846,0.8347107,1.9421488,0.7446154,1.152381,9.97,-0.12337011,0.1454363,0.20260783,0.47141424,0.40366223,1.3415041,0.382503,3.2860005,31.591516,1.0606601,20.556046,3.2860005,1.45,1.23,1,1.0
Japanese J League 2,2024-05-12,02:00:00,Tokushima,Tochigi SC,2.12,4.2,3.15,2.62,1.57,1.32,3.85,1.07,12.0,8.6,1.11,3.0,1.46,1.66,2.42,1.08,10.5,2.06,1.81,8.6,11.5,20.0,4.8,6.4,6.4,13.0,4.8,9.8,10.0,18.5,4.8,21.0,21.0,4.6,4.9,4.2,4.8,5.0,0.4716981,0.31746033,0.23809524,0.41322315,0.60240966,0.4854369,0.5524862,1.485849,1.981132,0.6730159,1.3333334,0.50476193,0.75,0.768254,0.52698416,0.2832418,0.19544592,0.32911393,0.14285715,0.13105924,0.50476193,1.3333334,0.6730159,0.87603307,1.7355372,0.768254,1.1747572,9.47,-0.10876452,0.11087645,0.22386484,0.4435058,0.32946652,1.040016,0.3113919,2.5475085,27.248466,1.0748023,20.806791,2.5475085,1.05,1.03,1,1.0
South Korean K League 1,2024-05-12,02:00:00,Jeonbuk Motors,Suwon FC,1.79,4.8,4.0,3.4,1.38,1.52,2.8,1.13,7.6,15.0,1.05,4.6,1.25,2.24,1.77,1.18,5.7,1.77,2.2,15.5,18.0,30.0,75.0,8.8,8.6,17.0,42.0,10.0,9.2,15.5,46.0,17.0,14.5,26.0,65.0,4.5,7.2,8.0,0.5586592,0.25,0.20833333,0.56497175,0.44642857,0.56497175,0.45454547,2.2346368,2.6815643,0.4475,1.2,0.37291667,0.8333333,0.4425,0.56,0.46092653,0.38169256,0.45675266,0.09090909,0.3864818,0.37291667,1.2,0.4475,1.0112995,2.7118645,0.4425,1.0,10.59,-0.20868744,0.075542964,0.16902739,0.4532578,0.44166297,1.5590702,0.5008206,3.8189266,47.855618,0.66468036,-13.224551,3.8189266,0.8,2.21,1,1.0
Australian A-League Men,2024-05-12,03:00:00,Melbourne Victory,Wellington Phoenix,1.83,4.7,3.95,3.5,1.38,1.53,2.74,1.13,7.4,15.5,1.06,4.5,1.27,2.18,1.82,1.18,6.0,1.75,2.24,15.0,17.0,32.0,80.0,9.6,8.4,16.5,46.0,10.5,9.4,16.5,50.0,18.5,16.5,28.0,65.0,9.6,46.0,9.0,0.5464481,0.25316456,0.21276596,0.5494506,0.4587156,0.5714286,0.44642857,2.15847,2.568306,0.46329114,1.1898735,0.3893617,0.84042555,0.4607595,0.5518987,0.44062975,0.366782,0.43950996,0.0867052,0.3691508,0.3893617,1.1898735,0.46329114,1.0054945,2.5824175,0.4607595,1.04,10.48,-0.20229007,0.07156488,0.17461832,0.44847327,0.42609742,1.4885004,0.47983736,3.6460664,46.66834,0.5091169,-10.203974,3.6460664,0.75,2.12,1,1.0
South Korean K League 1,2024-05-12,04:30:00,Ulsan Hyundai Horang-i,Gimcheon Sangmu,1.72,5.2,4.0,3.1,1.41,1.46,2.88,1.12,8.0,14.0,1.06,4.0,1.3,2.02,1.85,1.13,6.6,1.85,2.06,13.0,15.0,6.4,7.2,7.8,8.2,17.0,7.0,9.2,9.0,18.0,7.0,15.5,16.0,6.4,7.2,4.6,7.0,7.6,0.5813953,0.25,0.1923077,0.5405405,0.4950495,0.5405405,0.4854369,2.3255813,3.0232558,0.43,1.3,0.33076924,0.7692308,0.4625,0.505,0.50242597,0.3986014,0.50289017,0.13043478,0.36752138,0.33076924,1.3,0.43,0.9297297,2.8108108,0.4625,1.0,10.92,-0.20879121,0.10989011,0.15750916,0.47619048,0.4856347,1.7677103,0.53196573,4.3299885,48.74299,0.2404163,-4.858463,4.3299885,1.2,2.28,1,1.0
South Korean K League 2,2024-05-12,04:30:00,Gyeongnam,Seongnam FC,2.06,3.75,3.45,2.92,1.42,1.41,2.88,1.1,8.0,3.45,1.02,3.45,1.31,1.86,1.93,1.1,3.4,1.79,2.06,10.5,12.5,22.0,4.7,8.2,6.8,13.0,4.7,10.5,9.0,4.3,4.7,4.7,4.6,4.5,4.8,3.95,4.6,5.0,0.4854369,0.28985506,0.26666668,0.5181347,0.53763443,0.5586592,0.4854369,1.6747572,1.8203883,0.59710145,1.0869565,0.54933333,0.92,0.5594203,0.53913045,0.28251058,0.2522686,0.2908778,0.041666668,0.2825279,0.54933333,1.0869565,0.59710145,1.0673575,1.9430052,0.5594203,1.0782123,9.26,-0.150108,0.032397408,0.2224622,0.4049676,0.29212213,0.9016836,0.33466,2.2086647,34.7993,0.09899495,2.004534,2.2086647,0.3,1.39,1,1.0
South Korean K League 2,2024-05-12,07:00:00,Bucheon FC 1995,Jeonnam Dragons,2.36,3.3,3.2,2.82,1.51,1.34,3.1,1.08,8.0,2.98,1.03,2.98,1.39,1.73,2.16,1.07,3.55,1.83,1.89,9.0,10.0,18.0,4.3,7.6,6.4,12.0,4.5,12.0,10.0,16.5,4.3,20.0,20.0,4.4,4.3,3.9,4.1,4.5,0.42372882,0.3125,0.3030303,0.46296296,0.5780347,0.5464481,0.52910054,1.3559322,1.398305,0.7375,1.03125,0.7151515,0.969697,0.675,0.540625,0.15819633,0.15107913,0.16607773,0.015384615,0.19402985,0.7151515,1.03125,0.7375,1.0925926,1.5277778,0.675,1.1803279,8.86,-0.094808124,0.0112866815,0.26636568,0.37246048,0.1748088,0.5162687,0.21009824,1.2645948,22.782406,0.60811186,12.133881,1.2645948,0.1,0.84,1,1.0
Portuguese Segunda Liga,2024-05-12,07:00:00,Tondela,CD Nacional Funchal,4.6,1.79,3.75,3.15,1.39,1.46,2.68,1.11,6.4,11.0,1.06,3.8,1.25,2.0,1.81,1.12,6.2,1.76,1.99,12.5,7.6,8.2,13.5,15.0,7.6,7.6,13.0,5.0,16.0,14.5,5.2,5.3,5.2,5.2,5.2,5.1,3.7,5.4,0.2173913,0.26666668,0.5586592,0.5524862,0.5,0.5681818,0.5025126,0.8152174,0.38913044,1.2266667,0.47733334,2.5698323,2.0949721,0.48266667,0.53333336,0.43332103,0.1017964,0.4397496,0.3537906,0.34892085,2.5698323,0.47733334,1.2266667,2.5414364,0.98895025,0.48266667,1.0284091,10.14,0.08382643,-0.19329388,0.45364892,0.1765286,0.42635384,1.441076,0.47345877,3.5299008,-23.025492,0.26870057,-5.4268126,3.5299008,1.96,0.85,1,1.0
