League,Date,Time,Home,Away,Odd_H,Odd_A,Odd_D,Odd_Under05_HT,Odd_Over05_HT,Odd_Under15_HT,Odd_Over15_HT,Odd_Under25_HT,Odd_Over25_HT,Odd_Under05,Odd_Over05,Odd_Under15,Odd_Over15,Odd_Under25,Odd_Over25,Odd_Under45,Odd_Over45,Odd_BTTS_Yes,Odd_BTTS_No,Odd_CS_0x0,Odd_CS_0x1,Odd_CS_0x2,Odd_CS_0x3,Odd_CS_1x0,Odd_CS_1x1,Odd_CS_1x2,Odd_CS_1x3,Odd_CS_2x0,Odd_CS_2x1,Odd_CS_2x2,Odd_CS_2x3,Odd_CS_3x0,Odd_CS_3x1,Odd_CS_3x2,Odd_CS_3x3,Odd_CS_Goleada_H,Odd_CS_Goleada_A,Odd_CS_Goleada_D,p_H,p_D,p_A,p_Over,p_Under,p_BTTS_Y,p_BTTS_N,p_H__p_D,p_H__p_A,p_D__p_H,p_D__p_A,p_A__p_H,p_A__p_D,p_D__p_Over,p_D__p_Under,CV_HDA,CV_HD,CV_HA,CV_DA,CV_DO,H_A,A_D,H_D,H_O,A_O,O_D,O_S,Odd_Sum,HO_D,AO_D,ADJ_H,ADJ_A,CV_MO,DP_MO,CV_MO_OV,Euc_Dist_MO,Angle_MO,Euc_Dist_OV,Angle_OV,Distancia_E_Geral,DE,DE_Casa,prediction_label,prediction_score
Egyptian Premier,2024-02-14,11:00:00,Al Mokawloon,ENPPI,2.96,2.62,2.86,2.48,1.51,1.3,3.35,1.07,11.0,2.74,1.08,2.74,1.44,1.61,2.26,1.05,2.26,1.98,1.83,3.9,7.8,13.5,5.5,8.6,6.2,10.5,5.3,15.5,11.5,17.0,5.6,5.6,5.5,5.6,5.8,5.4,5.3,6.0,0.33783785,0.34965035,0.3816794,0.44247788,0.621118,0.5050505,0.5464481,0.9662162,0.8851351,1.034965,0.91608393,1.129771,1.091603,0.7902098,0.5629371,0.0519704,0.01718213,0.0609319,0.04379562,0.1171875,1.129771,0.91608393,1.034965,1.3097345,1.159292,0.7902098,1.1414142,8.44,0.011848342,-0.028436018,0.3507109,0.31042653,0.06211063,0.1747379,0.11636922,0.4280187,-2.8624053,0.9192388,18.004162,0.4280187,0.24,0.1,1,1.0
Czech 1 Liga,2024-02-14,13:00:00,MFK Karvina,Pardubice,2.3,3.25,3.45,3.05,1.43,1.44,2.96,1.09,7.2,10.0,1.06,3.6,1.3,1.89,2.0,1.11,3.3,1.78,2.14,9.0,4.6,16.5,5.6,9.2,7.2,4.5,5.4,11.0,10.0,4.6,5.5,21.0,5.0,5.5,5.9,4.6,5.3,6.0,0.4347826,0.28985506,0.30769232,0.5,0.52910054,0.56179774,0.46728972,1.5,1.4130435,0.6666667,0.942029,0.7076923,1.0615385,0.5797101,0.5478261,0.18751977,0.2,0.17117117,0.029850746,0.26605505,0.7076923,0.942029,0.6666667,1.15,1.625,0.5797101,1.1235955,9.0,-0.12777779,-0.022222223,0.25555557,0.3611111,0.20480342,0.6144103,0.25755793,1.5049917,29.898901,0.15556349,3.148096,1.5049917,0.2,1.15,1,1.0
Bahraini Premier,2024-02-14,13:00:00,Al Ahli (BRN),East Riffa,2.54,2.64,3.3,2.36,1.4,1.4,2.8,1.1,8.0,3.45,1.02,3.45,1.31,1.84,1.89,1.1,3.3,1.75,2.04,5.0,4.7,5.6,5.0,4.6,4.0,4.9,6.2,5.5,4.9,5.5,5.0,6.4,6.2,5.0,7.2,4.6,4.7,5.6,0.39370078,0.3030303,0.37878788,0.52910054,0.54347825,0.5714286,0.49019608,1.2992126,1.0393701,0.76969695,0.8,0.9621212,1.25,0.57272726,0.55757576,0.110729165,0.13013698,0.019305019,0.11111111,0.2716763,0.9621212,0.8,0.76969695,1.3439153,1.3968254,0.57272726,1.08,8.48,-0.08962264,-0.07783019,0.2995283,0.31132075,0.14609322,0.4129568,0.22259718,1.0115335,20.806791,0.07071068,1.4320962,1.0115335,0.66,0.76,1,1.0
Bahraini Premier,2024-02-14,13:00:00,Busaiteen Club,Al Hala,2.04,3.85,3.2,2.62,1.45,1.36,3.1,1.08,9.6,3.0,1.02,3.0,1.39,1.67,2.1,1.08,4.0,1.9,1.84,5.0,5.2,4.6,3.25,4.2,3.95,5.7,3.2,5.1,4.9,4.4,3.25,4.6,4.6,5.0,5.3,2.92,3.2,3.35,0.49019608,0.3125,0.25974026,0.47619048,0.5988024,0.5263158,0.54347825,1.5686275,1.887255,0.6375,1.203125,0.52987015,0.83116883,0.65625,0.521875,0.2783717,0.22137405,0.3073005,0.09219858,0.20754717,0.52987015,1.203125,0.6375,0.9714286,1.8333334,0.65625,1.1052631,9.09,-0.12761275,0.07150715,0.22442244,0.42354235,0.30260625,0.91689694,0.31503168,2.2459297,30.113733,0.60811186,12.133881,2.2459297,0.65,1.16,1,1.0
Czech 1 Liga,2024-02-14,14:00:00,Zlin,Slavia Prague,17.0,1.19,7.8,4.3,1.23,1.67,2.18,1.19,4.7,15.0,1.03,2.58,1.14,2.58,1.49,1.26,3.8,2.36,1.64,10.0,8.0,7.0,7.6,20.0,15.0,9.6,12.0,10.5,28.0,20.0,9.2,11.0,11.0,10.5,11.0,15.0,2.9,11.0,0.05882353,0.12820514,0.84033614,0.67114097,0.3875969,0.42372882,0.6097561,0.45882353,0.07,2.1794872,0.15256411,14.285714,6.5546217,0.19102564,0.33076924,1.0313555,0.37096775,0.86915886,0.7352614,0.67922497,14.285714,0.15256411,2.1794872,11.409396,0.7986577,0.19102564,0.63135594,25.99,0.3539823,-0.25432858,0.65409774,0.045786843,0.9165386,7.940279,1.0784857,19.449633,-77.73523,1.5414928,-28.590384,19.449633,6.61,9.2,1,1.0
Egyptian Premier,2024-02-14,14:00:00,ZED FC,Pyramids,2.98,2.5,2.9,2.72,1.55,1.3,3.15,1.07,9.2,2.7,1.08,2.7,1.42,1.57,2.26,1.05,9.4,1.92,1.79,3.3,3.3,3.8,4.3,3.45,6.0,3.65,4.3,4.0,3.8,4.1,4.5,4.5,4.4,4.5,4.7,4.5,4.3,4.8,0.33557048,0.3448276,0.4,0.44247788,0.6369427,0.5208333,0.5586592,0.97315437,0.8389262,1.0275862,0.86206895,1.192,1.16,0.77931035,0.54137933,0.078978226,0.013605442,0.08759124,0.074074075,0.12403101,1.192,0.86206895,1.0275862,1.3185841,1.1061947,0.77931035,1.1770834,8.38,0.00954654,-0.047732696,0.35560858,0.29832935,0.092063494,0.25716403,0.12759821,0.6299206,-2.29061,0.97580737,19.034435,0.6299206,0.4,0.08,1,1.0
Scottish Premiership,2024-02-14,16:45:00,Aberdeen,Motherwell,1.97,4.3,3.65,2.94,1.4,1.43,2.9,1.1,7.0,11.5,1.07,3.75,1.32,1.95,2.02,1.14,7.4,1.86,2.1,12.0,14.0,27.0,19.5,8.4,7.6,16.0,30.0,11.0,9.6,17.5,36.0,20.0,19.0,28.0,26.0,9.2,18.0,24.0,0.5076142,0.2739726,0.23255815,0.4950495,0.51282054,0.53763443,0.47619048,1.8527919,2.1827412,0.539726,1.1780822,0.45813954,0.8488372,0.55342466,0.53424656,0.3581955,0.29893237,0.37161085,0.08176101,0.28747794,0.45813954,1.1780822,0.539726,0.9752475,2.128713,0.55342466,1.0860215,9.92,-0.16935484,0.06552419,0.19858871,0.43346775,0.36361238,1.2023449,0.39320812,2.9451315,40.03026,0.09899495,2.004534,2.9451315,0.65,1.68,1,1.0
English Championship,2024-02-14,16:45:00,Huddersfield,Sunderland,3.9,2.16,3.5,2.96,1.44,1.4,3.15,1.08,9.4,10.5,1.09,3.5,1.38,1.8,2.2,1.1,7.8,1.93,2.04,11.0,8.4,11.5,24.0,12.5,7.2,10.0,22.0,24.0,15.0,18.0,40.0,70.0,42.0,55.0,100.0,48.0,17.0,220.0,0.25641027,0.2857143,0.46296296,0.45454547,0.5555556,0.5181347,0.49019608,0.8974359,0.5538462,1.1142857,0.61714286,1.8055556,1.6203704,0.62857145,0.51428574,0.27236575,0.054054055,0.28712872,0.23674911,0.22807017,1.8055556,0.61714286,1.1142857,1.7727273,0.9818182,0.62857145,1.1398964,9.56,0.041841004,-0.14016737,0.4079498,0.22594142,0.2859841,0.911336,0.30366868,2.2323081,-11.309933,0.56568545,11.309933,2.2323081,1.34,0.4,1,1.0
English Championship,2024-02-14,16:45:00,Preston,Middlesbrough,3.45,2.3,3.55,2.98,1.46,1.43,3.0,1.11,8.6,11.5,1.08,3.7,1.35,1.94,2.02,1.11,7.8,1.82,2.1,12.0,9.4,13.0,27.0,12.0,7.4,10.0,22.0,22.0,13.0,16.5,36.0,55.0,36.0,48.0,90.0,34.0,17.5,220.0,0.28985506,0.28169015,0.4347826,0.4950495,0.5154639,0.5494506,0.47619048,1.0289855,0.6666667,0.97183096,0.64788735,1.5,1.5434783,0.5690141,0.54647887,0.20964251,0.014285714,0.2,0.21367522,0.27468583,1.5,0.64788735,0.97183096,1.7079208,1.1386138,0.5690141,1.1098901,9.3,-0.010752688,-0.13440861,0.37096775,0.24731183,0.22407168,0.6946222,0.27671853,1.7014699,2.8624053,0.11313708,2.29061,1.7014699,1.25,0.1,1,1.0
English Championship,2024-02-14,16:45:00,Stoke,QPR,2.24,3.65,3.5,2.86,1.5,1.37,3.35,1.09,10.0,9.4,1.09,3.3,1.41,1.79,2.2,1.11,9.4,1.96,2.0,10.5,11.0,21.0,55.0,8.0,7.2,14.0,40.0,12.0,10.5,19.0,55.0,25.0,24.0,40.0,100.0,19.0,42.0,220.0,0.44642857,0.2857143,0.2739726,0.45454547,0.5586592,0.5102041,0.5,1.5625,1.6294643,0.64,1.0428572,0.6136986,0.9589041,0.62857145,0.5114286,0.23459081,0.2195122,0.2393888,0.02097902,0.22807017,0.6136986,1.0428572,0.64,1.0181818,1.6590909,0.62857145,1.1224489,9.39,-0.1341853,0.015974442,0.23855165,0.3887114,0.2474131,0.774403,0.27087924,1.8968922,32.210926,0.57982755,11.585126,1.8968922,0.15,1.26,1,1.0
English Championship,2024-02-14,17:00:00,Millwall,Ipswich,3.9,2.16,3.55,2.96,1.48,1.39,3.15,1.1,9.6,10.5,1.08,3.5,1.37,1.84,2.12,1.12,8.4,1.9,2.04,11.0,8.4,11.5,24.0,12.5,7.4,10.0,21.0,24.0,15.0,18.0,38.0,65.0,44.0,55.0,100.0,48.0,17.0,220.0,0.25641027,0.28169015,0.46296296,0.4716981,0.54347825,0.5263158,0.49019608,0.9102564,0.5538462,1.0985916,0.6084507,1.8055556,1.6435186,0.5971831,0.51830983,0.27568316,0.046979867,0.28712872,0.24343258,0.2522046,1.8055556,0.6084507,1.0985916,1.8396226,1.018868,0.5971831,1.1157895,9.61,0.036420394,-0.144641,0.40582725,0.22476587,0.28730828,0.9203441,0.31588486,2.2543736,-9.926246,0.3959798,7.96961,2.2543736,1.39,0.35,1,1.0
Colombian Primera A,2024-02-14,20:10:00,Once Caldas,Boyaca Patriotas,1.78,5.5,3.45,2.62,1.6,1.29,3.65,1.06,12.0,7.6,1.1,2.7,1.53,1.57,2.62,1.05,13.5,2.36,1.66,8.0,6.0,7.4,8.4,4.0,7.4,6.6,8.2,8.0,5.7,6.8,8.4,6.2,6.6,7.8,8.6,6.2,8.6,8.8,0.56179774,0.28985506,0.18181819,0.3816794,0.6369427,0.42372882,0.60240966,1.9382023,3.0898876,0.51594204,1.5942029,0.32363635,0.6272727,0.7594203,0.45507246,0.46406025,0.31931165,0.510989,0.22905028,0.13673806,0.32363635,1.5942029,0.51594204,0.6793893,2.0992367,0.7594203,1.1101695,10.73,-0.1556384,0.19105312,0.16589002,0.5125815,0.5209409,1.863232,0.4778275,4.5639677,39.86188,1.4849242,27.699472,4.5639677,2.05,1.67,1,1.0
Colombian Primera A,2024-02-14,22:20:00,Boyaca Chico,Ind Medellin,2.84,2.6,3.1,2.9,1.5,1.32,3.2,1.07,9.0,6.6,1.07,2.76,1.43,1.71,2.14,1.06,3.7,1.87,1.9,8.6,8.2,4.2,5.0,8.6,6.6,4.0,5.3,14.5,10.0,4.4,4.9,4.9,4.9,5.0,5.2,4.8,4.6,5.3,0.35211268,0.32258064,0.3846154,0.46728972,0.5847953,0.53475934,0.5263158,1.0915493,0.91549295,0.91612905,0.83870965,1.0923077,1.1923077,0.6903226,0.5516129,0.07175034,0.043771043,0.04411765,0.0877193,0.18320611,1.0923077,0.83870965,0.91612905,1.3271028,1.2149533,0.6903226,1.144385,8.54,-0.030444965,-0.05854801,0.3325527,0.30444965,0.08784543,0.25006667,0.15284081,0.6125357,7.4069123,0.60811186,12.133881,0.6125357,0.5,0.26,1,1.0
