League;Date;Time;Home;Away;Odd_H_Back;Odd_H_Lay;Odd_A_Back;Odd_A_Lay;Odd_D_Back;Odd_D_Lay;Odd_Under05_HT_Back;Odd_Under05_HT_Lay;Odd_Over05_HT_Back;Odd_Over05_HT_Lay;Odd_Under15_HT_Back;Odd_Under15_HT_Lay;Odd_Over15_HT_Back;Odd_Over15_HT_Lay;Odd_Under25_HT_Back;Odd_Under25_HT_Lay;Odd_Over25_HT_Back;Odd_Over25_HT_Lay;Odd_Under05_FT_Back;Odd_Under05_FT_Lay;Odd_Over05_FT_Back;Odd_Over05_FT_Lay;Odd_Under15_FT_Back;Odd_Under15_FT_Lay;Odd_Over15_FT_Back;Odd_Over15_FT_Lay;Odd_Under25_FT_Back;Odd_Under25_FT_Lay;Odd_Over25_FT_Back;Odd_Over25_FT_Lay;Odd_Under35_FT_Back;Odd_Under35_FT_Lay;Odd_Over35_FT_Back;Odd_Over35_FT_Lay;Odd_Under45_FT_Back;Odd_Under45_FT_Lay;Odd_Over45_FT_Back;Odd_Over45_FT_Lay;Odd_Under55_FT_Back;Odd_Under55_FT_Lay;Odd_Over55_FT_Back;Odd_Over55_FT_Lay;Odd_Under65_FT_Back;Odd_Under65_FT_Lay;Odd_Over65_FT_Back;Odd_Over65_FT_Lay;Odd_Under75_FT_Back;Odd_Under75_FT_Lay;Odd_Over75_FT_Back;Odd_Over75_FT_Lay;Odd_Under85_FT_Back;Odd_Under85_FT_Lay;Odd_Over85_FT_Back;Odd_Over85_FT_Lay;Odd_BTTS_Yes_Back;Odd_BTTS_Yes_Lay;Odd_BTTS_No_Back;Odd_BTTS_No_Lay;Odd_CS_0x0_Back;Odd_CS_0x0_Lay;Odd_CS_0x1_Back;Odd_CS_0x1_Lay;Odd_CS_0x2_Back;Odd_CS_0x2_Lay;Odd_CS_0x3_Back;Odd_CS_0x3_Lay;Odd_CS_1x0_Back;Odd_CS_1x0_Lay;Odd_CS_1x1_Back;Odd_CS_1x1_Lay;Odd_CS_1x2_Back;Odd_CS_1x2_Lay;Odd_CS_1x3_Back;Odd_CS_1x3_Lay;Odd_CS_2x0_Back;Odd_CS_2x0_Lay;Odd_CS_2x1_Back;Odd_CS_2x1_Lay;Odd_CS_2x2_Back;Odd_CS_2x2_Lay;Odd_CS_2x3_Back;Odd_CS_2x3_Lay;Odd_CS_3x0_Back;Odd_CS_3x0_Lay;Odd_CS_3x1_Back;Odd_CS_3x1_Lay;Odd_CS_3x2_Back;Odd_CS_3x2_Lay;Odd_CS_3x3_Back;Odd_CS_3x3_Lay;Odd_CS_Goleada_H_Back;Odd_CS_Goleada_H_Lay;Odd_CS_Goleada_A_Back;Odd_CS_Goleada_A_Lay;Odd_CS_Goleada_D_Back;Odd_CS_Goleada_D_Lay;ID_Evento;ID_Home;ID_Away;ID_Draw;IDMercado_Match_Odds;IDMercado_First_Half_Goals_05;IDMercado_First_Half_Goals_15;IDMercado_First_Half_Goals_25;IDMercado_Over/Under_05_Goals;IDMercado_Over/Under_15_Goals;IDMercado_Over/Under_25_Goals;IDMercado_Over/Under_35_Goals;IDMercado_Over/Under_45_Goals;IDMercado_Over/Under_55_Goals;IDMercado_Over/Under_65_Goals;IDMercado_Over/Under_75_Goals;IDMercado_Over/Under_85_Goals;IDMercado_Both_teams_to_Score;IDMercado_Correct_Score
Friendlies International;01/01/2024;02:00:00;Japan;Thailand;1,07;1,09;50;110;15;21;1,01;1000;1,01;1000;1,01;1000;1,01;1000;1,01;1000;1,01;1000;2,76;110;1,01;1,57;2,76;110;1,01;1,57;2,76;3,6;1,39;1,57;1,67;2,04;1,97;2,48;1,3;1,47;3,15;4,4;1,1;1,47;3,15;12,5;1,02;1,47;3,15;55;1,01;1,47;3,15;1000;1,01;1,46;3,15;1000;3,35;4,7;1,27;1,42;5,4;980;5,8;1000;6;1000;6;1000;8,4;980;5,4;980;5,9;1000;6;1000;5,3;7,8;4,9;980;5,8;1000;6;1000;4,8;7;4,9;980;5,8;1000;6;1000;1,99;2,94;6;1000;6;1000;32891786;29636;51091;58805;1.222.807.147;1.222.807.150;1.222.807.152;1.222.807.145;1.222.807.151;1.222.807.195;1.222.807.192;1.222.807.196;1.222.807.193;1.222.807.155;1.222.807.153;1.222.807.146;1.222.807.144;1.222.807.231;1.222.807.156
Australian A-League Men;01/01/2024;03:00:00;Western Sydney Wanderers;Macarthur FC;1,82;1,83;4,3;4,5;4,4;4,5;3,6;5,1;1,24;1,38;1,6;1,9;2,12;2,68;1,17;1,28;4,7;6,8;19;55;1,03;1,05;5,7;7,8;1,15;1,22;2,66;3;1,5;1,61;1,67;1,81;2,24;2,5;1,25;1,39;3,55;5;1,1;1,39;3,55;13,5;1,03;1,39;3,55;55;1,01;1,39;3,55;1000;1,01;1,38;3,55;1000;1,57;1,64;2,58;2,76;22;26;22;26;34;40;12;95;12,5;15;9,6;11;16,5;17,5;38;44;12,5;14,5;9,6;10,5;14,5;16,5;36;44;18;20;15;17;21;24;50;65;5,6;7,8;21;32;13,5;980;32886280;6480414;36700739;58805;1.222.722.452;1.222.722.538;1.222.722.539;1.222.722.540;1.222.722.454;1.222.722.455;1.222.722.456;1.222.722.457;1.222.722.458;1.222.722.459;1.222.722.460;1.222.722.461;1.222.722.462;1.222.722.531;1.222.722.453
English Championship;01/01/2024;09:30:00;Sunderland;Preston;1,65;1,66;6;6,2;4,2;4,3;2,84;3,85;1,35;1,54;1,39;1,61;2,64;3,55;1,1;1,17;7,2;10,5;12,5;18;1,06;1,09;3,75;4,4;1,3;1,37;1,94;2,12;1,9;2,08;1,36;1,43;3,35;3,8;1,13;1,18;6,8;8,8;1,05;1,08;14;21;1,01;1,03;27;110;1,01;1,01;55;1000;1,01;1,01;55;1000;1,98;2,1;1,91;2,04;13,5;15;18;21;40;48;44;180;7,6;8,6;8,6;9,4;21;23;36;90;8,6;9,6;9,2;10;21;23;36;95;14;15,5;16,5;18,5;32;40;42;140;8,6;10,5;40;120;14;1000;32897278;62783;56295;58805;1.222.911.781;1.222.911.784;1.222.911.786;1.222.911.779;1.222.911.785;1.222.911.795;1.222.911.791;1.222.911.737;1.222.911.792;1.222.911.789;1.222.911.787;1.222.911.777;1.222.911.778;1.222.911.780;1.222.911.790
English National League South;01/01/2024;10:00:00;Hampton and Richmond;Slough Town;2,78;3,05;2,46;2,56;3,75;4;2,38;110;1,14;1,61;1,24;1,82;2,22;1000;1,01;1,17;1,01;1000;4,1;980;1,01;1,08;4,1;5;1,25;1,32;2,06;2,34;1,75;1,93;1,42;1,53;2,9;3,4;1,14;1,25;5;9,4;1,04;1,25;5;36;1,01;1,25;5;1000;1,01;1,25;5;1000;1,01;1,25;5;1000;1,64;1,79;2,28;2,56;7,2;17,5;11;14;7,2;18,5;9,2;980;12;980;5,1;8,8;10,5;12;8,4;27;18;22;11,5;13;7;16,5;9,6;38;9,2;1000;25;32;9,4;42;4;980;17,5;980;7,6;980;4,2;1000;32898073;2439369;1000084;58805;1.222.925.676;1.222.925.679;1.222.925.681;1.222.925.674;1.222.925.680;1.222.925.724;1.222.925.721;1.222.925.725;1.222.925.722;1.222.925.684;1.222.925.682;1.222.925.675;1.222.925.673;1.222.925.760;1.222.925.685
English National League North;01/01/2024;10:00:00;Brackley Town;Banbury Utd;1,66;1,76;5,7;6,2;3,9;4,5;1,01;3,45;1,01;1,56;1,01;1000;1,01;1000;1,1;1,15;1,01;11;3,35;110;1,03;1,1;3,35;4,3;1,31;1,43;1,82;2,12;1,89;2,22;1,31;1,43;3,35;4,2;1,09;1,43;3,35;13,5;1,03;1,43;3,35;110;1,01;1,43;3,35;1000;1,01;1,43;3,35;1000;1,01;1,43;3,35;1000;1,9;2,24;1,81;2,1;5,1;980;5,3;980;3,9;980;2,48;1000;4;980;4,2;980;3,6;980;2,3;1000;4,4;980;4,6;980;5,8;980;3,3;1000;5,3;980;3,55;980;3,9;980;2,34;1000;4,4;980;4,1;1000;4,2;1000;32900193;2145773;7190809;58805;1.222.960.497;1.222.960.500;1.222.960.502;1.222.960.495;1.222.960.501;1.222.960.545;1.222.960.542;1.222.960.546;1.222.960.543;1.222.960.505;1.222.960.503;1.222.960.496;1.222.960.494;1.222.960.581;1.222.960.506
Egyptian Premier;01/01/2024;11:00:00;El Daklyeh;Al Ittihad (EGY);3,7;5,2;1,96;2,38;3;3,95;2,74;2,86;1,54;1,58;1,33;1,45;3,2;4,5;1,07;1,11;1,01;15;8;18;1,07;1,15;2,66;3,3;1,45;1,61;1,55;1,86;2,16;2,8;1,2;1,32;4,1;5,8;1,06;1,12;9,6;21;1,02;1,12;9,6;110;1,01;1,12;9,6;1000;1,01;1,12;9,6;1000;1,01;1,12;9,6;1000;1,91;2,4;1,72;2,1;7,6;11,5;6;8,8;4;13,5;4,4;30;4,1;15;6;8,8;3,95;13;4,4;32;4,5;36;4,2;22;4,3;27;4,8;60;5;1000;4,8;80;4,9;100;5;1000;4,9;110;4,3;25;5,2;1000;32899872;5907009;7023879;58805;1.222.954.358;1.222.954.361;1.222.954.363;1.222.954.356;1.222.954.362;1.222.954.406;1.222.954.403;1.222.954.407;1.222.954.404;1.222.954.366;1.222.954.364;1.222.954.357;1.222.954.355;1.222.954.442;1.222.954.367
English League 2;01/01/2024;12:00:00;Colchester;Gillingham;2,82;3,1;2,58;2,8;3,5;3,75;3,1;3,3;1,44;1,48;1,42;1,57;2,76;3,4;1,11;1,16;1,01;10;9,8;36;1,05;1,12;3,55;4,5;1,28;1,39;1,94;2,14;1,89;2,08;1,36;1,47;3,1;3,8;1,11;1,17;7;11;1,03;1,17;3,1;55;1,01;1,17;3,1;1000;1,01;1,17;7;1000;1,01;1,17;7;1000;1,69;1,92;2,08;2,48;11,5;16;9,6;13;14;19,5;6;42;10;13,5;7,2;8,6;10;13,5;22;32;16;22;10,5;14,5;14;19,5;6;44;6;50;6,2;34;6;48;6,4;100;5,6;28;5,4;24;6,8;1000;32898909;148734;56298;58805;1.222.934.858;1.222.934.861;1.222.934.863;1.222.934.856;1.222.934.862;1.222.934.906;1.222.934.903;1.222.934.907;1.222.934.904;1.222.934.866;1.222.934.864;1.222.934.857;1.222.934.855;1.222.934.942;1.222.934.867
English National League;01/01/2024;12:00:00;Chesterfield;Solihull Moors;1,34;1,37;9,6;12,5;6;6,6;1,01;5,2;1,01;1,33;1,01;1,92;1,01;2,5;1,01;1,28;1,01;6;26;110;1,01;1,04;2,6;110;1,01;1,63;2,6;3,2;1,45;1,63;1,63;1,87;2,16;2,58;1,27;1,36;3,85;4,7;1,1;1,36;3,85;13,5;1,03;1,36;3,85;55;1,01;1,36;3,85;1000;1,01;1,36;3,85;1000;1,85;1000;1,86;2,18;5,8;980;6,2;980;6,6;1000;6,2;1000;4,6;980;5;980;6;980;6,8;1000;7,8;980;4,5;980;5,8;980;9,6;1000;4,8;980;4,9;980;5,9;980;10;1000;2,8;4,6;6;1000;6,2;1000;32898808;219596;2437395;58805;1.222.931.969;1.222.931.972;1.222.931.974;1.222.931.967;1.222.931.973;1.222.932.017;1.222.932.014;1.222.932.018;1.222.932.015;1.222.931.977;1.222.931.975;1.222.931.968;1.222.931.966;1.222.932.053;1.222.931.978
English National League;01/01/2024;12:00:00;Oxford City;Dorking Wanderers;2,04;2,28;3,1;3,75;3,8;4,6;1,01;4,5;1,29;1,4;1,01;1,78;1,01;2,76;1,16;1,22;1,01;7,2;17;110;1,01;1,07;2,34;110;1,01;1,75;2,34;2,82;1,55;1,75;1,53;1,73;2,38;2,88;1,22;1,28;4,6;5,6;1,07;1,28;4,6;21;1,01;1,28;4,6;110;1,01;1,28;4,6;1000;1,01;1,28;4,6;1000;1,56;1,76;2,32;2,8;5,2;24;5;21;5,4;29;6;60;5;15,5;4,4;11,5;4,9;16,5;5,6;38;4,9;17,5;4,5;12,5;4,9;17,5;5,7;40;5,3;28;5,1;23;5,4;30;6;70;4,2;12;5,2;25;6,4;1000;32898814;3396707;13959120;58805;1.222.932.150;1.222.932.153;1.222.932.155;1.222.932.148;1.222.932.154;1.222.932.198;1.222.932.195;1.222.932.199;1.222.932.196;1.222.932.158;1.222.932.156;1.222.932.149;1.222.932.147;1.222.932.234;1.222.932.159
English National League;01/01/2024;12:00:00;Wealdstone;Maidenhead;1,99;2,52;3,25;4,2;3,2;4,2;1,01;3,8;1,36;1,55;1,4;1,62;1,01;3,5;1,1;1,17;1,01;10,5;10,5;36;1,04;1,11;3,5;4,5;1,29;1,4;1,87;2,3;1,77;2,16;1,37;1,52;2,94;3,75;1,11;1,19;6,4;12,5;1,03;1,19;2,94;110;1,01;1,19;6,4;1000;1,01;1,18;6,4;1000;1,01;1,18;6,4;1000;1,64;1,99;2;2,56;11,5;980;4,1;980;4,4;980;4,8;980;8,2;980;6,6;9,8;4,2;980;4,6;980;4,1;980;8,6;980;4,4;980;4,7;980;4,5;980;4,3;980;4,5;980;4,9;980;4;980;4,5;980;5,1;1000;32898815;2608900;728405;58805;1.222.932.617;1.222.932.623;1.222.932.626;1.222.932.614;1.222.932.624;1.222.932.675;1.222.932.672;1.222.932.676;1.222.932.673;1.222.932.631;1.222.932.628;1.222.932.616;1.222.932.612;1.222.932.711;1.222.932.633
