League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under05_HT_Back,Odd_Under05_HT_Lay,Odd_Over05_HT_Back,Odd_Over05_HT_Lay,Odd_Under15_HT_Back,Odd_Under15_HT_Lay,Odd_Over15_HT_Back,Odd_Over15_HT_Lay,Odd_Under25_HT_Back,Odd_Under25_HT_Lay,Odd_Over25_HT_Back,Odd_Over25_HT_Lay,Odd_Under05_FT_Back,Odd_Under05_FT_Lay,Odd_Over05_FT_Back,Odd_Over05_FT_Lay,Odd_Under15_FT_Back,Odd_Under15_FT_Lay,Odd_Over15_FT_Back,Odd_Over15_FT_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_Under35_FT_Back,Odd_Under35_FT_Lay,Odd_Over35_FT_Back,Odd_Over35_FT_Lay,Odd_Under45_FT_Back,Odd_Under45_FT_Lay,Odd_Over45_FT_Back,Odd_Over45_FT_Lay,Odd_Under55_FT_Back,Odd_Under55_FT_Lay,Odd_Over55_FT_Back,Odd_Over55_FT_Lay,Odd_Under65_FT_Back,Odd_Under65_FT_Lay,Odd_Over65_FT_Back,Odd_Over65_FT_Lay,Odd_Under75_FT_Back,Odd_Under75_FT_Lay,Odd_Over75_FT_Back,Odd_Over75_FT_Lay,Odd_Under85_FT_Back,Odd_Under85_FT_Lay,Odd_Over85_FT_Back,Odd_Over85_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_First_Half_Goals_05,IDMercado_First_Half_Goals_15,IDMercado_First_Half_Goals_25,IDMercado_Over/Under_05_Goals,IDMercado_Over/Under_15_Goals,IDMercado_Over/Under_25_Goals,IDMercado_Over/Under_35_Goals,IDMercado_Over/Under_45_Goals,IDMercado_Over/Under_55_Goals,IDMercado_Over/Under_65_Goals,IDMercado_Over/Under_75_Goals,IDMercado_Over/Under_85_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score
Australian A-League Women,2024-01-03,05:00:00,Sydney FC (W),Canberra United (W),1.26,1.31,9.2,22.0,6.6,7.6,4.2,5.9,1.2,1.32,1.76,2.1,1.91,2.32,1.21,1.33,4.0,5.7,1.21,55.0,1.02,1.06,1.5,18.0,1.13,1.3,2.92,3.4,1.42,1.52,1.75,2.06,1.96,2.34,1.31,1.48,3.1,4.3,1.07,1.15,3.85,15.5,1.03,1.14,8.0,970.0,1.01,1.07,15.0,980.0,1.01,1.04,1.01,1000.0,1.89,2.16,1.86,2.12,5.0,980.0,5.0,980.0,5.3,980.0,5.4,1000.0,10.0,15.0,13.0,980.0,4.9,980.0,5.3,980.0,8.0,12.0,8.8,13.0,4.9,980.0,5.2,980.0,8.4,12.5,10.5,16.0,4.9,980.0,5.3,980.0,2.38,4.2,5.3,980.0,5.4,1000.0,32905543,8839012,8839009,58805,1.223107847,1.223107933,1.223107934,1.223107935,1.223107849,1.223107850,1.223107851,1.223107852,1.223107853,1.223107854,1.223107855,1.223107856,1.223107857,1.223107926,1.223107848
Egyptian 2nd Division,2024-01-03,09:30:00,Gomhoryet Shebin,Petrojet,1.04,1000.0,1.25,1.62,3.85,5.1,1.01,1000.0,1.25,1.85,1.2,2.12,1.89,1000.0,1.03,1.3,1.01,1000.0,2.42,25.0,1.04,1.18,2.42,25.0,1.15,1.7,1.5,2.44,1.7,5.6,1.14,2.0,2.0,9.4,1.05,1.4,2.0,55.0,1.02,1.13,2.0,970.0,1.01,1.06,3.5,980.0,1.01,1.03,8.6,1000.0,1.01,1.01,8.8,1000.0,1.06,1000.0,1.01,18.0,1.49,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.55,1000.0,1.55,1000.0,1.01,1000.0,32908928,10539811,5168594,58805,1.223109041,1.223109044,1.223109046,1.223109039,1.223109045,1.223109089,1.223109086,1.223109090,1.223109087,1.223109049,1.223109047,1.223109040,1.223109038,1.223109125,1.223109050
Egyptian 2nd Division,2024-01-03,09:30:00,Makadi FC,Wadi Degla,4.3,5.1,2.02,2.16,3.05,3.3,1.01,2.7,1.4,1.74,1.02,21.0,1.05,1000.0,1.06,1.09,1.01,1000.0,2.58,13.5,1.08,1.25,2.56,2.94,1.52,1.64,1.52,1.64,2.56,2.94,1.06,1.4,2.56,26.0,1.04,1.12,10.0,110.0,1.01,1.07,10.0,1000.0,1.01,1.03,10.0,1000.0,1.01,1.01,15.0,1000.0,1.01,1.01,15.0,1000.0,2.16,2.44,1.7,1.85,7.2,8.8,4.3,7.2,2.32,11.5,3.95,27.0,2.28,12.5,4.5,7.8,2.02,12.5,8.0,30.0,3.3,34.0,2.0,21.0,1.26,27.0,9.2,1000.0,3.55,1000.0,1.19,1000.0,6.6,1000.0,1.19,1000.0,1.19,1000.0,1.19,26.0,10.5,1000.0,32910435,61524534,5259318,58805,1.223135402,1.223135405,1.223135407,1.223135400,1.223135406,1.223135450,1.223135447,1.223135451,1.223135448,1.223135410,1.223135408,1.223135401,1.223135399,1.223135486,1.223135411
Egyptian 2nd Division,2024-01-03,09:30:00,Asyut Petroleum,Misr El Makasa,1.58,1.67,6.6,8.4,3.8,4.1,1.01,3.2,1.32,1.64,1.33,1.47,1.05,1000.0,1.08,1.12,1.01,13.0,3.1,21.0,1.07,1.17,3.1,3.5,1.4,1.47,1.72,1.85,2.18,2.38,1.27,1.32,4.1,4.8,1.08,1.25,4.1,15.5,1.02,1.08,4.1,110.0,1.01,1.04,5.0,1000.0,1.01,1.02,13.5,1000.0,1.01,1.01,13.5,1000.0,2.22,2.44,1.69,1.81,9.2,11.5,1.57,19.5,1.56,1000.0,1.31,1000.0,4.3,6.8,1.98,9.6,1.49,32.0,1.31,1000.0,5.0,8.4,1.61,11.0,1.56,30.0,1.3,1000.0,1.59,15.5,1.57,21.0,1.56,1000.0,1.31,1000.0,1.57,12.0,1.31,1000.0,1.31,1000.0,32910434,5174055,5905941,58805,1.223135492,1.223135495,1.223135497,1.223135490,1.223135496,1.223135540,1.223135537,1.223135541,1.223135538,1.223135500,1.223135498,1.223135491,1.223135489,1.223135576,1.223135501
Egyptian 2nd Division,2024-01-03,09:30:00,La Viena FC,Abo Qair Semads,1.79,1.98,4.4,6.4,3.5,3.85,1.01,3.2,1.47,1.7,1.3,1.48,1.05,1000.0,1.07,1.12,1.01,14.5,2.78,18.0,1.06,1.2,1.6,18.0,1.36,1.57,1.6,1.9,2.1,5.5,1.22,1.35,2.12,7.0,1.06,1.2,1.01,21.0,1.02,1.08,3.9,110.0,1.01,1.04,6.0,1000.0,1.01,1.02,13.5,1000.0,1.01,1.01,13.5,1000.0,1.92,2.44,1.7,2.1,3.8,12.5,2.48,1000.0,2.98,1000.0,3.25,1000.0,1.53,8.6,1.56,9.4,4.0,1000.0,4.9,1000.0,3.6,12.0,3.7,12.5,4.1,1000.0,6.6,1000.0,3.4,1000.0,8.4,1000.0,1.19,1000.0,19.5,1000.0,1.19,1000.0,1.09,1000.0,5.0,1000.0,32910437,38387037,15036107,58805,1.223135129,1.223135132,1.223135134,1.223135127,1.223135133,1.223135177,1.223135174,1.223135178,1.223135175,1.223135137,1.223135135,1.223135128,1.223135126,1.223135213,1.223135138
Egyptian 2nd Division,2024-01-03,09:30:00,Aswan FC,Tanta,2.62,2.92,3.0,3.5,3.0,3.15,1.01,2.88,1.01,1.73,1.28,1.4,1.05,1000.0,1.06,1.09,1.01,1000.0,2.58,13.5,1.09,1.2,2.58,3.1,1.47,1.64,1.51,1.69,2.46,2.94,1.16,1.4,2.46,8.2,1.05,1.12,10.0,36.0,1.01,1.08,10.0,1000.0,1.01,1.04,10.0,1000.0,1.01,1.01,13.5,1000.0,1.01,1.01,13.5,1000.0,2.04,2.24,1.8,1.96,7.2,9.4,4.3,10.5,5.5,24.0,2.04,1000.0,4.1,9.2,5.6,7.4,5.0,17.0,2.72,55.0,5.1,17.5,4.8,14.0,5.6,25.0,2.88,1000.0,6.0,44.0,6.2,42.0,2.78,1000.0,2.04,1000.0,2.72,46.0,2.04,1000.0,2.04,1000.0,32910438,10438158,10468572,58805,1.223135220,1.223135223,1.223135225,1.223135218,1.223135224,1.223135268,1.223135265,1.223135269,1.223135266,1.223135228,1.223135226,1.223135219,1.223135217,1.223135304,1.223135229
Tunisian Ligue Professionelle 1,2024-01-03,10:00:00,ES Metlaoui,Avenir S Marsa,1.72,1.86,5.1,6.2,3.5,3.85,1.01,2.98,1.01,1.69,1.29,1.41,1.05,1000.0,1.01,1.1,1.01,1000.0,2.62,12.5,1.09,1.62,2.62,3.25,1.45,1.62,1.55,1.76,2.32,2.8,1.15,1.76,2.32,8.2,1.04,1.76,2.32,55.0,1.01,1.76,2.32,110.0,1.01,1.76,2.32,1000.0,1.01,1.76,2.32,1000.0,1.01,1.75,2.32,1000.0,2.16,2.58,1.63,1.86,8.4,11.0,12.5,15.0,7.2,50.0,2.24,1000.0,3.8,65.0,7.4,8.6,19.5,25.0,2.24,1000.0,4.5,9.8,4.7,11.0,2.14,36.0,2.24,1000.0,15.0,20.0,19.0,26.0,2.18,70.0,2.22,310.0,11.0,19.0,2.26,1000.0,2.24,1000.0,32905962,9034928,9103259,58805,1.223054068,1.223054071,1.223054073,1.223054066,1.223054072,1.223054116,1.223054113,1.223054117,1.223054114,1.223054076,1.223054074,1.223054067,1.223054065,1.223054152,1.223054077
Tunisian Ligue Professionelle 1,2024-01-03,10:00:00,Olympique De Beja,Club Africain,2.86,3.75,2.4,3.05,2.96,3.65,1.01,2.74,1.01,1.89,1.22,1.36,1.05,1000.0,1.01,1.09,1.01,1000.0,6.4,11.0,1.1,1.19,1.5,11.0,1.5,1.77,1.43,1.68,1.5,6.0,1.12,1.68,1.5,10.5,1.04,1.68,1.5,55.0,1.01,1.68,1.5,110.0,1.01,1.68,1.5,1000.0,1.01,1.68,2.46,1000.0,1.01,1.68,2.48,1000.0,2.02,1000.0,1.63,1.99,1.01,9.4,1.01,8.8,1.01,1000.0,1.01,1000.0,1.01,11.0,1.01,8.4,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,17.0,1000.0,1.55,1000.0,1.55,1000.0,1.34,1000.0,32905950,21417314,5177433,58805,1.223054249,1.223054252,1.223054254,1.223054247,1.223054253,1.223054297,1.223054294,1.223054298,1.223054295,1.223054257,1.223054255,1.223054248,1.223054246,1.223054333,1.223054258
Tunisian Ligue Professionelle 1,2024-01-03,10:00:00,Sportive De Tunis,CA Bizertin,1.25,1.29,15.0,21.0,6.0,6.8,1.01,1000.0,1.01,1000.0,1.02,1000.0,1.05,1000.0,1.01,1000.0,1.01,1000.0,3.75,36.0,1.04,1.37,3.75,4.9,1.26,1.37,1.94,2.28,1.78,2.06,1.36,1.5,3.0,3.75,1.11,1.5,3.0,11.0,1.03,1.5,3.0,55.0,1.01,1.5,3.0,1000.0,1.01,1.5,3.0,1000.0,1.01,1.5,3.0,1000.0,2.48,3.05,1.49,1.67,5.2,18.5,4.2,46.0,4.2,1000.0,4.2,1000.0,3.7,7.6,4.9,16.5,4.8,1000.0,4.2,1000.0,3.65,7.2,4.6,13.0,1.75,55.0,4.2,1000.0,4.1,9.8,5.1,18.5,4.8,70.0,1.4,1000.0,3.3,6.2,4.2,1000.0,1.1,1000.0,32905963,14188149,7438197,58805,1.223053978,1.223053981,1.223053983,1.223053976,1.223053982,1.223054026,1.223054023,1.223054027,1.223054024,1.223053986,1.223053984,1.223053977,1.223053975,1.223054062,1.223053987
Greek Super League 2,2024-01-03,10:00:00,Kozani FC,Levadiakos,5.5,8.2,1.59,1.84,3.05,950.0,1.01,980.0,1.01,980.0,1.25,1.4,1.05,1000.0,1.05,1.1,1.01,1000.0,1.55,980.0,1.03,1.75,1.55,36.0,1.47,1.75,1.45,1.7,1.48,3.95,1.13,1.7,1.48,9.4,1.05,1.7,1.48,36.0,1.03,1.7,1.48,980.0,1.01,1.7,1.48,1000.0,1.01,1.7,2.42,1000.0,1.01,1.7,2.44,1000.0,2.22,1000.0,1.52,1.81,7.0,980.0,1.64,980.0,1.23,980.0,1.23,1000.0,1.24,1000.0,1.4,980.0,5.1,980.0,4.5,1000.0,1.12,1000.0,1.12,1000.0,1.12,1000.0,1.12,1000.0,5.0,1000.0,1.12,1000.0,1.12,1000.0,1.12,1000.0,1.12,1000.0,1.12,1000.0,4.8,1000.0,32898895,41219300,531200,58805,1.222934498,1.222934501,1.222934503,1.222934496,1.222934502,1.222934546,1.222934543,1.222934547,1.222934544,1.222934506,1.222934504,1.222934497,1.222934495,1.222934582,1.222934507
