League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score
Friendly Matches,2024-06-27,08:00:00,FC Copenhagen,Silkeborg,1.04,1000.0,1.04,1000.0,1.01,950.0,1.06,110.0,1.01,21.0,1.01,1000.0,1.01,1000.0,1.48,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.01,1000.0,1.01,1000.0,1.03,1000.0,33374423,52533356.0,28216.0,58805.0,1.230157335,1.23015738,1.230157419,1.230157344
Egyptian Premier,2024-06-27,10:00:00,El Gounah,Future FC,4.2,5.0,2.0,2.22,3.0,3.5,1.51,1.67,2.48,2.98,2.12,2.54,1.65,1.89,7.0,14.5,5.9,7.2,9.2,12.0,6.2,29.0,9.8,13.0,6.2,8.4,9.6,13.0,6.2,32.0,6.2,36.0,5.7,22.0,6.0,29.0,6.8,70.0,7.2,1000.0,7.0,90.0,7.2,120.0,7.4,1000.0,5.5,1000.0,6.0,28.0,5.7,1000.0,33370165,5202561.0,41860831.0,58805.0,1.230114875,1.230114922,1.230114961,1.230114885
Egyptian Premier,2024-06-27,13:00:00,Ismaily,Al-Masry,3.35,3.9,2.36,2.64,2.84,3.5,1.7,1.93,2.08,2.44,1.78,2.08,1.92,2.3,2.08,11.5,2.12,10.5,1.48,16.5,1.36,1000.0,1.79,14.0,2.42,7.8,1.78,13.0,1.36,1000.0,1.4,26.0,1.84,17.0,1.4,19.5,1.36,1000.0,1.23,1000.0,1.36,1000.0,1.23,1000.0,1.23,1000.0,1.23,1000.0,1.23,1000.0,1.23,1000.0,33368771,5170870.0,11162123.0,58805.0,1.230102531,1.230102576,1.230102615,1.23010254
Egyptian Premier,2024-06-27,13:00:00,ZED FC,El Geish,2.26,2.54,3.6,4.2,2.86,3.3,1.48,1.63,2.58,3.1,2.16,2.5,1.66,1.87,6.4,9.4,8.2,10.5,18.5,32.0,4.9,100.0,6.2,8.8,6.0,7.8,4.1,21.0,4.9,80.0,10.0,16.0,10.0,15.5,4.4,32.0,5.0,120.0,4.6,42.0,4.7,44.0,4.9,85.0,5.1,1000.0,4.6,44.0,4.9,110.0,5.2,1000.0,33371202,38208152.0,7024303.0,58805.0,1.230127046,1.230127091,1.23012713,1.230127055
Friendly Matches,2024-06-27,14:00:00,SC Schwabach,Greuther Furth II,34.0,1000.0,1.04,1.22,6.8,950.0,1.05,1000.0,1.01,36.0,1.01,1000.0,1.01,1000.0,1.48,1000.0,2.4,1000.0,2.84,1000.0,2.96,1000.0,2.3,1000.0,2.76,1000.0,1.03,1000.0,1.03,1000.0,2.72,1000.0,2.9,1000.0,1.03,1000.0,1.03,1000.0,2.9,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.01,1000.0,1.01,1000.0,1.03,1000.0,33377300,70930728.0,9884599.0,58805.0,1.230190394,1.230190439,1.230190478,1.230190403
Friendly Matches,2024-06-27,14:00:00,FC Karbach,Idar Oberstein,1.95,2.72,2.34,3.9,3.45,26.0,2.2,990.0,1.07,1.84,1.01,1000.0,1.01,1000.0,1.03,1000.0,2.94,1000.0,2.84,1000.0,2.88,1000.0,2.3,1000.0,2.96,1000.0,1.03,1000.0,1.03,1000.0,2.68,1000.0,2.98,1000.0,1.03,1000.0,1.03,1000.0,2.92,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.01,1000.0,1.01,1000.0,1.03,1000.0,33377653,14467153.0,5790025.0,58805.0,1.230194501,1.230194546,1.230194585,1.230194510
Swedish Division 1,2024-06-27,14:00:00,Norrby IF,Ljungskile,1.39,1.46,8.0,9.8,5.0,6.0,2.36,2.68,1.59,1.73,1.8,1.95,2.04,2.26,6.0,980.0,6.6,980.0,4.2,980.0,4.2,1000.0,4.5,980.0,5.0,980.0,6.6,980.0,4.2,980.0,4.5,980.0,8.4,980.0,6.0,980.0,7.4,980.0,5.1,980.0,12.0,980.0,6.0,980.0,7.6,1000.0,3.5,15.0,4.2,980.0,8.0,1000.0,33373410,778921.0,502383.0,58805.0,1.230145327,1.230145372,1.230145411,1.230145336
Swedish Women's Matches,2024-06-27,14:00:00,Pitea IF (W),AIK (W),1.5,1.57,7.0,8.2,4.3,5.0,2.06,2.2,1.83,1.95,1.98,2.18,1.86,2.02,12.0,18.0,16.0,980.0,5.4,980.0,5.7,980.0,7.0,10.0,8.8,14.0,18.5,980.0,5.6,980.0,7.8,10.5,8.2,12.5,4.9,980.0,5.6,980.0,11.0,16.5,13.5,20.0,5.2,980.0,5.7,980.0,3.5,8.8,5.7,980.0,5.8,1000.0,33374207,6293572.0,8477739.0,58805.0,1.230151961,1.230152006,1.230152045,1.230151970
Friendly Matches,2024-06-27,14:00:00,ASC 09 Dortmund,SC Wiedenbruck,2.96,4.5,2.1,2.36,4.1,5.7,2.42,5.6,1.26,1.7,1.44,1.55,2.82,3.25,1.48,48.0,2.54,1000.0,2.7,1000.0,2.88,1000.0,2.32,1000.0,2.86,1000.0,1.05,1000.0,1.03,980.0,2.74,1000.0,2.94,1000.0,1.05,1000.0,1.05,1000.0,1.05,1000.0,1.05,1000.0,1.05,1000.0,1.05,1000.0,1.05,1000.0,1.05,1000.0,1.05,1000.0,33374212,10572667.0,4064040.0,58805.0,1.230151843,1.230151893,1.230151932,1.230151857
Norwegian Eliteserien,2024-06-27,14:00:00,Sandefjord,Ham-Kam,2.1,2.14,3.55,3.6,3.95,4.1,2.38,2.42,1.71,1.73,1.63,1.68,2.48,2.6,18.5,21.0,16.5,17.5,25.0,28.0,50.0,65.0,11.5,12.5,8.6,9.0,13.5,15.0,32.0,36.0,13.5,15.5,9.8,10.5,14.5,15.5,36.0,40.0,24.0,27.0,18.0,20.0,26.0,29.0,38.0,70.0,9.6,11.5,25.0,29.0,120.0,980.0,33335687,199646.0,163203.0,58805.0,1.229752383,1.229752393,1.229752382,1.229752392
