League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score,Odd_Under05_HT_Back,Odd_Under05_HT_Lay,Odd_Over05_HT_Back,Odd_Over05_HT_Lay,Odd_Under05_FT_Back,Odd_Under05_FT_Lay,Odd_Over05_FT_Back,Odd_Over05_FT_Lay,Odd_Under15_FT_Back,Odd_Under15_FT_Lay,Odd_Over15_FT_Back,Odd_Over15_FT_Lay,Double_Chance_Home_or_Draw_Back,Double_Chance_Home_or_Draw_Lay,Double_Chance_Draw_or_Away_Back,Double_Chance_Draw_or_Away_Lay,Double_Chance_Home_or_Away_Back,Double_Chance_Home_or_Away_Lay,IDMercado_Double_Chance,IDMercado_First_Half_Goals_05,IDMercado_Over/Under_05_Goals,IDMercado_Over/Under_15_Goals
Chinese League 2,2024-09-16,05:00:00,Shenzhen Juniors FC,Haimen Codion,1.23,1000.0,1.23,1000.0,3.5,6.0,1.7,2.68,1.6,2.44,1.12,1000.0,1.12,1000.0,1.01,980.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,980.0,1.01,980.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,980.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33591111,67744862.0,46839858.0,58805.0,1.233054979,1.233055024,1.233055063,1.233054988,1.2,1000.0,1.2,1.65,12.0,26.0,1.05,1.1,1.7,25.0,1.12,1.55,1.01,5.4,1.01,5.7,1.2,1.4,1.23305498,1.233054982,1.233054983,1.233055027
Chinese League 2,2024-09-16,08:00:00,Dalian Kun City FC,Shanghai Port B,1.88,2.34,2.74,1000.0,2.58,1000.0,1.18,15.5,1.07,8.8,1.12,1000.0,1.12,1000.0,1.01,980.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,980.0,1.01,980.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,980.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33591120,68280380.0,67939087.0,58805.0,1.233054709,1.233054754,1.233054793,1.233054718,1.2,1000.0,1.01,20.0,9.2,15.5,1.07,1.13,1.18,15.5,1.07,8.0,1.01,1.58,1.74,2.16,1.01,1.64,1.23305471,1.233054712,1.233054713,1.233054757
Chinese League 1,2024-09-16,08:30:00,Qingdao Red Lions,Jiangxi Liansheng,1.68,2.0,4.3,6.8,3.1,4.8,1.69,2.02,1.98,2.44,1.58,2.74,1.58,2.74,3.4,980.0,3.6,980.0,2.06,980.0,2.0,1000.0,3.0,980.0,3.05,980.0,3.6,980.0,2.0,1000.0,3.25,980.0,3.25,980.0,3.55,980.0,3.5,1000.0,3.65,980.0,3.7,980.0,2.0,980.0,2.0,1000.0,3.15,980.0,2.0,1000.0,2.0,1000.0,33574810,23344678.0,10025828.0,58805.0,1.232874345,1.23287439,1.232874429,1.232874354,1.2,3.8,1.35,1.61,10.5,21.0,1.06,1.11,3.0,4.6,1.28,1.49,1.17,1.28,2.0,2.62,1.28,1.44,1.232874346,1.232874348,1.232874349,1.232874393
Chinese League 1,2024-09-16,08:30:00,Dongguan Guanlian,Guangxi Baoyun,3.75,6.8,1.8,2.9,1.83,3.75,1.39,2.48,1.68,3.55,1.12,1000.0,1.12,1000.0,1.01,980.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,980.0,1.01,980.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,980.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33574815,39632861.0,23245317.0,58805.0,1.232874165,1.23287421,1.232874249,1.232874174,1.2,4.7,1.01,20.0,2.3,18.0,1.06,1.77,2.3,4.9,1.25,1.77,1.56,2.26,1.17,1.36,1.36,1.61,1.232874166,1.232874168,1.232874169,1.232874213
Chinese League 2,2024-09-16,08:30:00,Rizhao Yuqi,Hainan Star,1.58,1000.0,1.04,1000.0,2.66,1000.0,1.18,12.5,1.09,8.2,1.12,1000.0,1.12,1000.0,1.01,980.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,980.0,1.01,980.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,980.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33591112,68101072.0,46993484.0,58805.0,1.233054889,1.233054934,1.233054973,1.233054898,1.2,1000.0,1.01,20.0,8.0,12.5,1.09,1.15,1.18,12.5,1.09,8.0,1.01,1.38,1.01,2.76,1.01,1.6,1.23305489,1.233054892,1.233054893,1.233054937
Chinese League 2,2024-09-16,08:30:00,Guangxi Lanhang,Taian Tiankuang,1.83,1000.0,2.84,1000.0,2.58,1000.0,1.18,13.5,1.08,8.8,1.12,1000.0,1.12,1000.0,1.01,980.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,980.0,1.01,980.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,980.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33591113,55942514.0,47112788.0,58805.0,1.233054799,1.233054844,1.233054883,1.233054808,1.2,1000.0,1.01,20.0,8.6,13.5,1.08,1.14,1.18,13.5,1.08,8.0,1.01,1.54,1.01,2.22,1.01,1.63,1.2330548,1.233054802,1.233054803,1.233054847
English U21 Pro Development League,2024-09-16,09:00:00,Crewe U21,Watford U21,2.16,7.0,1.46,2.64,4.4,1000.0,2.06,110.0,1.01,1.95,1.12,1000.0,1.12,1000.0,1.01,980.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,980.0,1.01,980.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,980.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33591116,6628863.0,10123520.0,58805.0,1.233055745,1.23305579,1.233055829,1.233055754,1.2,1000.0,1.01,20.0,36.0,110.0,1.01,1.03,3.0,18.0,1.06,1.5,1.6,3.25,1.16,1.46,1.05,1.3,1.233055746,1.233055748,1.233055749,1.233055793
Romanian Liga II,2024-09-16,10:00:00,Arges Pitesti,Concordia Chiajna,2.06,2.76,3.5,5.4,1.23,3.3,1.33,1.59,2.28,4.1,1.97,9.4,1.33,2.04,2.0,980.0,2.02,980.0,1.28,1000.0,1.28,1000.0,2.08,980.0,1.92,980.0,1.28,980.0,1.28,1000.0,1.38,980.0,1.39,980.0,1.28,980.0,1.28,1000.0,1.28,1000.0,1.28,1000.0,1.28,1000.0,1.28,1000.0,1.28,1000.0,1.28,1000.0,1.28,1000.0,33585161,1557297.0,5367199.0,58805.0,1.232987946,1.232987991,1.23298803,1.232987955,2.28,2.5,1.67,1.79,6.0,8.8,1.13,1.2,1.85,4.4,1.3,1.96,1.23,1.4,1.57,1.89,1.43,1.64,1.232987947,1.232987949,1.23298795,1.232987994
English U21 Pro Development League,2024-09-16,10:00:00,Sheff Wed U21,Charlton U21,1.95,2.74,2.24,4.6,2.38,1000.0,1.88,55.0,1.02,2.14,1.12,1000.0,1.12,1000.0,1.01,980.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,980.0,1.01,980.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,980.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33591233,6813026.0,6808104.0,58805.0,1.233056663,1.233056708,1.233056747,1.233056672,1.2,1000.0,1.01,20.0,28.0,55.0,1.02,1.04,1.88,55.0,1.02,2.14,1.27,1.81,1.57,2.06,1.18,1.47,1.233056664,1.233056666,1.233056667,1.233056711
Norwegian 2nd Division,2024-09-16,11:00:00,Brann II,Orn Horten,1.72,1.87,3.6,4.6,4.2,7.0,3.35,4.8,1.31,1.43,1.4,1.56,2.8,3.45,4.1,980.0,3.9,980.0,4.0,55.0,4.1,95.0,3.8,980.0,3.7,980.0,3.8,980.0,3.95,48.0,3.8,22.0,3.5,980.0,3.75,980.0,3.9,38.0,3.85,25.0,3.75,21.0,3.8,25.0,4.0,55.0,2.62,6.6,3.65,24.0,4.2,1000.0,33591285,5665319.0,5523332.0,58805.0,1.233057706,1.233057751,1.23305779,1.233057715,4.6,6.6,1.18,1.28,3.35,110.0,1.01,1.43,3.35,1000.0,1.01,1.43,1.27,1.38,2.14,2.38,1.2,1.28,1.233057707,1.233057709,1.23305771,1.233057754
