Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
29/06/2023,08:35,CHINA - SUPER LEAGUE,Beijing Guoan,Shanghai Port,ROUND 13,3.4,3.6,2.15,,,1.5,2.5
29/06/2023,08:35,CHINA - SUPER LEAGUE,Shandong Taishan,Changchun Yatai,ROUND 13,1.5,4.33,6.5,,,1.67,2.1
29/06/2023,08:35,CHINA - SUPER LEAGUE,Shenzhen,Chengdu Rongcheng,ROUND 13,15.0,5.5,1.25,,,2.25,1.57
29/06/2023,13:00,EGYPT - PREMIER LEAGUE,El Ismaily,Aswan SC,ROUND 32,1.97,2.93,4.81,,,2.41,1.54
29/06/2023,15:30,EGYPT - PREMIER LEAGUE,National Bank Egypt,Al Ahly,ROUND 32,7.06,4.38,1.46,,,2.11,1.69
29/06/2023,19:00,SOUTH AMERICA - COPA LIBERTADORES,Boca Juniors (Arg),Monagas (Ven),GROUP STAGE ,1.29,5.0,13.0,,,2.63,1.44
29/06/2023,19:00,SOUTH AMERICA - COPA LIBERTADORES,Colo Colo (Chi),Pereira (Col),GROUP STAGE ,1.62,3.75,6.5,,,1.95,1.8
29/06/2023,21:00,SOUTH AMERICA - COPA LIBERTADORES,Barcelona SC (Ecu),Cerro Porteno (Par),GROUP STAGE ,1.85,3.6,4.0,,,1.7,2.05
29/06/2023,21:00,SOUTH AMERICA - COPA LIBERTADORES,Palmeiras (Bra),Bolivar (Bol),GROUP STAGE ,1.14,7.5,23.0,,,2.5,1.5
30/06/2023,16:00,EUROPE - CHAMPIONS LEAGUE,Buducnost (Mne),Breidablik (Ice),PRELIMINARY ,3.85,3.65,1.83,1.75,1.98,1.7,2.05
30/06/2023,19:00,ARGENTINA - LIGA PROFESIONAL,Platense,Lanus,ROUND 22,3.3,2.88,2.5,2.7,1.44,2.2,1.62
30/06/2023,21:30,ARGENTINA - LIGA PROFESIONAL,Atl. Tucuman,Union de Santa Fe,ROUND 22,2.15,3.1,3.75,2.5,1.5,2.1,1.67
30/06/2023,21:30,ARGENTINA - LIGA PROFESIONAL,Velez Sarsfield,Arsenal Sarandi,ROUND 22,1.75,3.3,5.75,2.6,1.48,2.25,1.57
30/06/2023,21:00,ARGENTINA - PRIMERA NACIONAL,Club A. Guemes,San Martin S.J.,ROUND 23,2.45,2.8,3.5,2.7,1.44,2.2,1.62
30/06/2023,21:00,ARGENTINA - PRIMERA NACIONAL,Gimnasia Jujuy,Quilmes,ROUND 20,2.15,3.0,4.0,2.5,1.5,2.1,1.67
30/06/2023,21:10,ARGENTINA - PRIMERA NACIONAL,Ferro,Brown Adrogue,ROUND 20,2.0,3.2,4.2,2.7,1.44,2.2,1.62
30/06/2023,21:30,BRAZIL - SERIE B,Tombense,Chapecoense-SC,ROUND 15,2.12,3.08,3.89,2.39,1.59,2.04,1.74
30/06/2023,19:00,CANADA - CANADIAN PREMIER LEAGUE,HFX Wanderers,Forge,-,2.72,3.25,2.43,2.03,1.77,1.75,2.03
30/06/2023,22:30,CANADA - CANADIAN PREMIER LEAGUE,Pacific FC,Atl. Ottawa,-,,,,,,,
30/06/2023,13:00,EGYPT - PREMIER LEAGUE,Enppi,Pharco,ROUND 32,2.46,2.88,3.3,2.57,1.42,2.14,1.67
30/06/2023,15:30,EGYPT - PREMIER LEAGUE,Arab Contractors,El Daklyeh,ROUND 32,2.11,3.02,3.96,2.5,1.53,2.09,1.71
30/06/2023,15:30,EGYPT - PREMIER LEAGUE,El Gaish,Ceramica Cleopatra,ROUND 32,2.68,2.85,2.97,2.72,1.46,2.14,1.67
30/06/2023,14:00,ESTONIA - MEISTRILIIGA,Parnu JK Vaprus,Paide,ROUND 19,6.68,4.25,1.44,1.83,1.95,1.94,1.82
30/06/2023,15:45,IRELAND - PREMIER DIVISION,Cork City,Drogheda,ROUND 22,2.3,3.3,3.1,1.95,1.9,1.7,2.05
30/06/2023,15:45,IRELAND - PREMIER DIVISION,Dundalk,Shamrock Rovers,ROUND 22,4.0,3.75,1.83,1.9,1.95,1.8,1.95
30/06/2023,15:45,IRELAND - PREMIER DIVISION,Shelbourne,Derry City,ROUND 22,3.8,3.1,2.1,2.5,1.5,2.1,1.67
30/06/2023,15:45,IRELAND - PREMIER DIVISION,Sligo Rovers,Bohemians,ROUND 22,3.3,3.1,2.25,2.35,1.57,1.95,1.8
30/06/2023,15:45,IRELAND - PREMIER DIVISION,St. Patricks,UC Dublin,ROUND 22,1.14,7.5,19.0,1.4,2.88,2.1,1.67
30/06/2023,07:00,JAPAN - J1 LEAGUE,Cerezo Osaka,Avispa Fukuoka,ROUND 19,2.0,3.3,4.0,2.25,1.62,1.95,1.8
30/06/2023,12:00,LITHUANIA - A LYGA,FK Panevezys,Riteriai,ROUND 20,1.36,4.4,8.55,2.01,1.78,2.32,1.58
30/06/2023,22:00,MEXICO - LIGA MX,Club America,Juarez,APERTURA ,1.36,4.5,7.5,1.6,2.3,1.91,1.91
30/06/2023,22:00,MEXICO - LIGA MX,Mazatlan FC,Pachuca,APERTURA ,4.5,4.0,1.65,1.6,2.3,1.62,2.2
30/06/2023,17:30,PERU - LIGA 1,Cajamarca,Sport Huancayo,CLAUSURA ,2.6,3.1,2.9,2.13,1.75,1.8,1.91
30/06/2023,20:30,USA - USL CHAMPIONSHIP,Charleston,Loudoun,-,1.58,4.1,5.17,1.65,2.21,1.66,2.16
30/06/2023,22:00,USA - USL CHAMPIONSHIP,FC Tulsa,Detroit,-,2.37,3.24,2.87,2.07,1.74,1.79,1.98
