Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,0Qw0VZdn,06/08/2023,00:00,FIJI - PREMIER LEAGUE,Navua,Tailevu Naitasiri,ROUND 15,2.57,3.52,2.42,1.3,3.22,,,1.18,4.05,1.68,2.16,2.57,1.42,,,1.53,2.43,,,,,,,,,,,,,,,,,,,,,
2,dhX8TDRb,06/08/2023,00:00,FIJI - PREMIER LEAGUE,Lautoka,Rewa,ROUND 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MZvdWFst,06/08/2023,00:00,FIJI - PREMIER LEAGUE,Nadi,Tavua,ROUND 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,rkT4UgCh,06/08/2023,00:00,FIJI - PREMIER LEAGUE,Nadroga,Suva,ROUND 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,MTwBga6f,06/08/2023,00:00,USA - USL CHAMPIONSHIP,Phoenix Rising,San Antonio,-,2.33,3.5,2.69,1.31,3.15,1.01,11.4,1.19,3.95,1.71,2.11,2.64,1.4,4.75,1.13,1.55,2.38,,,,,10.0,9.0,12.0,23.0,8.0,5.5,8.0,15.0,10.0,7.5,9.0,21.0,20.0,13.0,18.0,36.0,201.0
6,IDvIxFNo,06/08/2023,00:05,MEXICO - LIGA DE EXPANSION MX,Cimarrones de Sonora,Dorados de Sinaloa,APERTURA ,1.45,4.4,6.52,1.34,3.1,10.2,1.05,1.22,3.65,1.78,2.03,2.79,1.36,5.15,1.11,1.88,1.88,,,,,10.0,15.0,31.0,91.0,5.5,6.5,15.0,51.0,6.0,6.5,14.0,51.0,8.0,9.0,19.0,67.0,201.0
7,UXDmnvop,06/08/2023,05:00,MONGOLIA - PREMIER LEAGUE,Falcons,Bayanzurkh Sporting,ROUND 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,j7IlQ8Vk,06/08/2023,05:30,AUSTRIA - 2. LIGA,First Vienna,Sturm Graz (Am),ROUND 2,1.95,3.85,3.53,1.28,3.48,1.02,13.8,1.14,4.55,1.53,2.28,2.43,1.56,4.0,1.19,1.51,2.48,,,,,13.0,12.0,17.0,31.0,8.5,6.0,9.5,18.0,9.5,7.0,9.0,20.0,15.0,11.0,14.0,26.0,176.0
9,4A2echPA,06/08/2023,06:00,ROMANIA - LIGA 2,Corvinul Hunedoara,Ceahlaul,ROUND 1,1.96,3.48,3.54,1.38,2.81,1.02,9.8,1.27,3.28,1.91,1.87,3.14,1.29,6.2,1.09,1.73,2.05,,,,,8.5,9.0,15.0,36.0,6.5,5.5,10.0,23.0,9.0,7.5,12.0,31.0,15.0,15.0,23.0,61.0,101.0
10,Gh49iNLq,06/08/2023,07:00,SOUTH KOREA - K LEAGUE 1,Jeonbuk,Incheon,ROUND 25,1.91,3.4,4.0,1.36,3.0,1.05,11.0,1.25,3.75,1.9,1.95,3.25,1.33,6.0,1.13,1.73,2.0,1.95,1.9,1.25,3.8,11.0,12.0,21.0,41.0,8.0,6.5,13.0,34.0,9.5,8.5,13.0,41.0,17.0,15.0,26.0,41.0,201.0
